tl,mu,Mpi_block,Cop_block,Mpi_over_Cop,Cop_over_Cphys
20,22.297665737875192,10589.090909090908,10880,0.9732620320855614,0.07941605839416059
21,22.594643770415214,11118.545454545456,11424,0.9732620320855616,0.08338686131386862
22,22.75888565123644,11648.0,11968,0.9732620320855615,0.08735766423357665
23,22.66987747338051,12177.454545454544,12512,0.9732620320855614,0.09132846715328467
24,22.77988371731113,12706.90909090909,13056,0.9732620320855614,0.0952992700729927
25,22.92767431220077,13236.363636363638,13600,0.9732620320855616,0.09927007299270073
26,23.097991640048942,13765.818181818182,14144,0.9732620320855615,0.10324087591240876
27,23.261795588045565,14295.272727272728,14688,0.9732620320855615,0.10721167883211678
28,23.367422050569637,14824.727272727272,15232,0.9732620320855615,0.11118248175182482
29,23.360842697089566,15354.181818181818,15776,0.9732620320855615,0.11515328467153285
30,23.395541429745045,15883.636363636362,16320,0.9732620320855614,0.11912408759124088
31,23.435560104371454,16413.09090909091,16864,0.9732620320855616,0.1230948905109489
32,23.493269231763982,16942.545454545456,17408,0.9732620320855616,0.12706569343065693
33,23.5597107377954,17472.0,17952,0.9732620320855615,0.13103649635036496
34,23.638943729535896,18001.454545454544,18496,0.9732620320855614,0.135007299270073
35,23.71885456135814,18530.90909090909,19040,0.9732620320855614,0.13897810218978102
36,23.734208986336764,19060.363636363636,19584,0.9732620320855615,0.14294890510948904
37,23.71566498625362,19589.818181818184,20128,0.9732620320855616,0.14691970802919707
38,23.758034745992205,20119.272727272728,20672,0.9732620320855615,0.1508905109489051
39,23.786179396973218,20648.727272727272,21216,0.9732620320855615,0.15486131386861313
40,23.820781366588633,21178.181818181816,21760,0.9732620320855614,0.15883211678832118
41,23.843722037271778,21707.636363636364,22304,0.9732620320855615,0.1628029197080292
42,23.886895827668667,22237.09090909091,22848,0.9732620320855616,0.16677372262773724
43,23.90385631277452,22766.545454545456,23392,0.9732620320855615,0.17074452554744526
44,24.045754930604623,23296.0,23936,0.9732620320855615,0.1747153284671533
45,23.98469361319836,23825.454545454544,24480,0.9732620320855614,0.17868613138686132
46,24.03323331302149,24354.90909090909,25024,0.9732620320855614,0.18265693430656935
47,24.100526206462874,24884.363636363636,25568,0.9732620320855615,0.18662773722627737
48,24.160051054983704,25413.81818181818,26112,0.9732620320855614,0.1905985401459854
49,24.247761742882037,25943.272727272724,26656,0.9732620320855614,0.19456934306569343
50,24.317846446656223,26472.727272727276,27200,0.9732620320855616,0.19854014598540146
51,24.373731102687415,27002.18181818182,27744,0.9732620320855615,0.20251094890510948
52,24.438417540410224,27531.636363636364,28288,0.9732620320855615,0.2064817518248175
53,24.441414293667822,28061.09090909091,28832,0.9732620320855616,0.21045255474452554
