prompt_type,batch_kind,num_decode,decode_stage,prefill_chunk,kv_cache_tokens,batch_tokens,time_s
d25,decode,1,6,0,37,1,0.009564288750613353
d25,decode,1,12,0,43,1,0.009564288750613353
d25,decode,1,25,0,56,1,0.009564288750613353
d25,decode,8,6,0,296,8,0.010021344401731828
d25,decode,8,12,0,344,8,0.010021344401731828
d25,decode,8,25,0,448,8,0.010021344401731828
d25,decode,32,6,0,1184,32,0.011246916515954756
d25,decode,32,12,0,1376,32,0.011246916515954756
d25,decode,32,25,0,1792,32,0.011246916515954756
d25,decode,64,6,0,2368,64,0.013079384220333754
d25,decode,64,12,0,2752,64,0.013079384220333754
d25,decode,64,25,0,3584,64,0.013079384220333754
d25,mixed,0,12,31,0,31,0.010132445645800535
d25,mixed,0,12,31,0,31,0.010132445645800535
d25,mixed,8,12,31,344,39,0.011191077377979692
d25,mixed,8,12,31,344,39,0.011191077377979692
d50,decode,1,12,0,45,1,0.009564288750613353
d50,decode,1,25,0,58,1,0.009564288750613353
d50,decode,1,50,0,83,1,0.00957234430616891
d50,decode,8,12,0,360,8,0.010021344401731828
d50,decode,8,25,0,464,8,0.010021344401731828
d50,decode,8,50,0,664,8,0.010021344401731828
d50,decode,32,12,0,1440,32,0.011246916515954756
d50,decode,32,25,0,1856,32,0.011246916515954756
d50,decode,32,50,0,2656,32,0.012282197881677458
d50,decode,64,12,0,2880,64,0.013079384220333754
d50,decode,64,25,0,3712,64,0.013079384220333754
d50,decode,64,50,0,5312,64,0.014795208738149377
d50,mixed,0,25,33,0,33,0.010284641836276726
d50,mixed,0,25,33,0,33,0.010284641836276726
d50,mixed,8,25,33,464,41,0.011195321187503503
d50,mixed,8,25,33,464,41,0.011195321187503503
d75,decode,1,19,0,53,1,0.009564288750613353
d75,decode,1,38,0,72,1,0.00957234430616891
d75,decode,1,75,0,109,1,0.00957234430616891
d75,decode,8,19,0,424,8,0.010021344401731828
d75,decode,8,38,0,576,8,0.010021344401731828
d75,decode,8,75,0,872,8,0.010021344401731828
d75,decode,32,19,0,1696,32,0.011246916515954756
d75,decode,32,38,0,2304,32,0.012282197881677458
d75,decode,32,75,0,3488,32,0.012282197881677458
d75,decode,64,19,0,3392,64,0.013079384220333754
d75,decode,64,38,0,4608,64,0.014795208738149377
d75,decode,64,75,0,6976,64,0.014795208738149377
d75,mixed,0,38,34,0,34,0.010284641836276726
d75,mixed,0,38,34,0,34,0.010284641836276726
d75,mixed,8,38,34,576,42,0.011195321187503503
d75,mixed,8,38,34,576,42,0.011195321187503503
d100,decode,1,25,0,62,1,0.009564288750613353
d100,decode,1,50,0,87,1,0.00957234430616891
d100,decode,1,100,0,137,1,0.00957234430616891
d100,decode,8,25,0,496,8,0.010021344401731828
d100,decode,8,50,0,696,8,0.010021344401731828
d100,decode,8,100,0,1096,8,0.01004459773506516
d100,decode,32,25,0,1984,32,0.011246916515954756
d100,decode,32,50,0,2784,32,0.012282197881677458
d100,decode,32,100,0,4384,32,0.012282197881677458
d100,decode,64,25,0,3968,64,0.013079384220333754
d100,decode,64,50,0,5568,64,0.014795208738149377
d100,decode,64,100,0,8768,64,0.014912010666213152
d100,mixed,0,50,37,0,37,0.010284641836276726
d100,mixed,0,50,37,0,37,0.010284641836276726
d100,mixed,8,50,37,696,45,0.011195321187503503
d100,mixed,8,50,37,696,45,0.011195321187503503
d125,decode,1,31,0,67,1,0.00957234430616891
d125,decode,1,62,0,98,1,0.00957234430616891
d125,decode,1,125,0,161,1,0.00957234430616891
d125,decode,8,31,0,536,8,0.010021344401731828
d125,decode,8,62,0,784,8,0.010021344401731828
d125,decode,8,125,0,1288,8,0.01004459773506516
d125,decode,32,31,0,2144,32,0.012282197881677458
d125,decode,32,62,0,3136,32,0.012282197881677458
d125,decode,32,125,0,5152,32,0.012282197881677458
d125,decode,64,31,0,4288,64,0.014795208738149377
d125,decode,64,62,0,6272,64,0.014795208738149377
