rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,11,250,22,11.363636363636363,250,6370,132320,121115,0.30324959696991155,36.27374977547429,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
1,11,250,22,11.363636363636363,250,6115,132336,121634,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
2,11,250,22,11.363636363636363,250,5860,132352,121898,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
3,11,250,22,11.363636363636363,250,5860,132352,121906,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
4,11,250,22,11.363636363636363,250,5860,132352,121914,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
5,11,250,22,11.363636363636363,250,5860,132352,121922,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
6,11,250,22,11.363636363636363,250,5860,132352,121930,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
7,11,250,22,11.363636363636363,250,5860,132352,121938,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
8,11,250,22,11.363636363636363,250,5860,132352,121946,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
9,11,250,22,11.363636363636363,250,5860,132352,121954,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
10,11,250,22,11.363636363636363,250,5860,132352,121962,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
11,11,250,22,11.363636363636363,250,5860,132368,121970,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
12,11,250,22,11.363636363636363,250,5860,132384,121978,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
13,11,250,22,11.363636363636363,250,5860,132400,121986,0.3026835821550967,36.3415812700523,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
14,12,250,22,11.363636363636363,250,5860,132416,121994,0.3026835821550967,39.6453613855116,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
15,12,250,22,11.363636363636363,250,6115,132400,121469,0.3026835821550967,39.6453613855116,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
16,12,250,22,11.363636363636363,250,6370,132384,121199,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
17,12,250,22,11.363636363636363,250,6370,132384,121185,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
18,12,250,22,11.363636363636363,250,6370,132384,121171,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
19,12,250,22,11.363636363636363,250,6370,132368,121157,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
20,12,250,22,11.363636363636363,250,6370,132352,121143,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
21,12,250,22,11.363636363636363,250,6370,132336,121129,0.30324959696991155,39.57136339142651,136000,132363.63636363635,121659.09090909091,0.9732620320855614,0.9927007299270073,137000.0
