rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,2,50,22,2.272727272727273,50,1580,26432,23726,0.11774442466995111,16.985942269506104,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
1,2,50,22,2.272727272727273,50,1325,26448,24243,0.10194246236471821,19.618910055798203,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
2,2,50,22,2.272727272727273,50,1070,26464,24505,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
3,2,50,22,2.272727272727273,50,1070,26464,24511,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
4,2,50,22,2.272727272727273,50,1070,26464,24517,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
5,2,50,22,2.272727272727273,50,1070,26464,24523,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
6,2,50,22,2.272727272727273,50,1070,26464,24529,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
7,2,50,22,2.272727272727273,50,1070,26464,24535,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
8,2,50,22,2.272727272727273,50,1070,26464,24541,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
9,2,50,22,2.272727272727273,50,1070,26464,24547,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
10,2,50,22,2.272727272727273,50,1070,26464,24553,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
11,2,50,22,2.272727272727273,50,1070,26464,24559,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
12,2,50,22,2.272727272727273,50,1070,26464,24565,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
13,2,50,22,2.272727272727273,50,1070,26480,24571,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
14,2,50,22,2.272727272727273,50,1070,26496,24577,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
15,2,50,22,2.272727272727273,50,1070,26512,24583,0.08428115265174616,23.73009785786981,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
16,3,50,22,2.272727272727273,50,1070,26528,24589,0.08428115265174616,35.59514678680472,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
17,3,50,22,2.272727272727273,50,1325,26512,24062,0.10122124653867565,29.638046384399438,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
18,3,50,22,2.272727272727273,50,1580,26496,23790,0.11774442466995111,25.47891340425916,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
19,3,50,22,2.272727272727273,50,1580,26480,23774,0.11774442466995111,25.47891340425916,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
20,3,50,22,2.272727272727273,50,1580,26464,23758,0.11774442466995111,25.47891340425916,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
21,3,50,22,2.272727272727273,50,1580,26448,23742,0.11774442466995111,25.47891340425916,27200,26472.727272727276,24331.818181818184,0.9732620320855616,0.19854014598540146,137000.0
