rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,4,100,22,4.545454545454546,100,2650,52896,48255,0.19922228043175905,20.078075561283153,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
1,4,100,22,4.545454545454546,100,2395,52912,48778,0.18012295440902365,22.207053027327046,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
2,4,100,22,4.545454545454546,100,2140,52928,49046,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
3,4,100,22,4.545454545454546,100,2140,52928,49058,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
4,4,100,22,4.545454545454546,100,2140,52928,49070,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
5,4,100,22,4.545454545454546,100,2140,52928,49082,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
6,4,100,22,4.545454545454546,100,2140,52928,49094,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
7,4,100,22,4.545454545454546,100,2140,52944,49106,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
8,4,100,22,4.545454545454546,100,2140,52960,49118,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
9,4,100,22,4.545454545454546,100,2140,52976,49130,0.16855383158820078,23.73129084227837,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
10,5,100,22,4.545454545454546,100,2140,52992,49142,0.16855383158820078,29.664113552847965,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
11,5,100,22,4.545454545454546,100,2395,52976,48621,0.17928410883687804,27.88869594989737,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
12,5,100,22,4.545454545454546,100,2650,52960,48355,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
13,5,100,22,4.545454545454546,100,2650,52960,48345,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
14,5,100,22,4.545454545454546,100,2650,52960,48335,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
15,5,100,22,4.545454545454546,100,2650,52960,48325,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
16,5,100,22,4.545454545454546,100,2650,52960,48315,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
17,5,100,22,4.545454545454546,100,2650,52960,48305,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
18,5,100,22,4.545454545454546,100,2650,52960,48295,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
19,5,100,22,4.545454545454546,100,2650,52944,48285,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
20,5,100,22,4.545454545454546,100,2650,52928,48275,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
21,5,100,22,4.545454545454546,100,2650,52912,48265,0.19922228043175905,25.09759445160394,54400,52945.45454545455,48663.63636363637,0.9732620320855616,0.3970802919708029,137000.0
