rotation,terminal_stage_count,tl,pipeline_depth,fluid_per_stage_P,batch_size_requests,batch_new_tokens,representative_block_kv_tokens,representative_continuous_kv_tokens,iteration_time_s,fluid_completion_boundary_req_s,C_op_worst_block_tokens,M_fluid_block_tokens,M_fluid_continuous_tokens,M_fluid_over_C_op_worst,C_op_worst_over_C_phys,C_phys_tokens
0,22,500,22,22.727272727272727,500,12230,264672,243061,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
1,22,500,22,22.727272727272727,500,11975,264688,243588,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
2,22,500,22,22.727272727272727,500,11720,264704,243860,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
3,22,500,22,22.727272727272727,500,11720,264720,243876,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
4,22,500,22,22.727272727272727,500,11720,264736,243892,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
5,22,500,22,22.727272727272727,500,11720,264752,243908,0.3122085974950002,70.46570842864863,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
6,23,500,22,22.727272727272727,500,11720,264768,243924,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
7,23,500,22,22.727272727272727,500,11975,264752,243407,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
8,23,500,22,22.727272727272727,500,12230,264736,243145,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
9,23,500,22,22.727272727272727,500,12230,264736,243139,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
10,23,500,22,22.727272727272727,500,12230,264736,243133,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
11,23,500,22,22.727272727272727,500,12230,264736,243127,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
12,23,500,22,22.727272727272727,500,12230,264736,243121,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
13,23,500,22,22.727272727272727,500,12230,264736,243115,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
14,23,500,22,22.727272727272727,500,12230,264736,243109,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
15,23,500,22,22.727272727272727,500,12230,264736,243103,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
16,23,500,22,22.727272727272727,500,12230,264736,243097,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
17,23,500,22,22.727272727272727,500,12230,264736,243091,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
18,23,500,22,22.727272727272727,500,12230,264736,243085,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
19,23,500,22,22.727272727272727,500,12230,264720,243079,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
20,23,500,22,22.727272727272727,500,12230,264704,243073,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
21,23,500,22,22.727272727272727,500,12230,264688,243067,0.3122085974950002,73.66869517540538,272000,264727.2727272727,243318.18181818182,0.9732620320855614,1.9854014598540146,137000.0
