n,completion_rate_req_s,iteration_time_s,batch_size_requests,batch_new_tokens,continuous_kv_tokens,block_kv_tokens,block_kv_over_C
1,22.758885651236437,0.04393888239188338,22,532,10706,11648,0.08502189781021897
2,24.04575493060463,0.08317476435121057,44,1064,21412,23296,0.17004379562043795
3,24.60489862938729,0.12192694004505662,66,1596,32118,34944,0.25506569343065694
4,23.970238732265962,0.16687359874374813,88,2128,42824,46592,0.3400875912408759
5,24.8513309758603,0.2011964672981428,110,2660,53530,58240,0.4251094890510949
