rate_qps,A_unit,d0_s,d1_s_per_token,M_star_tokens,C_tokens,M_star_over_C,inside_fluid_region,fluid_capacity_crossing_qps,fluid_denominator_critical_qps
10.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,3369.369717502745,137000.0,0.024593939543815658,True,74.1378885771586,88.44023127398118
20.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,7723.3561304150735,137000.0,0.05637486226580345,True,74.1378885771586,88.44023127398118
30.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,13567.407287424614,137000.0,0.09903216998120157,True,74.1378885771586,88.44023127398118
40.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,21824.349961799206,137000.0,0.15930182453868033,True,74.1378885771586,88.44023127398118
50.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,34377.28274899263,137000.0,0.25092907116053015,True,74.1378885771586,88.44023127398118
60.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,55757.803938167555,137000.0,0.406991269621661,True,74.1378885771586,88.44023127398118
70.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,100327.31974623587,137000.0,0.7323162025272691,True,74.1378885771586,88.44023127398118
80.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,250508.9079283475,137000.0,1.8285321746594707,False,74.1378885771586,88.44023127398118
90.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
100.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
110.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
120.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
130.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
140.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
150.0,29159.356583593526,0.0102484863577943,3.877682025836559e-07,inf,137000.0,inf,False,74.1378885771586,88.44023127398118
