batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
47,1779698893.2076356,decode,2526,771358,0.9998613028458841,771316,2526,0.0,78400,8,2526,768790,771316,771316,0.999806860972306,0,78400,682,838,0,8,700,0,0,0.0
49,1779698893.5167134,decode,2535,586326,0.7600163325620735,771193,2527,0.0,77700,9,2535,768658,771193,771193,0.9996474240568269,9,77709,0,691,0,9,0,0,0,0.0
50,1779698894.51492,decode,2527,771426,0.9999494468316774,771312,2527,0.0,77717,8,2527,768785,771312,771312,0.9998016760319651,0,77717,603,683,0,8,617,0,0,0.0
52,1779698894.9164116,decode,2532,545524,0.707127348615945,771258,2524,0.0,77100,9,2532,768726,771258,771258,0.9997316793373646,9,77109,0,608,0,9,0,0,0,0.0
53,1779698896.3542852,decode,2524,771424,0.999946854361507,771374,2524,0.0,77117,8,2524,768850,771374,771374,0.9998820426072472,0,77117,735,600,0,8,753,0,0,0.0
55,1779698896.6789467,decode,2533,549268,0.7119804527749153,771257,2525,0.0,76364,9,2533,768724,771257,771257,0.9997303831022795,9,76373,0,744,0,9,0,0,0,0.0
56,1779698898.1604762,decode,2525,771268,0.9997446416882165,771374,2525,0.0,76381,8,2525,768849,771374,771374,0.9998820426072472,0,76381,722,736,0,8,740,0,0,0.0
58,1779698898.4902399,decode,2535,575194,0.7455866435936821,771403,2526,0.0,75641,8,2535,768868,771403,771403,0.9999196334247179,8,75649,0,732,0,8,0,0,0,0.0
59,1779698899.6340175,decode,2526,771394,0.9999079673089512,771220,2526,0.0,75658,9,2526,768694,771220,771220,0.9996824224041272,0,75658,639,723,0,9,654,0,0,0.0
61,1779698899.973184,decode,2532,543646,0.7046930191259487,771226,2524,0.0,75004,9,2532,768694,771226,771226,0.9996901998146384,9,75013,0,645,0,9,0,0,0,0.0
62,1779698901.4568748,decode,2524,771346,0.9998457480248618,771342,2524,1693.1633647911715,75021,8,2524,768818,771342,771342,0.999840563084521,0,75021,740,637,0,8,759,0,0,0.0
64,1779698901.7808387,decode,2534,555576,0.7201571036923257,771180,2526,1693.1633647911715,74262,9,2534,768646,771180,771180,0.9996305730007194,9,74271,0,750,0,9,0,0,0,0.0
65,1779698903.1452525,decode,2526,771276,0.9997550115688981,771298,2526,1693.1633647911715,74279,8,2526,768772,771298,771298,0.9997835287407725,0,74279,702,742,0,8,719,0,0,0.0
67,1779698903.5699103,decode,2535,575380,0.7458277433195284,771411,2526,1693.1633647911715,73560,8,2535,768876,771411,771411,0.9999300033053995,8,73568,0,711,0,8,0,0,0,0.0
68,1779698904.7791822,decode,2526,771280,0.9997601965092389,771228,2526,1693.1633647911715,73577,9,2526,768702,771228,771228,0.9996927922848088,0,73577,638,702,0,9,653,0,0,0.0
70,1779698905.0962713,decode,2533,551740,0.7151847459055174,771413,2524,1693.1633647911715,72924,8,2533,768880,771413,771413,0.9999325957755698,8,72932,0,645,0,8,0,0,0,0.0
71,1779698906.5730102,decode,2524,771340,0.9998379706143506,771228,2524,1693.1633647911715,72941,9,2524,768704,771228,771228,0.9996927922848088,0,72941,714,636,0,9,732,0,0,0.0
73,1779698906.892587,decode,2533,553620,0.7176216678656842,771173,2525,1693.1633647911715,72209,9,2533,768640,771173,771173,0.999621499355123,9,72218,0,723,0,9,0,0,0,0.0
74,1779698908.3783426,decode,2525,771420,0.9999416694211662,771290,2525,1693.1633647911715,72226,8,2525,768765,771290,771290,0.9997731588600909,0,72226,708,715,0,8,726,0,0,0.0
76,1779698908.8751013,decode,2534,568014,0.7362796756819817,771254,2526,1693.1633647911715,71500,9,2534,768720,771254,771254,0.9997264943970239,9,71509,0,717,0,9,0,0,0,0.0
77,1779698910.220464,decode,2526,771414,0.9999338920106551,771372,2526,1693.1633647911715,71517,8,2526,768846,771372,771372,0.9998794501370769,0,71517,662,709,0,8,678,0,0,0.0
79,1779698910.6069765,decode,2533,549138,0.7118119422138399,771247,2525,1693.1633647911715,70839,9,2533,768714,771247,771247,0.9997174207514274,9,70848,0,669,0,9,0,0,0,0.0
80,1779698912.0613296,decode,2525,771438,0.9999650016526997,771364,2525,1693.1633647911715,70856,8,2525,768839,771364,771364,0.9998690802563953,0,70856,723,661,0,8,741,0,0,0.0
82,1779698912.4606607,decode,2534,563980,0.7310506633483048,771272,2526,1693.1633647911715,70115,9,2534,768738,771272,771272,0.9997498266285574,9,70124,0,732,0,9,0,0,0,0.0
83,1779698913.7645054,decode,2526,771280,0.9997601965092389,771390,2526,1693.1633647911715,70132,8,2526,768864,771390,771390,0.9999027823686104,0,70132,675,724,0,8,691,0,0,0.0
85,1779698914.162061,decode,2534,563906,0.7309547419520004,771414,2525,1693.1633647911715,69441,8,2534,768880,771414,771414,0.9999338920106551,8,69449,0,683,0,8,0,0,0,0.0
86,1779698915.495556,decode,2525,771206,0.9996642751129344,771230,2525,1693.1633647911715,69458,9,2525,768705,771230,771230,0.9996953847549792,0,69458,675,674,0,9,691,0,0,0.0
88,1779698915.893472,decode,2533,555922,0.7206056010318032,771339,2525,1693.1633647911715,68767,8,2533,768806,771339,771339,0.9998366743792654,8,68775,0,683,0,8,0,0,0,0.0
89,1779698917.2564929,decode,2525,771322,0.9998146383828171,771456,2525,1693.1633647911715,68783,8,2525,768931,771456,771456,0.9999883338842332,0,68783,701,675,0,8,718,0,0,0.0
91,1779698917.5782592,decode,2534,554290,0.7184901453727648,771456,2525,1693.1633647911715,68065,8,2534,768922,771456,771456,0.9999883338842332,8,68073,0,710,0,8,0,0,0,0.0
92,1779698918.965562,decode,2525,771190,0.9996435353515714,771272,2525,1693.1633647911715,68082,9,2525,768747,771272,771272,0.9997498266285574,0,68082,706,701,0,9,723,0,0,0.0
94,1779698919.278064,decode,2534,562212,0.72875891971768,771324,2526,1693.1633647911715,67359,8,2534,768790,771324,771324,0.9998172308529875,8,67367,0,715,0,8,0,0,0,0.0
