batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778310290.084896,decode,603,181502,0.9996089726996855,181503,601,0.0,79395,2,603,180900,181503,181503,0.9996144801264505,2,79397,0,0,0,0,0.0
4,1778310290.167058,decode,601,181497,0.9995814355658605,181502,599,0.0,79395,2,601,180901,181502,181502,0.9996089726996855,4,79399,0,0,0,0,0.0
5,1778310290.276925,decode,599,85120,0.4687921662361695,181497,597,0.0,79395,2,599,180898,181497,181497,0.9995814355658605,6,79401,0,0,0,0,0.0
6,1778310290.7651825,decode,597,181426,0.9991904082655461,181488,597,0.0,79403,2,597,180891,181488,181488,0.9995318687249757,0,79403,317,321,0,0,0.0
8,1778310290.944249,decode,599,181116,0.9974831059683984,181425,597,0.0,79082,2,599,180826,181425,181425,0.9991849008387811,2,79084,0,0,0,0,0.0
9,1778310290.9890058,decode,597,181113,0.9974665836881034,181420,597,0.0,79083,2,597,180823,181420,181420,0.9991573637049561,3,79086,1,1,0,0,0.0
12,1778310291.2027812,decode,595,45299,0.24948092502739944,181408,593,0.0,79082,2,595,180813,181408,181408,0.9990912745837762,4,79086,1,0,0,0,0.0
13,1778310291.8841386,decode,593,181503,0.9996144801264505,181395,593,0.0,79088,2,593,180802,181395,181395,0.9990196780358314,0,79088,444,454,0,0,0.0
15,1778310292.0604613,decode,601,181193,0.9979071778293028,181504,599,0.0,78634,2,601,180903,181504,181504,0.9996199875532155,2,78636,0,0,0,0,0.0
16,1778310292.104355,decode,599,181186,0.9978686258419479,181501,599,0.0,78635,2,599,180902,181501,181501,0.9996034652729205,3,78638,1,1,0,0,0.0
19,1778310292.3042965,decode,597,71140,0.39179834006157305,181483,595,0.0,78634,2,597,180886,181483,181483,0.9995043315911507,4,78638,1,0,0,0,0.0
20,1778310292.8485038,decode,595,181544,0.9998402846238152,181472,595,0.0,78640,2,595,180877,181472,181472,0.9994437498967358,0,78640,361,368,0,0,0.0
22,1778310293.0248144,decode,600,180620,0.9947514222929621,181544,598,0.0,78272,2,600,180944,181544,181544,0.9998402846238152,2,78274,0,0,0,0,0.0
23,1778310293.0734677,decode,598,181520,0.9997081063814554,181540,598,0.0,78275,2,598,180942,181540,181540,0.9998182549167552,1,78276,3,3,0,0,0.0
25,1778310293.2407708,decode,596,55634,0.3064001806435979,181516,594,0.0,78272,2,596,180920,181516,181516,0.9996860766743955,3,78275,0,0,0,0,0.0
26,1778310293.8655727,decode,594,181336,0.9986947398566968,181506,594,0.0,78277,2,594,180912,181506,181506,0.9996310024067455,0,78277,411,419,0,0,0.0
28,1778310294.0431807,decode,600,181024,0.996976422706019,181336,598,0.0,77858,2,600,180736,181336,181336,0.9986947398566968,2,77860,0,0,0,0,0.0
