,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
0,0,7.19036202380953e-05,0.05
1,1,9.296451645021654e-05,0.1
5,5,9.662643361291515e-05,0.15
6,6,9.717226694624828e-05,0.2
4,4,9.763551694624828e-05,0.25
7,7,9.939210027958153e-05,0.3
9,9,0.00010372430910894669,0.35
11,11,0.00010429697577561334,0.4
14,14,0.00010523522577561301,0.45
13,13,0.00010574371835317484,0.5
15,15,0.0001079465591089469,0.55
16,16,0.00010857822577561328,0.6
17,17,0.00010926271835317528,0.65
18,18,0.00010999371835317389,0.7
19,19,0.0001105783850198416,0.75
2,2,0.00014869857380952394,0.8
3,3,0.000151441323809524,0.85
8,8,0.0001554189904761907,0.9
10,10,0.00015575682380952402,0.95
12,12,0.00015677182380952406,1.0
