,Request Id,prefill_e2e_time,cdf
0,0,0.036814653561904796,0.05
1,1,0.04980312414870547,0.1
5,5,0.051670341878533144,0.15
11,11,0.05414701940539568,0.2
7,7,0.055099547095123214,0.25
6,6,0.05654647345803154,0.3
18,18,0.05860725079227169,0.35
16,16,0.05915416541645824,0.4
17,17,0.06395560974959791,0.45
14,14,0.06436285929872909,0.5
19,19,0.06718525630297068,0.55
15,15,0.06757700202367012,0.6
13,13,0.07903258728448614,0.65
10,10,0.0834827697253373,0.7
8,8,0.08349085655258337,0.75
2,2,0.08563794658801843,0.8
12,12,0.09107054963180672,0.85
9,9,0.09456496111589252,0.9
3,3,0.10173775233161503,0.95
4,4,0.10532668581101634,1.0
