,Request Id,request_execution_plus_preemption_time,cdf
19,19,15.545934682939064,0.05
18,18,15.631697737738477,0.1
17,17,15.709074675153781,0.15
16,16,15.772325931137626,0.2
0,0,15.803810293056287,0.25
1,1,15.82775661562829,0.3
15,15,15.907809134346822,0.35
14,14,15.963213990889418,0.4
4,4,15.973702873022816,0.45
6,6,15.994660683493226,0.5
3,3,15.99525289680348,0.55
13,13,15.997911214933296,0.6
5,5,16.00397437635326,0.65
2,2,16.015283331555572,0.7
12,12,16.023377996301264,0.75
7,7,16.029483057680807,0.8
9,9,16.036373029928995,0.85
11,11,16.037091883447008,0.9
8,8,16.06095464837632,0.95
10,10,16.062065352561007,1.0
