,cdf,batch_total_kv_tokens
0,0.0,513.372437267971
1,0.01,1044.1952969595702
2,0.02,1071.7004007610685
3,0.03,1505.683066499475
4,0.04,2641.235624783471
5,0.05,2995.906597253914
6,0.06,3718.2270728281387
7,0.07,3800.9345423218165
8,0.08,4416.056126441172
9,0.09,4478.315733308702
10,0.1,5546.943718276316
11,0.11,5670.32878039774
12,0.12,5750.27170471055
13,0.13,5796.458394172815
14,0.14,5854.713789046407
15,0.15,5901.739366541061
16,0.16,5949.14265762144
17,0.17,6802.207301598134
18,0.18,7165.28029124903
19,0.19,7824.4011985625875
20,0.2,8030.503416967201
21,0.21,8578.398491022037
22,0.22,8699.340730502689
23,0.23,8875.079129775406
24,0.24,9595.049394161582
25,0.25,9808.479676797426
26,0.26,9986.630921506685
27,0.27,10188.374316396288
28,0.28,10373.425580795974
29,0.29,11103.355123446481
30,0.3,11533.401902555197
31,0.31,11932.280206824988
32,0.32,12670.131460629362
33,0.33,13426.728566033196
34,0.34,13670.598001993874
35,0.35000000000000003,13918.896834251875
36,0.36,14171.705513854646
37,0.37,14342.79049391409
38,0.38,14429.105953080596
39,0.39,14515.940861966043
40,0.4,14750.063984169234
41,0.41000000000000003,15017.969138169508
42,0.42,15260.189319225223
43,0.43,15506.316194692847
44,0.44,15756.412774438744
45,0.45,16010.543084595847
46,0.46,16236.267144626265
47,0.47000000000000003,16498.136877561385
48,0.48,16730.73526096811
49,0.49,17000.58011727475
50,0.5,17171.438845219298
51,0.51,17274.777217839575
52,0.52,17413.529751956652
53,0.53,17659.03376854769
54,0.54,17907.99901459773
55,0.55,18160.47428812452
56,0.56,18416.50907512296
57,0.5700000000000001,18527.34032778177
58,0.58,18638.838567138
59,0.59,18863.852085904116
60,0.6,19129.80341923151
61,0.61,19360.744009502767
62,0.62,19633.700755563405
63,0.63,19870.724542077627
64,0.64,20070.42871071046
65,0.65,20312.724805023114
66,0.66,20557.94596875834
67,0.67,20806.12751421098
68,0.68,21057.30517997624
69,0.6900000000000001,21268.93468627382
70,0.7000000000000001,21396.93194484126
71,0.71,21611.97475801543
72,0.72,21872.88084775216
73,0.73,22136.936672227308
74,0.74,22359.41665904628
75,0.75,22629.34608634873
76,0.76,22856.774871711277
77,0.77,23132.708553040386
78,0.78,23365.19621699182
79,0.79,23600.020421593752
80,0.8,23837.204649477957
81,0.81,24124.974366266204
82,0.8200000000000001,24318.7482880145
83,0.8300000000000001,24612.331340658242
84,0.84,24859.689465828425
85,0.85,25109.53358231904
86,0.86,25311.215570521275
87,0.87,25463.539429323966
88,0.88,25565.5976013271
89,0.89,25668.064823709956
90,0.9,25822.53621490223
91,0.91,26082.057105339198
92,0.92,26291.550488247474
93,0.93,26555.785052075553
94,0.9400000000000001,26769.0834596312
95,0.9500000000000001,26984.095098807597
96,0.96,27200.833730432278
97,0.97,27474.20674583255
98,0.98,27694.881997430202
99,0.99,27973.22028212483
100,1.0,28197.9036544552
