,Request Id,request_e2e_time,cdf
19,19,15.556503806111843,0.05
18,18,15.633988204733894,0.1
17,17,15.717087773106524,0.15
16,16,15.775888044956943,0.2
0,0,15.803810293056287,0.25
1,1,15.829961907354484,0.3
15,15,15.920117498106777,0.35
14,14,15.973696414591082,0.4
6,6,16.0014549562748,0.45
5,5,16.006171984222,0.5
3,3,16.01945269134462,0.55
13,13,16.022803018420994,0.6
2,2,16.024787608353115,0.65
4,4,16.029040174157352,0.7
7,7,16.033693849432836,0.75
12,12,16.03418137214263,0.8
11,11,16.037838851255334,0.85
8,8,16.064870981805132,0.9
10,10,16.06580062849591,0.95
9,9,16.07783114478114,1.0
