,Request Id,request_e2e_time_normalized,cdf
19,19,0.015556503806111843,0.05
18,18,0.015633988204733894,0.1
17,17,0.015717087773106524,0.15
16,16,0.015775888044956943,0.2
0,0,0.015803810293056286,0.25
1,1,0.015829961907354483,0.3
15,15,0.015920117498106776,0.35
14,14,0.015973696414591083,0.4
6,6,0.016001454956274797,0.45
5,5,0.016006171984222,0.5
3,3,0.016019452691344617,0.55
13,13,0.016022803018420993,0.6
2,2,0.016024787608353117,0.65
4,4,0.016029040174157353,0.7
7,7,0.016033693849432838,0.75
12,12,0.01603418137214263,0.8
11,11,0.016037838851255332,0.85
8,8,0.016064870981805132,0.9
10,10,0.01606580062849591,0.95
9,9,0.01607783114478114,1.0
