,cdf,batch_memory_usage_percent
0,0.0,0.0
1,0.01,0.8667535942030656
2,0.02,0.8931501798985628
3,0.03,1.2349118244605763
4,0.04,2.2056004034905707
5,0.05,2.4571442451893977
6,0.06,3.074062185241739
7,0.07,3.155035926211009
8,0.08,3.6656289593914484
9,0.09,3.6876888540052732
10,0.1,4.622797356749544
11,0.11,4.678605120523999
12,0.12,4.744566264846449
13,0.13,4.763582543446756
14,0.14,4.811457359965823
15,0.15,4.859813326551216
16,0.16,4.908655278843117
17,0.17,5.646297818369505
18,0.18,5.888492902598986
19,0.19,6.0678242703145076
20,0.2,6.665867697530743
21,0.21,7.063920095063338
22,0.22,7.22104846412871
23,0.23,7.337514522242242
24,0.24,7.9169037573966206
25,0.25,8.125442581759952
26,0.26,8.27302485316726
27,0.27,8.4401510975436
28,0.28,8.542043073834684
29,0.29,9.198130341634384
30,0.3,9.51624416998461
31,0.31,9.845359843713084
32,0.32,10.517076656543349
33,0.33,11.122836119267022
34,0.34,11.27965102021249
35,0.35000000000000003,11.461577024136483
36,0.36,11.73998246750052
37,0.37,11.81063412888531
38,0.38,11.90549818381622
39,0.39,12.001124195202623
40,0.4,12.243563067397039
41,0.41000000000000003,12.441035710712994
42,0.42,12.591227537970854
43,0.43,12.768744501987658
44,0.44,13.052769798368335
45,0.45,13.263293886862
46,0.46,13.396592251166725
47,0.47000000000000003,13.612661745700427
48,0.48,13.832216158308272
49,0.49,14.083450458310905
50,0.5,14.139897096974835
51,0.51,14.253469997488642
52,0.52,14.367955125555637
53,0.53,14.62892004304429
54,0.54,14.835165340816452
55,0.55,14.984261281160485
56,0.56,15.19551634446902
57,0.5700000000000001,15.256420156567279
58,0.58,15.409749779612914
59,0.59,15.595780792689538
60,0.6,15.78405762664718
61,0.61,15.942690096203455
62,0.62,16.199824815691098
63,0.63,16.428217457330952
64,0.64,16.527083095347376
65,0.65,16.72660288349453
66,0.66,16.996381089962515
67,0.67,17.20156638096479
68,0.68,17.374445055117736
69,0.6900000000000001,17.513998130093775
70,0.7000000000000001,17.654672107675523
71,0.71,17.796475991051587
72,0.72,18.047378961282448
73,0.73,18.26525220643967
74,0.74,18.48575568123064
75,0.75,18.671540676742623
76,0.76,18.821512138145472
77,0.77,19.08686654325755
78,0.78,19.27869280539285
79,0.79,19.472446954159587
80,0.8,19.62885136541647
81,0.81,19.865816608672393
82,0.8200000000000001,20.105642565755424
83,0.8300000000000001,20.307707700568226
84,0.84,20.429920258545526
85,0.85,20.676556240123897
86,0.86,20.884359154676908
87,0.87,20.968063917115735
88,0.88,21.010042023055906
89,0.89,21.178796533510287
90,0.9,21.263681404501444
91,0.91,21.434473168836654
92,0.92,21.69323640739604
93,0.93,21.9112571309243
94,0.9400000000000001,22.043119910414347
95,0.9500000000000001,22.22017219356959
96,0.96,22.443488711565614
97,0.97,22.623756792241156
98,0.98,22.805472802038963
99,0.99,23.034671690915182
100,1.0,23.266174067691793
