,Request Id,request_scheduling_delay,cdf
0,0,0.0,0.05
11,11,0.0007469678082816511,0.1
5,5,0.0021976078687205858,0.15
1,1,0.0022052917261946026,0.2
18,18,0.0022904669954466605,0.25
16,16,0.003562113819344237,0.3
10,10,0.0037352759348610043,0.35
8,8,0.003916333428773733,0.4
7,7,0.004210791751977472,0.45
6,6,0.006794272781552424,0.5
17,17,0.008013097952772164,0.55
2,2,0.009504276797542177,0.6
14,14,0.010482423701615229,0.65
19,19,0.010569123172811778,0.7
12,12,0.010803375841330398,0.75
15,15,0.012308363759889307,0.8
3,3,0.02419979454113874,0.85
13,13,0.024891803487660624,0.9
9,9,0.041458114852111816,0.95
4,4,0.05533730113453722,1.0
