batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
84,1769708165.571394,decode,47,236498,0.1007017245050032,236451,47,18.715292413778332,0,0,0,0,0,0.0
85,1769708165.5795813,decode,47,241498,0.10283074302746434,236498,47,18.715292413778332,1,0,0,0,0,0.0
88,1769708165.5927022,decode,49,246596,0.10500149031296573,246547,49,18.715292413778332,0,0,0,0,0,0.0
89,1769708165.6010795,decode,49,251596,0.10713050883542687,246596,49,18.715292413778332,1,0,0,0,0,0.0
91,1769708165.6115124,decode,50,251696,0.1071730892058761,251646,50,18.715292413778332,0,0,0,0,0,0.0
92,1769708165.6200447,decode,50,256696,0.10930210772833723,251696,50,18.715292413778332,1,0,0,0,0,0.0
95,1769708165.6331313,decode,52,261800,0.11147540983606558,261748,52,18.715292413778332,0,0,0,0,0,0.0
96,1769708165.6416445,decode,52,266800,0.11360442835852672,261800,52,18.715292413778332,1,0,0,0,0,0.0
98,1769708165.6529958,decode,53,266906,0.1136495635512029,266853,53,18.715292413778332,0,0,0,0,0,0.0
99,1769708165.6622536,decode,53,271906,0.11577858207366404,266906,53,18.715292413778332,1,0,0,0,0,0.0
102,1769708165.6760337,decode,55,277016,0.11795443900361934,276961,55,18.715292413778332,0,0,0,0,0,0.0
103,1769708165.6853685,decode,55,282016,0.12008345752608048,277016,55,18.715292413778332,1,0,0,0,0,0.0
106,1769708165.6999764,decode,57,287130,0.12226101767085373,287073,57,18.715292413778332,0,0,0,0,0,0.0
107,1769708165.7095506,decode,57,292130,0.12439003619331489,287130,57,18.715292413778332,1,0,0,0,0,0.0
109,1769708165.7213452,decode,58,297188,0.12654375133063658,292188,58,18.715292413778332,1,0,0,0,0,0.0
111,1769708165.733266,decode,59,297306,0.12659399616776665,297247,59,18.715292413778332,0,0,0,0,0,0.0
112,1769708165.7430155,decode,59,302306,0.12872301469022782,297306,59,18.715292413778332,1,0,0,0,0,0.0
115,1769708165.7574277,decode,61,307428,0.130903981264637,307367,61,18.715292413778332,0,0,0,0,0,0.0
116,1769708165.7672887,decode,61,312428,0.13303299978709815,307428,61,18.715292413778332,1,0,0,0,0,0.0
118,1769708165.7793808,decode,62,312552,0.13308579944645518,312490,62,18.715292413778332,0,0,0,0,0,0.0
119,1769708165.7892876,decode,62,317552,0.13521481796891632,312552,62,18.715292413778332,1,0,0,0,0,0.0
122,1769708165.8037462,decode,64,322680,0.13739833936555249,322616,64,18.715292413778332,0,0,0,0,0,0.0
123,1769708165.8138409,decode,64,327680,0.13952735788801363,322680,64,18.715292413778332,1,0,0,0,0,0.0
126,1769708165.8293982,decode,66,332812,0.14171258249946775,332746,66,18.715292413778332,0,0,0,0,0,0.0
127,1769708165.8399312,decode,66,337812,0.1438416010219289,332812,66,18.715292413778332,1,0,0,0,0,0.0
130,1769708165.8550484,decode,68,342948,0.14602852884820097,342880,68,18.715292413778332,0,0,0,0,0,0.0
131,1769708165.8657374,decode,68,347948,0.1481575473706621,342948,68,18.715292413778332,1,0,0,0,0,0.0
134,1769708165.8813875,decode,70,353088,0.15034617841175218,353018,70,4896.283933855102,0,0,0,0,0,0.0
135,1769708165.8921323,decode,70,358088,0.15247519693421333,353088,70,4896.283933855102,1,0,0,0,0,0.0
