batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
129,1771511910.7000349,decode,214,1079047,0.9135578267922394,1078833,214,95.61106011993122,170,0,0,0,0,0.0
130,1771511910.767672,decode,214,1079261,0.9137390064581238,1079047,214,95.61106011993122,176,0,0,0,0,0.0
131,1771511910.8352857,decode,214,1079475,0.9139201861240082,1079261,214,95.61106011993122,182,0,0,0,0,0.0
132,1771511910.9036887,decode,214,1079689,0.9141013657898925,1079475,214,95.61106011993122,187,0,0,0,0,0.0
133,1771511910.9725978,decode,214,1079903,0.9142825454557769,1079689,214,95.61106011993122,193,0,0,0,0,0.0
134,1771511911.0170095,decode,214,1080117,0.9144637251216613,1079903,214,95.61106011993122,199,0,0,0,0,0.0
135,1771511911.0525706,decode,214,1080331,0.9146449047875457,1080117,214,95.61106011993122,202,0,0,0,0,0.0
136,1771511911.0888958,decode,214,1080545,0.91482608445343,1080331,214,95.61106011993122,205,0,0,0,0,0.0
137,1771511911.1219993,decode,214,1080759,0.9150072641193144,1080545,214,95.61106011993122,208,0,0,0,0,0.0
138,1771511911.1552663,decode,214,1080973,0.9151884437851988,1080759,214,95.61106011993122,211,0,0,0,0,0.0
139,1771511911.189821,decode,214,1081187,0.9153696234510832,1080973,214,95.61106011993122,214,0,0,0,0,0.0
140,1771511911.2240417,decode,214,1081401,0.9155508031169676,1081187,214,95.61106011993122,217,0,0,0,0,0.0
141,1771511911.2584505,decode,214,1081615,0.915731982782852,1081401,214,95.61106011993122,220,0,0,0,0,0.0
142,1771511911.2927377,decode,214,1081829,0.9159131624487363,1081615,214,95.61106011993122,223,0,0,0,0,0.0
143,1771511911.3269176,decode,214,1082043,0.9160943421146207,1081829,214,95.61106011993122,225,0,0,0,0,0.0
144,1771511911.3610978,decode,214,1082257,0.9162755217805051,1082043,214,95.61106011993122,228,0,0,0,0,0.0
145,1771511911.395258,decode,214,1082471,0.9164567014463895,1082257,214,95.61106011993122,231,0,0,0,0,0.0
146,1771511911.4296186,decode,214,1082685,0.9166378811122738,1082471,214,95.61106011993122,234,0,0,0,0,0.0
147,1771511911.463691,decode,214,1082899,0.9168190607781582,1082685,214,95.61106011993122,237,0,0,0,0,0.0
148,1771511911.4970534,decode,214,1083113,0.9170002404440426,1082899,214,95.61106011993122,240,0,0,0,0,0.0
149,1771511911.5297008,decode,214,1083327,0.917181420109927,1083113,214,95.61106011993122,242,0,0,0,0,0.0
150,1771511911.5628374,decode,214,1083541,0.9173625997758114,1083327,214,95.61106011993122,245,0,0,0,0,0.0
151,1771511911.5966876,decode,214,1083755,0.9175437794416957,1083541,214,95.61106011993122,248,0,0,0,0,0.0
152,1771511911.6307328,decode,214,1083969,0.9177249591075801,1083755,214,95.61106011993122,251,0,0,0,0,0.0
153,1771511911.6649373,decode,214,1084183,0.9179061387734645,1083969,214,95.61106011993122,253,0,0,0,0,0.0
154,1771511911.6990917,decode,214,1084397,0.9180873184393489,1084183,214,95.61106011993122,255,0,0,0,0,0.0
155,1771511911.732903,decode,214,1084611,0.9182684981052333,1084397,214,95.61106011993122,255,0,0,0,0,0.0
156,1771511911.7670257,decode,214,1084825,0.9184496777711176,1084611,214,95.61106011993122,255,0,0,0,0,0.0
157,1771511911.8011978,decode,214,1085039,0.918630857437002,1084825,214,95.61106011993122,255,0,0,0,0,0.0
158,1771511911.8354096,decode,214,1085253,0.9188120371028864,1085039,214,4547.672064471347,255,0,0,0,0,0.0
159,1771511911.8684022,decode,214,1085467,0.9189932167687708,1085253,214,4547.672064471347,255,0,0,0,0,0.0
160,1771511911.9023783,decode,214,1085681,0.9191743964346551,1085467,214,4547.672064471347,255,0,0,0,0,0.0
161,1771511911.9353824,decode,214,1085895,0.9193555761005395,1085681,214,4547.672064471347,255,0,0,0,0,0.0
162,1771511911.968387,decode,214,1086109,0.9195367557664238,1085895,214,4547.672064471347,255,0,0,0,0,0.0
163,1771511912.0023785,decode,214,1086323,0.9197179354323082,1086109,214,4547.672064471347,255,0,0,0,0,0.0
164,1771511912.036522,decode,214,1086537,0.9198991150981926,1086323,214,4547.672064471347,257,0,0,0,0,0.0
165,1771511912.0706453,decode,214,1086751,0.9200802947640769,1086537,214,4547.672064471347,260,0,0,0,0,0.0
166,1771511912.1046014,decode,214,1086965,0.9202614744299613,1086751,214,4547.672064471347,263,0,0,0,0,0.0
167,1771511912.138703,decode,214,1087179,0.9204426540958457,1086965,214,4547.672064471347,266,0,0,0,0,0.0
168,1771511912.1731591,decode,214,1087393,0.9206238337617301,1087179,214,4547.672064471347,268,0,0,0,0,0.0
169,1771511912.2071567,decode,214,1087607,0.9208050134276144,1087393,214,4547.672064471347,271,0,0,0,0,0.0
170,1771511912.2414827,decode,214,1087821,0.9209861930934988,1087607,214,4547.672064471347,273,0,0,0,0,0.0
171,1771511912.275736,decode,214,1088035,0.9211673727593832,1087821,214,4547.672064471347,276,0,0,0,0,0.0
172,1771511912.3100023,decode,214,1088249,0.9213485524252676,1088035,214,4547.672064471347,279,0,0,0,0,0.0
173,1771511912.3441632,decode,214,1088463,0.921529732091152,1088249,214,4547.672064471347,281,0,0,0,0,0.0
174,1771511912.378158,decode,214,1088677,0.9217109117570363,1088463,214,4547.672064471347,284,0,0,0,0,0.0
175,1771511912.4121926,decode,214,1088891,0.9218920914229207,1088677,214,4547.672064471347,286,0,0,0,0,0.0
176,1771511912.446338,decode,214,1089105,0.9220732710888051,1088891,214,4547.672064471347,289,0,0,0,0,0.0
177,1771511912.4804363,decode,214,1089319,0.9222544507546895,1089105,214,4547.672064471347,292,0,0,0,0,0.0
178,1771511912.514979,decode,214,1089533,0.9224356304205739,1089319,214,4547.672064471347,294,0,0,0,0,0.0
179,1771511912.5492275,decode,214,1089747,0.9226168100864582,1089533,214,4547.672064471347,297,0,0,0,0,0.0
180,1771511912.5830998,decode,214,1089961,0.9227979897523426,1089747,214,4547.672064471347,299,0,0,0,0,0.0
181,1771511912.617225,decode,214,1090175,0.922979169418227,1089961,214,4547.672064471347,302,0,0,0,0,0.0
182,1771511912.6511812,decode,214,1090389,0.9231603490841114,1090175,214,4547.672064471347,305,0,0,0,0,0.0
183,1771511912.6842098,decode,214,1090603,0.9233415287499958,1090389,214,4547.672064471347,307,0,0,0,0,0.0
184,1771511912.7179008,decode,214,1090817,0.9235227084158801,1090603,214,4547.672064471347,310,0,0,0,0,0.0
185,1771511912.7520354,decode,214,1091031,0.9237038880817645,1090817,214,4547.672064471347,313,0,0,0,0,0.0
186,1771511912.7870667,decode,214,1091245,0.9238850677476489,1091031,214,4547.672064471347,316,0,0,0,0,0.0
187,1771511912.821319,decode,214,1091459,0.9240662474135333,1091245,214,4547.672064471347,319,0,0,0,0,0.0
188,1771511912.8543675,decode,214,1091673,0.9242474270794176,1091459,214,4547.672064471347,321,0,0,0,0,0.0
189,1771511912.8881054,decode,214,1091887,0.924428606745302,1091673,214,4547.672064471347,324,0,0,0,0,0.0
190,1771511912.922247,decode,214,1092101,0.9246097864111864,1091887,214,4547.672064471347,327,0,0,0,0,0.0
191,1771511912.9564848,decode,214,1092315,0.9247909660770708,1092101,214,4547.672064471347,330,0,0,0,0,0.0
192,1771511912.9893866,decode,214,1092529,0.9249721457429552,1092315,214,4547.672064471347,333,0,0,0,0,0.0
193,1771511913.0223148,decode,214,1092743,0.9251533254088395,1092529,214,4547.672064471347,335,0,0,0,0,0.0
194,1771511913.0563772,decode,214,1092957,0.9253345050747239,1092743,214,4547.672064471347,337,0,0,0,0,0.0
195,1771511913.0903857,decode,214,1093171,0.9255156847406083,1092957,214,4547.672064471347,340,0,0,0,0,0.0
196,1771511913.1244473,decode,214,1093385,0.9256968644064927,1093171,214,4547.672064471347,343,0,0,0,0,0.0
197,1771511913.158466,decode,214,1093599,0.9258780440723771,1093385,214,4547.672064471347,346,0,0,0,0,0.0
198,1771511913.192735,decode,214,1093813,0.9260592237382614,1093599,214,6306.493607513555,349,0,0,0,0,0.0
199,1771511913.2266688,decode,214,1094027,0.9262404034041458,1093813,214,6306.493607513555,351,0,0,0,0,0.0
200,1771511913.2607508,decode,214,1094241,0.9264215830700302,1094027,214,6306.493607513555,354,0,0,0,0,0.0
201,1771511913.2949827,decode,214,1094455,0.9266027627359146,1094241,214,6306.493607513555,357,0,0,0,0,0.0
202,1771511913.3280518,decode,214,1094669,0.926783942401799,1094455,214,6306.493607513555,360,0,0,0,0,0.0
203,1771511913.37448,decode,214,1094883,0.9269651220676833,1094669,214,6306.493607513555,362,0,0,0,0,0.0
