batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1779692773.9387515,decode,2563,771308,0.9997964910916244,771463,2554,0.0,57429,8,2563,768900,771463,771463,0.9999974075298296,8,57437,0,0,0,0,0.0
4,1779692774.0755794,decode,2554,771438,0.9999650016526997,771308,2546,0.0,57429,9,2554,768754,771308,771308,0.9997964910916244,17,57446,0,0,0,0,0.0
5,1779692774.2182696,decode,2546,771248,0.9997187169865127,771438,2537,0.0,57429,8,2546,768892,771438,771438,0.9999650016526997,25,57454,0,0,0,0,0.0
6,1779692774.4716704,decode,2537,390705,0.5064455289611324,771248,2529,0.0,57429,9,2537,768711,771248,771248,0.9997187169865127,34,57463,0,0,0,0,0.0
7,1779692777.1407611,decode,2529,771455,0.9999870376491481,771345,2529,0.0,57471,8,2529,768816,771345,771345,0.9998444517897765,0,57471,1248,1269,0,0,0.0
9,1779692777.3926833,decode,2541,769896,0.997966207151329,771296,2533,0.0,56202,9,2541,768755,771296,771296,0.999780936270602,9,56211,0,0,0,0,0.0
10,1779692777.4476511,decode,2533,770484,0.9987283933814236,771421,2533,0.0,56207,8,2533,768888,771421,771421,0.9999429656562514,12,56219,5,5,0,0,0.0
13,1779692777.6837087,decode,2524,769773,0.99780677023585,771206,2516,0.0,56202,9,2524,768682,771206,771206,0.9996642751129344,18,56220,3,0,0,0,0.0
14,1779692777.7968783,decode,2516,583705,0.7566189004037772,771298,2516,0.0,56207,8,2516,768782,771298,771298,0.9997835287407725,21,56228,5,5,0,0,0.0
17,1779692779.0287478,decode,2516,771439,0.9999662978877849,771339,2508,0.0,55598,8,2516,768823,771339,771339,0.9998366743792654,8,55606,617,0,0,0,0.0
18,1779692779.1286972,decode,2508,769695,0.9977056638992048,771439,2499,0.0,55598,8,2508,768931,771439,771439,0.9999662978877849,16,55614,0,0,0,0,0.0
19,1779692779.1829045,decode,2499,771195,0.9996500165269974,771220,2499,0.0,55603,9,2499,768721,771220,771220,0.9996824224041272,20,55623,5,5,0,0,0.0
21,1779692779.3970182,decode,2491,679218,0.8804262020960121,771277,2483,0.0,55598,8,2491,768786,771277,771277,0.9997563078039833,28,55626,0,0,0,0,0.0
22,1779692779.880917,decode,2483,771360,0.9998638953160546,771328,2483,0.0,55634,8,2483,768845,771328,771328,0.9998224157933283,0,55634,302,307,0,0,0.0
24,1779692780.1208181,decode,2480,769372,0.9972869799666868,771440,2471,0.0,55327,8,2480,768960,771440,771440,0.9999675941228702,8,55335,0,0,0,0,0.0
25,1779692780.1762636,decode,2471,771172,0.9996202031200379,771202,2471,0.0,55333,9,2471,768731,771202,771202,0.9996590901725937,11,55344,6,6,0,0,0.0
27,1779692780.3629947,decode,2463,769432,0.9973647540717985,771231,2455,0.0,55327,8,2463,768768,771231,771231,0.9996966809900644,19,55346,0,0,0,0,0.0
28,1779692780.4323683,decode,2455,729584,0.9457123783969461,771262,2455,0.0,55333,8,2455,768807,771262,771262,0.9997368642777054,21,55354,6,6,0,0,0.0
31,1779692781.0117307,decode,2449,361466,0.4685449113051143,771353,2441,0.0,55209,8,2449,768904,771353,771353,0.9998548216704581,8,55217,137,0,0,0,0.0
32,1779692784.0219452,decode,2441,770962,0.9993479937521469,771386,2441,0.0,55225,8,2441,768945,771386,771386,0.9998975974282696,0,55225,1281,1366,0,0,0.0
35,1779692784.3553894,decode,2518,770220,0.9983861873189321,771380,2509,0.0,53858,8,2518,768862,771380,771380,0.9998898200177584,8,53866,1,0,0,0,0.0
36,1779692784.416158,decode,2509,749442,0.9714530147187493,771180,2509,0.0,53862,9,2509,768671,771180,771180,0.9996305730007194,13,53875,3,4,0,0,0.0
39,1779692784.804269,decode,2503,770270,0.9984509990731919,771445,2494,0.0,53798,8,2503,768942,771445,771445,0.9999740752982961,8,53806,72,0,0,0,0.0
40,1779692784.970576,decode,2494,375467,0.4866934987329302,771230,2494,0.0,53801,9,2494,768736,771230,771230,0.9996953847549792,14,53815,3,3,0,0,0.0
