Time (sec),throughput
0.0,0
0.01961745404582178,1
0.033029744730958835,2
0.046929000749429226,3
0.06112887695837581,4
0.07064118511421993,5
0.08780605275750991,7
0.1050979668007999,9
0.12287684617742323,11
0.14095634574452273,13
0.15063671790036687,15
0.160317090056211,17
0.16999746221205514,19
0.17967783436789928,21
0.1893582065237434,23
0.19903857867958755,25
0.20871895083543168,27
0.21839932299127582,29
0.22807969514711995,31
0.2377600673029641,33
0.24744043945880823,35
0.25712081161465233,37
0.26680118377049644,39
0.27648155592634055,41
0.28616192808218466,43
0.29584230023802877,45
0.3055226723938729,47
0.315203044549717,49
0.3248834167055611,51
0.3345637888614052,53
0.3442441610172493,55
0.3539245331730934,57
0.3712574648163834,60
0.38871744285967336,63
0.41936126635505805,68
0.45065052985044274,73
0.474114320784664,78
0.49793169251888525,83
0.5083412806747294,88
0.5187508688305735,93
0.5291604569864177,98
0.5395700451422618,103
0.549979633298106,108
0.5603892214539501,113
0.57845136909724,119
0.59664056314053,125
0.6153167225171534,131
0.639154947584708,138
0.657490957627998,145
0.6763139330046214,152
0.6954375285717209,159
0.706555724727565,166
0.7176739208834091,173
0.7287921170392532,180
0.7399103131950973,187
0.7510285093509413,194
0.7621467055067854,201
0.7732649016626295,208
0.7843830978184736,215
0.7955012939743177,222
0.8066194901301618,229
0.8177376862860058,236
0.8365084419292959,244
0.8554062439725858,252
0.8747910113492091,260
0.8944763989163086,268
0.9058936030721527,276
0.9173108072279968,284
0.928728011383841,292
0.9401452155396851,300
0.9515624196955292,308
0.9629796238513734,316
0.9743968280072175,324
0.9858140321630616,332
0.9972312363189058,340
1.0086484404747498,348
1.0200656446305938,356
1.0314828487864378,364
1.0429000529422818,372
1.0672587366765032,382
1.091917226277391,392
1.1169792252116124,402
1.1423948049458337,412
1.1539888693314035,422
1.1655829337169734,432
1.1771769981025433,442
1.1887710624881132,452
1.200365126873683,462
1.2119591912592529,472
1.2235532556448228,482
1.2351473200303926,492
1.2467413844159625,502
1.2583354488015324,512
1.2699295131871022,522
1.281523577572672,532
1.293117641958242,542
1.3047117063438118,552
1.3163057707293817,562
1.3278998351149516,572
1.3394938995005214,582
1.3600164975819067,593
1.380666142063292,604
1.4066177703479317,616
1.4329729079659048,628
1.4542729737806235,640
1.4758736597858182,652
1.4877234681713882,664
1.5085018102527734,677
1.5345116486707466,691
1.560906372422053,705
1.5876650108400263,719
1.609522592845221,733
1.622080497230791,747
1.6346384016163609,761
1.6471963060019308,775
1.6597542103875007,789
1.6723121147730706,803
1.6848700191586405,817
1.6974279235442105,831
1.7099858279297804,845
