rid,seqlen,extend_input_len,cached_tokens,finished_reason,finished_len,lb_entry_time,lb_entry_time_perf,decode_prealloc_queue_entry_time,decode_transfer_queue_entry_time,wait_queue_entry_time,forward_entry_time,completion_time,retraction_count,is_retracted,retracted_stain,kv_committed_len,kv_allocated_len,input_len,output_len,disagg_mode
batchq-000000-type_a-0.000000000,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.145720996,12988390.345756343,12988391.60171212,12988391.645309528,12988394.300358284,0,False,False,304,304,300,4,decode
batchq-000003-type_a-0.283772169,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.148515347,12988390.348229025,12988391.601772623,12988391.645311747,12988394.30039278,0,False,False,304,304,300,4,decode
batchq-000006-type_a-2.892001493,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.151203053,12988390.35048644,12988391.601827811,12988391.645312704,12988394.30041586,0,False,False,304,304,300,4,decode
batchq-000011-type_a-5.113960402,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.153827917,12988390.354250545,12988391.601917356,12988391.645313956,12988394.300446823,0,False,False,304,304,300,4,decode
batchq-000012-type_a-6.263687348,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.153854104,12988390.355000908,12988391.601935074,12988391.645314252,12988394.300459458,0,False,False,304,304,300,4,decode
batchq-000015-type_a-7.100438559,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.15393359,12988390.35726658,12988391.60198886,12988391.645315163,12988394.30048169,0,False,False,304,304,300,4,decode
batchq-000016-type_a-7.892226396,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.153959451,12988390.358005652,12988391.60200624,12988391.645315403,12988394.30049429,0,False,False,304,304,300,4,decode
batchq-000017-type_a-8.128485375,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.153985895,12988390.358780237,12988391.602023903,12988391.64531564,12988394.300506776,0,False,False,304,304,300,4,decode
batchq-000019-type_a-9.597094385,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.15403806,12988390.360294469,12988391.60206056,12988391.645316252,12988394.30052406,0,False,False,304,304,300,4,decode
batchq-000024-type_a-11.862673725,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.15418219,12988390.364069408,12988391.602154855,12988391.645317852,12988394.300554695,0,False,False,304,304,300,4,decode
batchq-000025-type_a-13.141551330,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.154208908,12988390.364831587,12988391.6021729,12988391.645318182,12988394.300567279,0,False,False,304,304,300,4,decode
batchq-000027-type_a-13.832262180,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.154260771,12988390.366333514,12988391.602209512,12988391.645318808,12988394.300583964,0,False,False,304,304,300,4,decode
batchq-000029-type_a-14.416039901,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.154310998,12988390.367831688,12988391.602245351,12988391.645319393,12988394.300601836,0,False,False,304,304,300,4,decode
batchq-000031-type_a-16.037704899,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.154361239,12988390.369333357,12988391.602281082,12988391.645319983,12988394.300619297,0,False,False,304,304,300,4,decode
batchq-000034-type_a-17.900947303,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.15443932,12988390.371594485,12988391.602334568,12988391.645321071,12988394.30064106,0,False,False,304,304,300,4,decode
batchq-000036-type_a-18.161193478,304,301,0,"{""type"": ""length"", ""length"": 4}",4,1779698883.17423,12988385.921597095,12988387.15449048,12988390.373091249,12988391.602370538,12988391.645321758,12988394.300658427,0,False,False,304,304,300,4,decode
