batch_id,time,num_admissions,num_restarts_in_scheduling
0,0.006332209760684723,0,0
1,0.04313302787670191,0,0
2,0.05264533603254603,0,0
3,0.06215764418839015,0,0
4,0.07166995234423428,0,0
5,0.10892107446025145,0,0
6,0.11925232661609557,0,0
7,0.1289326987719397,0,0
8,0.13861307092778383,0,0
9,0.14829344308362796,0,0
10,0.1579738152394721,0,0
11,0.16765418739531623,0,0
12,0.17733455955116037,0,0
13,0.1870149317070045,0,0
14,0.19669530386284864,0,0
15,0.20637567601869278,0,0
16,0.2160560481745369,0,0
17,0.22573642033038105,0,0
18,0.23541679248622518,0,0
19,0.24509716464206932,0,0
20,0.25477753679791343,0,0
21,0.26445790895375754,0,0
22,0.27413828110960164,0,0
23,0.28381865326544575,0,0
24,0.29349902542128986,0,0
25,0.30317939757713397,0,0
26,0.3128597697329781,0,0
27,0.3225401418888222,0,0
28,0.3322205140446663,0,0
29,0.3419008862005104,0,0
30,0.3515812583563545,0,0
31,0.3612616305121986,0,0
32,0.3986808166282158,0,0
33,0.437343394744233,0,0
34,0.4761445968602502,0,0
35,0.48729680524582014,0,0
36,0.4977063934016643,0,0
37,0.5081159815575084,0,0
38,0.5185255697133525,0,0
39,0.5289351578691966,0,0
40,0.5393447460250408,0,0
41,0.5497543341808849,0,0
42,0.5601639223367291,0,0
43,0.5983123244527463,0,0
44,0.6096279888383163,0,0
45,0.6201843929941604,0,0
46,0.6584796111101776,0,0
47,0.6699420914957476,0,0
48,0.6810602876515917,0,0
49,0.6921784838074357,0,0
50,0.7032966799632798,0,0
51,0.7144148761191239,0,0
52,0.725533072274968,0,0
53,0.7366512684308121,0,0
54,0.7477694645866562,0,0
55,0.7588876607425002,0,0
56,0.7700058568983443,0,0
57,0.7811240530541884,0,0
58,0.7922422492100325,0,0
59,0.8033604453658766,0,0
60,0.8144786415217207,0,0
61,0.8533356516377378,0,0
62,0.8653599240233077,0,0
63,0.8767771281791519,0,0
64,0.888194332334996,0,0
65,0.8996115364908401,0,0
66,0.9110287406466843,0,0
67,0.9224459448025284,0,0
68,0.9338631489583725,0,0
69,0.9452803531142167,0,0
70,0.9566975572700608,0,0
71,0.9681147614259049,0,0
72,0.979531965581749,0,0
73,0.9909491697375932,0,0
74,1.0023663738934372,0,0
75,1.0137835780492812,0,0
76,1.0252007822051252,0,0
77,1.0366179863609692,0,0
78,1.0757740044769863,0,0
79,1.1161465345930035,0,0
80,1.128858379351445,0,0
81,1.140452443737015,0,0
82,1.1520465081225848,0,0
83,1.1636405725081547,0,0
84,1.1752346368937245,0,0
85,1.1868287012792944,0,0
86,1.1984227656648643,0,0
87,1.2100168300504341,0,0
88,1.221610894436004,0,0
89,1.2332049588215739,0,0
90,1.2447990232071438,0,0
91,1.2563930875927136,0,0
92,1.2679871519782835,0,0
93,1.2795812163638534,0,0
94,1.2911752807494232,0,0
95,1.302769345134993,0,0
96,1.314363409520563,0,0
97,1.3259574739061328,0,0
98,1.3375515382917027,0,0
99,1.3767972844077199,0,0
