request_id,req_type,prefill_tokens,decode_tokens,target_arrival,actual_send_offset,send_delay,send_time_epoch,recv_time_epoch,client_latency,server_prompt_tokens,server_completion_tokens,server_e2e_latency
0,short,5000,500,0.0,0.00502467155456543,0.00502467155456543,1771518487.6412992,1771518500.9016855,13.260386228561401,5000,500,12.804952383041382
1,long,5000,711,0.0,0.005603790283203125,0.005603790283203125,1771518487.6418784,1771518504.9880195,17.34614109992981,5000,711,17.0977041721344
2,long,5000,711,0.0007680784344120898,0.00579380989074707,0.0050257314563349805,1771518487.6420684,1771518504.986622,17.34455370903015,5000,711,16.99995231628418
3,long,5000,711,0.00113845773596645,0.0059468746185302734,0.0048084168825638235,1771518487.6422215,1771518505.093905,17.451683521270752,5000,711,17.03347420692444
4,long,5000,711,0.0028193649034544467,0.006088733673095703,0.0032693687696412565,1771518487.6423633,1771518504.9324465,17.290083169937134,5000,711,17.166659116744995
5,short,5000,500,0.003010121430917521,0.006226301193237305,0.0032161797623197837,1771518487.6425009,1771518500.8932452,13.250744342803955,5000,500,13.006359338760376
6,long,5000,711,0.003973694487103262,0.006366729736328125,0.002393035249224863,1771518487.6426413,1771518504.9884844,17.345843076705933,5000,711,16.973102569580078
7,long,5000,711,0.00415116814120375,0.0065038204193115234,0.002352652278107773,1771518487.6427784,1771518505.1472526,17.50447416305542,5000,711,17.074214696884155
8,short,5000,500,0.00432686712446297,0.006639719009399414,0.002312851884936444,1771518487.6429143,1771518500.8914313,13.248517036437988,5000,500,13.102211952209473
9,short,5000,500,0.005239809678238923,0.006781578063964844,0.0015417683857259206,1771518487.6430562,1771518500.893457,13.25040078163147,5000,500,12.950344800949097
10,short,5000,500,0.00540943454870127,0.0069200992584228516,0.001510664709721582,1771518487.6431947,1771518500.8997583,13.256563663482666,5000,500,12.816564321517944
11,short,5000,500,0.005579030840615875,0.007124423980712891,0.0015453931400970155,1771518487.643399,1771518500.8909714,13.247572422027588,5000,500,13.074374198913574
12,short,5000,500,0.005638869609224556,0.00726771354675293,0.001628843937528374,1771518487.6435423,1771518500.8936772,13.250134944915771,5000,500,12.908076286315918
13,long,5000,711,0.0065694692332028785,0.007406473159790039,0.0008370039265871605,1771518487.643681,1771518504.9097302,17.26604914665222,5000,711,17.239136219024658
14,short,5000,500,0.007650100473704496,0.014077186584472656,0.0064270861107681605,1771518487.6503518,1771518500.8899727,13.239620923995972,5000,500,13.088171243667603
15,long,5000,711,0.00829846374457015,0.01429438591003418,0.00599592216546403,1771518487.650569,1771518504.9875503,17.336981296539307,5000,711,17.071439266204834
16,short,5000,500,0.008569182627331761,0.014447450637817383,0.005878268010485622,1771518487.650722,1771518500.8925383,13.241816282272339,5000,500,12.880717992782593
17,short,5000,500,0.009800432689036352,0.014592409133911133,0.004791976444874781,1771518487.650867,1771518500.8911371,13.240270137786865,5000,500,13.166035175323486
18,short,5000,500,0.00982123199703549,0.01473236083984375,0.00491112884280826,1771518487.651007,1771518500.8938785,13.242871522903442,5000,500,13.061190366744995
19,long,5000,711,0.011290202269603585,0.014967203140258789,0.003677000870655204,1771518487.6512418,1771518504.9904666,17.339224815368652,5000,711,17.058237314224243
20,long,5000,711,0.01258380627379972,0.015117168426513672,0.0025333621527139517,1771518487.6513917,1771518504.989866,17.33847427368164,5000,711,16.94438338279724
21,short,5000,500,0.013324789472193803,0.015256404876708984,0.0019316154045151811,1771518487.651531,1771518500.891287,13.239756107330322,5000,500,13.145272493362427
22,long,5000,711,0.013534210293391092,0.015416383743286133,0.0018821734498950405,1771518487.651691,1771518504.989433,17.33774209022522,5000,711,17.126427173614502
23,long,5000,711,0.014075912799984205,0.015572309494018555,0.0014963966940343496,1771518487.651847,1771518504.988973,17.33712601661682,5000,711,17.044724702835083
24,short,5000,500,0.015111219015548478,0.015721559524536133,0.000610340508987655,1771518487.6519961,1771518500.8943834,13.242387294769287,5000,500,12.858095407485962
25,short,5000,500,0.015349906640797424,0.01588153839111328,0.0005316317503158575,1771518487.652156,1771518500.890584,13.238427877426147,5000,500,13.12964653968811
26,short,5000,500,0.015550585629547089,0.016034364700317383,0.0004837790707702943,1771518487.652309,1771518500.8940635,13.241754531860352,5000,500,13.03392767906189
27,short,5000,500,0.015753197052379347,0.016187429428100586,0.0004342323757212385,1771518487.652462,1771518500.8928,13.24033808708191,5000,500,12.934467792510986
28,short,5000,500,0.016115950781839826,0.016332626342773438,0.00021667556093361157,1771518487.6526072,1771518500.8967829,13.244175672531128,5000,500,12.854297876358032
29,long,5000,711,0.016774931161531323,0.019823789596557617,0.0030488584350262943,1771518487.6560984,1771518505.2751389,17.619040489196777,5000,711,17.161277532577515
30,short,5000,500,0.01685987861270068,0.020114898681640625,0.003255020068939945,1771518487.6563895,1771518500.904015,13.247625589370728,5000,500,12.77978253364563
31,short,5000,500,0.017425415679481016,0.020448923110961914,0.003023507431480898,1771518487.6567235,1771518500.9057887,13.249065160751343,5000,500,12.768977165222168
32,short,5000,500,0.017769638672034956,0.020689010620117188,0.0029193719480822312,1771518487.6569636,1771518500.9071743,13.250210762023926,5000,500,12.756107091903687
33,short,5000,500,0.018716009545934754,0.02143073081970215,0.002714721273767394,1771518487.6577053,1771518500.9090648,13.251359462738037,5000,500,12.745337009429932
34,long,5000,711,0.018785323541578244,0.022796630859375,0.004011307317796756,1771518487.6590712,1771518505.5069249,17.847853660583496,5000,711,17.326106786727905
35,long,5000,711,0.018831596480231368,0.023070096969604492,0.004238500489373125,1771518487.6593447,1771518505.5288754,17.86953067779541,5000,711,17.335946083068848
36,long,5000,711,0.01885831729709788,0.02330327033996582,0.00444495304286794,1771518487.6595778,1771518505.5861547,17.926576852798462,5000,711,17.379184246063232
37,short,5000,500,0.018866244074662093,0.023528337478637695,0.004662093403975602,1771518487.659803,1771518500.9134448,13.253641843795776,5000,500,12.695062160491943
38,short,5000,500,0.019211759586664497,0.023746490478515625,0.004534730891851128,1771518487.660021,1771518500.9135993,13.253578186035156,5000,500,12.68161916732788
39,long,5000,711,0.019330665058681144,0.02398085594177246,0.004650190883091317,1771518487.6602554,1771518505.7173424,18.057086944580078,5000,711,17.469008207321167
40,short,5000,500,0.019668036804885342,0.024384260177612305,0.004716223372726962,1771518487.6606588,1771518500.9163415,13.255682706832886,5000,500,12.657667636871338
41,short,5000,500,0.020276971492745117,0.024638652801513672,0.004361681308768555,1771518487.6609132,1771518500.9185803,13.257667064666748,5000,500,12.646738290786743
42,long,5000,711,0.02099431278167723,0.025745153427124023,0.0047508406454467925,1771518487.6620197,1771518505.7948213,18.13280153274536,5000,711,17.506422758102417
43,short,5000,500,0.02181490750377603,0.026671171188354492,0.004856263684578463,1771518487.6629457,1771518500.9214787,13.258533000946045,5000,500,12.621949195861816
44,short,5000,500,0.02203764336590472,0.026937484741210938,0.004899841375306219,1771518487.663212,1771518500.9221525,13.25894045829773,5000,500,12.608423948287964
45,short,5000,500,0.022759672520937847,0.027167797088623047,0.0044081245676852,1771518487.6634424,1771518500.9234846,13.260042190551758,5000,500,12.598440647125244
46,short,5000,500,0.02365717724224761,0.027380704879760742,0.0037235276375131333,1771518487.6636553,1771518500.924799,13.261143684387207,5000,500,12.58561396598816
47,short,5000,500,0.023704741092004017,0.027586698532104492,0.0038819574401004753,1771518487.6638613,1771518500.9282215,13.264360189437866,5000,500,12.574883222579956
