batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,real_admission,real_retraction,retracted_K_new,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
49,1779702212.1165192,decode,1534,466658,0.9990259316268226,466984,1534,0.0,55416,5,1534,465450,466984,466984,0.9997238355601321,9,55425,1,397,0,5,1,0,0,0.0
52,1779702212.292378,decode,1529,466366,0.9984008152203,466981,1524,0.0,55415,5,1529,465452,466981,466981,0.999717413131298,13,55428,1,0,3,2,0,0,0,0.0
53,1779702212.333026,decode,1524,466966,0.9996853009871273,466990,1524,0.0,55417,5,1524,465466,466990,466990,0.9997366804178004,16,55433,2,0,5,0,2,0,0,0.0
55,1779702212.4947298,decode,1519,409554,0.8767771395786459,466973,1514,0.0,55415,5,1519,465454,466973,466973,0.9997002866544069,21,55436,0,0,3,2,0,0,0,0.0
56,1779702212.809172,decode,1514,466588,0.9988760749540261,466962,1514,0.0,55441,5,1514,465448,466962,466962,0.9996767377486818,0,55441,184,0,5,0,191,0,0,0.0
59,1779702213.0614982,decode,1516,466286,0.9982295504513897,466904,1511,0.0,55249,5,1516,465388,466904,466904,0.9995525707912218,5,55254,1,171,0,5,0,0,0,0.0
60,1779702213.1181574,decode,1511,415076,0.8885986902526798,466910,1511,0.0,55251,5,1511,465399,466910,466910,0.9995654156488901,8,55259,2,166,0,5,2,0,0,0.0
63,1779702213.6344411,decode,1514,343754,0.7359118671499187,466990,1509,0.0,55084,5,1514,465476,466990,466990,0.9997366804178004,5,55089,165,170,0,5,0,0,0,0.0
64,1779702214.5238814,decode,1509,466112,0.9978570495790098,466994,1509,0.0,55094,5,1509,465485,466994,466994,0.999745243656246,0,55094,395,165,0,5,411,0,0,0.0
67,1779702214.790481,decode,1520,403394,0.8635897523725522,467032,1515,0.0,54680,5,1520,465512,467032,467032,0.9998265944214784,5,54685,3,409,0,5,0,0,0,0.0
68,1779702215.1688957,decode,1515,346732,0.7422871981726049,467042,1515,1933.371232508412,54690,5,1515,465527,467042,467042,0.9998480025175921,0,54690,204,404,0,5,212,0,0,0.0
71,1779702215.954574,decode,1536,466782,0.9992913920186336,467068,1531,1933.371232508412,54077,5,1536,465532,467068,467068,0.9999036635674879,5,54082,383,608,0,5,0,0,0,0.0
72,1779702216.0128016,decode,1531,411504,0.8809517183208345,467094,1531,1933.371232508412,54078,5,1531,465563,467094,467094,0.9999593246173838,9,54087,1,603,0,5,1,0,0,0.0
75,1779702216.4703674,decode,1534,465190,0.9958832231173185,467038,1529,1933.371232508412,53901,5,1534,465504,467038,467038,0.9998394392791465,5,53906,177,181,0,5,0,0,0,0.0
76,1779702216.5192084,decode,1529,464792,0.9950311808919897,467062,1529,1933.371232508412,53907,5,1529,465533,467062,467062,0.9998908187098197,4,53911,6,176,0,5,6,0,0,0.0
79,1779702216.8461053,decode,1524,441970,0.946173623941102,466916,1519,1933.371232508412,53898,5,1524,465392,466916,466916,0.9995782605065584,5,53903,7,8,0,5,0,0,0,0.0
80,1779702217.197596,decode,1519,466242,0.998135354828489,466930,1519,1933.371232508412,53908,5,1519,465411,466930,466930,0.9996082318411177,0,53908,80,3,0,5,83,0,0,0.0
83,1779702217.6544144,decode,1517,439722,0.9413610839347224,466859,1512,1933.371232508412,53823,5,1517,465342,466859,466859,0.9994562343587098,5,53828,2,80,0,5,0,0,0,0.0
84,1779702217.9137318,decode,1512,440018,0.9419947635796906,466866,1512,1933.371232508412,53833,5,1512,465354,466866,466866,0.9994712200259894,0,53833,87,75,0,5,91,0,0,0.0
87,1779702218.2730346,decode,1515,409630,0.8769398411091106,467033,1510,1933.371232508412,53652,5,1515,465518,467033,467033,0.9998287352310897,5,53657,86,176,0,5,0,0,0,0.0
88,1779702218.5953307,decode,1510,442438,0.9471755228392273,467038,1510,1933.371232508412,53662,5,1510,465528,467038,467038,0.9998394392791465,0,53662,184,171,0,5,191,0,0,0.0
91,1779702218.9526517,decode,1516,370652,0.7934953640767866,467054,1511,1933.371232508412,53389,5,1516,465538,467054,467054,0.9998736922329287,5,53394,78,268,0,5,0,0,0,0.0
92,1779702219.4393528,decode,1511,397872,0.8517682016985183,467060,1511,1933.371232508412,53399,5,1511,465549,467060,467060,0.9998865370905969,0,53399,309,263,0,5,321,0,0,0.0
95,1779702220.024784,decode,1528,439150,0.9401365408370137,466900,1523,1933.371232508412,52848,5,1528,465372,466900,466900,0.9995440075527763,5,52853,220,546,0,5,0,0,0,0.0
96,1779702220.4341166,decode,1523,374734,0.802234148910435,466918,1523,1933.371232508412,52858,5,1523,465395,466918,466918,0.9995825421257811,0,52858,89,541,0,5,93,0,0,0.0
99,1779702221.1615696,decode,1535,466582,0.9988632300963578,466869,1530,1933.371232508412,52458,5,1535,465334,466869,466869,0.9994776424548235,5,52463,294,395,0,5,0,0,0,0.0
100,1779702221.2121587,decode,1530,439564,0.9410228360161246,466894,1530,1933.371232508412,52459,5,1530,465364,466894,466894,0.999531162695108,9,52468,1,390,0,5,1,0,0,0.0
103,1779702221.56014,decode,1529,455368,0.9748561911143556,466893,1524,1933.371232508412,52376,5,1529,465364,466893,466893,0.9995290218854966,5,52381,87,87,0,5,0,0,0,0.0
104,1779702221.6761565,decode,1524,466440,0.9985592351315421,466912,1524,1933.371232508412,52386,5,1524,465388,466912,466912,0.9995696972681128,0,52386,37,82,0,5,39,0,0,0.0
107,1779702221.9113286,decode,1521,442112,0.9464776189059179,467061,1516,1933.371232508412,52345,5,1521,465540,467061,467061,0.9998886779002083,5,52350,2,36,0,5,0,0,0,0.0
