Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.953518015941074,0.019845060053136913,5.953518015941074,0.019845060053136913,5.953518015941074,0.019845060053136913,0.0,0.0,5.953518015941074,0.019845060053136913,0.010851237441548282,0.010851237441548282,0.0005425618720774141,0.01980888926166509,,,320,20,300,0.06666666666666667,0.0
1,0.12718510333465546,0.012718510333465546,0.11639701243952469,0.011639701243952468,0.11639701243952469,0.011639701243952468,0.0,0.010788090895130753,0.11639701243952469,0.011639701243952468,0.02222035315682808,0.011432262261697326,0.0005716131130848662,0.010496475017782739,,6.314654641752838e-05,30,20,10,2.0,0.0
2,5.977977201664972,0.01992659067221657,5.9674714040220405,0.019891571346740133,5.9674714040220405,0.019891571346740133,0.0,0.010505797642931105,5.9674714040220405,0.019891571346740133,0.02193805990462843,0.011432262261697326,0.0005716131130848662,0.019853463805867808,,0.0002822932521996482,320,20,300,0.06666666666666667,0.0
3,6.003170372717972,0.020010567909059907,5.981255050914496,0.019937516836381654,5.981255050914496,0.019937516836381654,0.0,0.02191532180347679,5.981255050914496,0.019937516836381654,0.0334036108742248,0.01148828907074801,0.0005744144535374005,0.019899222539479157,,2.2738101151641545e-05,320,20,300,0.06666666666666667,0.0
4,0.13904599279558402,0.013904599279558403,0.11713823353640902,0.011713823353640903,0.11713823353640902,0.011713823353640903,0.0,0.021907759259174948,0.11713823353640902,0.011713823353640903,0.03339604832992296,0.01148828907074801,0.0005744144535374005,0.010564994446566106,,7.562544301839623e-06,30,20,10,2.0,0.0
5,0.1510465135989719,0.015104651359897189,0.11782644415101545,0.011782644415101545,0.11782644415101545,0.011782644415101545,0.0,0.03322006944795642,0.11782644415101545,0.011782644415101545,0.04470933371079894,0.011489264262842518,0.0005744632131421259,0.010633717988817296,,0.00017597888196653835,30,20,10,2.0,0.0
6,0.16318513236145882,0.01631851323614588,0.11853122156795075,0.011853122156795074,0.11853122156795075,0.011853122156795074,0.0,0.04465391079350802,0.11853122156795075,0.011853122156795074,0.05617517869270354,0.011521267899195518,0.000576063394959776,0.010700995366875526,,5.5422917290920155e-05,30,20,10,2.0,0.0
7,6.027950485215004,0.020093168284050014,5.9949826709979,0.019983275569993,5.9949826709979,0.019983275569993,0.0,0.0329678142171049,5.9949826709979,0.019983275569993,0.04445707847994742,0.011489264262842518,0.0005744632131421259,0.01994497802245019,,0.0001968323135606003,320,20,300,0.06666666666666667,0.0
8,0.17496983179358694,0.017496983179358695,0.1192139375910194,0.01192139375910194,0.1192139375910194,0.01192139375910194,0.0,0.0557558942025675,0.1192139375910194,0.01192139375910194,0.06740220068407922,0.011646306481511721,0.000582315324075586,0.010756763110950774,,0.00022245217657544062,30,20,10,2.0,0.0
9,6.052942312200442,0.020176474374001475,6.0087093158892095,0.02002903105296403,6.0087093158892095,0.02002903105296403,0.0,0.04423299631123341,6.0087093158892095,0.02002903105296403,0.05575426421042893,0.011521267899195518,0.000576063394959776,0.019990626826633377,,1.629992138566785e-06,320,20,300,0.06666666666666667,0.0
10,6.077858773869352,0.020259529246231173,6.022403957144166,0.020074679857147223,6.022403957144166,0.020074679857147223,0.0,0.055454816725185554,6.022403957144166,0.020074679857147223,0.06710112320669728,0.011646306481511721,0.000582315324075586,0.02003585883554218,,0.0002994474852433713,320,20,300,0.06666666666666667,0.0
11,0.18683203267930126,0.018683203267930125,0.11977315603962577,0.011977315603962577,0.11977315603962577,0.011977315603962577,0.0,0.06705887663967547,0.11977315603962577,0.011977315603962577,0.07871378325942414,0.011654906619748676,0.0005827453309874338,0.010811824941987711,,4.224656702181743e-05,30,20,10,2.0,0.0
12,6.102929844224011,0.020343099480746703,6.0359735598168065,0.020119911866056023,6.0359735598168065,0.020119911866056023,0.0,0.06695628440720519,6.0359735598168065,0.020119911866056023,0.07861119102695387,0.011654906619748676,0.0005827453309874338,0.020081062177323524,,0.00010259223247027077,320,20,300,0.06666666666666667,0.0
