Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,throughput,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,2.024950122631582,0.028927858894736883,0.8977816976622695,0.012825452823746706,0.8977816976622695,0.012825452823746706,1.1271684249693126,0.0,2.024950122631582,0.028927858894736883,0.010548332711826012,0.010548332711826012,0.0009589393374387283,0.02877716842742508,,,81,11,70,0.15714285714285714,0
1,7.244666880131621,0.03109299090185245,4.484046797342461,0.019244836040096396,4.484046797342461,0.019244836040096396,2.7504555203658425,0.010164562423299665,7.234502317708303,0.0310493661704219,0.021877432618633046,0.011712870195333382,0.0004880362581388909,0.03099909634125746,,0.0003837702885263472,257,24,233,0.10300429184549356,0
2,0.22139514676364538,0.024599460751516155,0.09688244635036353,0.010764716261151504,0.09688244635036353,0.010764716261151504,0.11922122986990592,0.0052914705433759444,0.21610367622026944,0.024011519580029936,0.017004340738709326,0.011712870195333382,0.011712870195333382,0.022710089558326225,,0.00487309187992372,10,1,9,0.1111111111111111,0
3,12.851543368328729,0.03149888080472728,8.477784962192507,0.020778884711256145,8.477784962192507,0.020778884711256145,4.37229399901207,0.0014644071241317995,12.850078961204577,0.03149529157157985,0.013177277319465181,0.011712870195333382,0.0003444961822156877,0.031466583556395256,,0.003827063419244145,442,34,408,0.08333333333333333,0
4,3.2998356166874125,0.03235132957536679,1.5596319049552878,0.015290508872110664,1.5596319049552878,0.015290508872110664,1.7369222151725505,0.0032814965595758597,3.2965541201278383,0.032319158040469004,0.014133266455867079,0.010851769896291219,0.00045215707901213414,0.03221276813952496,,0.020205949588001256,126,24,102,0.23529411764705882,0
5,7.767823349719399,0.03132186834564274,4.8502235889960845,0.019557353181435824,4.8502235889960845,0.019557353181435824,2.910264704946465,0.007335055776831835,7.760488293942549,0.03129229150783286,0.017882221712354755,0.01054716593552292,0.0011719073261692134,0.031249762612931633,,0.01710868195149383,257,9,248,0.036290322580645164,0
6,2.8218427014467724,0.031706097769064856,1.3195275314657597,0.01482615203894112,1.3195275314657597,0.01482615203894112,1.4975135320879833,0.004801637893029717,2.8170410635537433,0.03165214678150274,0.016095931545587097,0.01129429365255738,0.00188238227542623,0.031525244605631296,,0.03374678938714213,95,6,89,0.06741573033707865,0
7,4.927531994867888,0.031385554107438776,2.80570496810728,0.01787073228093809,2.80570496810728,0.01787073228093809,2.118403455604027,0.0034235711565665933,4.924108423711307,0.03136374792172807,0.014717864809123973,0.01129429365255738,0.00023529778442827874,0.03129180974559722,,0.0013780667364631238,205,48,157,0.3057324840764331,0
8,2.9157100242196092,0.03169250026325662,1.3825659946253062,0.01502789124592724,1.3825659946253062,0.01502789124592724,1.526729894473005,0.006414135121298348,2.909295889098311,0.03162278140324251,0.017818427187833247,0.011404292066534899,0.0008145922904667785,0.03149882170686713,,0.008303729687825626,106,14,92,0.15217391304347827,0
9,0.6662103369474659,0.028965666823802864,0.2611201506585883,0.011353050028634274,0.2611201506585883,0.011353050028634274,0.3991343871858727,0.005955799103005033,0.660254537844461,0.028706719036715695,0.017360091169539932,0.011404292066534899,0.0008145922904667785,0.028210880251214175,,0.00045833601829331494,37,14,23,0.6086956521739131,0
10,0.7176763434538859,0.028707053738155436,0.28457920049841506,0.011383168019936602,0.28457920049841506,0.011383168019936602,0.43087947560943285,0.0022176673460379964,0.7154586761078479,0.028618347044313916,0.013621959412572895,0.011404292066534899,0.0014255365083168624,0.02816217536165252,,0.0037381317569670364,33,8,25,0.32,0
