Time (sec),throughput
0.0,0
0.010564936259827028,1
0.03045372559316042,25
0.05832258745982703,81
0.09429275687966204,181
0.135444126464403,319
0.17684216393058688,495
0.21874867713010412,705
0.2609831135296214,945
0.2979740255296212,1201
0.3235520559642084,1457
0.3536835866308751,1713
0.3845834863642084,1969
0.42297830838406963,2225
0.4653042647835869,2480
0.5077225859831042,2736
0.5497487781443335,2992
0.5881436001641948,3248
0.6300165592587575,3504
0.6651075629920908,3760
0.690685593426678,4016
0.7162636238612652,4272
0.7569200940051212,4528
0.7953149160249824,4784
0.8376189076244996,5035
0.8799448640240168,5290
0.9223631852235341,5545
0.9647815064230514,5801
1.003132432469233,6057
1.0331914618025664,6313
1.0587694922371536,6569
1.0889010229038203,6825
1.1265421474043331,7081
1.1643240693575014,7337
1.2026056279370163,7593
1.2449096195365335,7845
1.2873059759360508,8098
1.325097613089219,8354
1.3635677439689926,8610
1.394467643702326,8866
1.4200456741369132,9122
1.45017720480358,9378
1.488045540909755,9634
1.5259138770159302,9890
1.5643840078957039,10146
1.6067099642952212,10401
1.6491063206947385,10655
1.6915026770942558,10909
1.7304606958025064,11165
1.7668232387986873,11421
1.7924012692332745,11677
1.8225327998999412,11933
1.8631892700437973,12189
1.9011693559520477,12445
1.938951277905216,12701
1.9772431101869976,12957
2.0155246687665125,13213
2.0578286603660296,13465
2.100246981565547,13721
2.131994994365547,13977
2.157573024800134,14233
2.187704555466801,14489
2.2254082184001343,14745
2.2633883043083847,15001
2.305714260707902,15257
2.3435069377896833,15513
2.3858109293892005,15766
2.423602566542369,16022
2.465928522941886,16277
2.502376810941886,16533
2.527954841376473,16789
2.55808637204314,17045
2.595727496543653,17301
2.633368621044166,17557
2.6718387519239397,17813
2.70981883783219,18069
2.7481003964117052,18325
2.7904263528112225,18581
2.829373999252806,18837
2.8603797229861394,19093
2.8859577534207266,19349
2.9160892840873935,19605
2.9511802878207267,19861
2.989472120102508,20117
3.027753678682023,20373
3.066223809561797,20629
3.1042038954700475,20885
3.1465078870695646,21138
3.1889042434690817,21392
3.2260451610362613,21648
3.2516231914708484,21904
3.2772012219054356,22160
3.312292225638769,22416
3.350272311547019,22672
3.3880542335001875,22928
3.4303582250997047,23180
3.468742422181486,23436
3.5067225080897364,23692
3.5451173301095977,23948
3.582985666215773,24204
3.6085636966503603,24460
3.638695227317027,24716
3.6737862310503604,24972
