Time (sec),throughput
0.0,0
0.010564936259827028,1
0.030192861593160418,24
0.05790732345982699,54
0.09330963347968821,100
0.12081692734635488,136
0.14832422121302155,172
0.18810209015014345,220
0.21560938401681012,256
0.2411874144513973,512
0.26676544488598447,768
0.29234347532057164,1024
0.3179215057551588,1280
0.343499536189746,1536
0.36907756662433316,1792
0.39465559705892034,2048
0.4202336274935075,2304
0.4458116579280947,2560
0.5999393302143178,2733
0.625517360648905,2989
0.6510953910834921,3245
0.6766734215180793,3501
0.7022514519526665,3757
0.7278294823872536,4013
0.7534075128218408,4269
0.778985543256428,4525
0.8045635736910152,4781
0.8301416041256023,5037
0.9265266656588271,5142
0.9521046960934143,5398
1.0305694793201086,5481
1.0561475097546957,5737
1.081725540189283,5993
1.10730357062387,6249
1.1328816010584573,6505
1.1584596314930444,6761
1.1840376619276316,7017
1.2096156923622188,7273
1.235193722796806,7529
1.2985988036479068,7599
1.324176834082494,7855
1.43573562221525,7977
1.4613136526498371,8233
1.4868916830844243,8489
1.5124697135190115,8745
1.5380477439535987,9001
1.5636257743881858,9257
1.589203804822773,9513
1.6147818352573602,9769
1.6403598656919474,10025
1.6780888222358035,10067
1.7036668526703906,10323
1.8152256408031466,10445
1.8408036712377338,10701
1.8707780765467337,10730
1.8963561069813208,10986
1.921934137415908,11242
1.9475121678504952,11498
1.9730901982850824,11754
1.9986682287196695,12010
2.0242462591542565,12266
2.0498242895888437,12522
2.07781580745551,12553
2.1033938378900974,12809
2.2016246436576297,12915
2.227202674092217,13171
2.2776371128203836,13228
2.303215143254971,13484
2.328793173689558,13740
2.354371204124145,13996
2.3799492345587323,14252
2.4055272649933195,14508
2.4311052954279067,14764
2.456683325862494,15020
2.476191469251675,15042
2.501769499686262,15298
2.5821950142594576,15386
2.607773044694045,15642
2.6862378279207393,15725
2.7118158583553265,15981
2.724329343651642,15988
2.749907374086229,16244
2.775485404520816,16500
2.8010634349554033,16756
2.8266414653899905,17012
2.8522194958245777,17268
2.877797526259165,17524
2.896408006507688,17539
2.921986036942275,17795
2.979910490989935,17857
3.0054885214245224,18113
3.0828682459035512,18192
3.1084462763381384,18448
3.1279544197273195,18470
3.1535324501619066,18726
3.179110480596494,18982
3.204688511031081,19238
3.230266541465668,19494
3.2558445719002553,19750
3.2814226023348425,20006
3.2952066298308074,20014
3.3207846602653945,20270
3.3598449473599574,20315
3.3854229777945446,20571
3.46584849236774,20659
3.4914265228023273,20915
3.5265398737772444,20964
3.5521179042118316,21220
3.56338872272705,21223
3.588966753161637,21479
3.6145447835962243,21735
3.6401228140308115,21991
3.6657008444653987,22247
3.691278874899986,22503
3.7021658670082007,22505
3.727743897442788,22761
3.7564608147761214,22799
3.7820388452107085,23055
3.862464359783904,23143
3.8880423902184913,23399
3.9369754173217006,23455
3.962553447756288,23711
3.9756556523928457,23720
4.001233682827433,23976
4.02681171326202,24232
4.052389743696606,24488
4.077967774131193,24744
4.10354580456578,25000
4.1291238350003665,25256
4.156203000867033,25283
4.18178103130162,25539
4.246575633977257,25614
4.272153664411844,25870
4.330078118459504,25932
4.355656148894091,26188
4.383089249195344,26214
4.408667279629931,26470
4.434245310064518,26726
4.459823340499105,26982
4.485401370933691,27238
4.510979401368278,27494
4.536557431802865,27750
4.5571482051361984,27775
4.582726235570785,28031
4.645637855602018,28099
4.671215886036605,28355
4.7346209668877055,28425
4.760198997322292,28681
4.788915914655625,28719
4.814493945090212,28975
4.825380937198427,28977
4.850958967633014,29233
4.876536998067601,29489
4.9021150285021875,29745
4.927693058936774,30001
4.953271089371361,30257
4.972608905791443,30276
4.99818693622603,30532
5.033102123245865,30582
5.058680153680451,30838
5.123187524356089,30912
5.148765554790676,31168
5.183680741810511,31218
5.209258772245097,31474
5.220971635989584,31480
5.246549666424171,31736
5.272127696858758,31992
5.297705727293344,32248
5.323283757727931,32504
5.348861788162518,32760
5.366376895361602,32778
5.391954925796188,33034
5.420671843129521,33072
5.446249873564108,33328
5.5110444762397455,33403
5.536622506674332,33659
5.5761643777405165,33710
5.601742408175103,33966
5.614844612811661,33975
5.640422643246247,34231
5.651309635354463,34233
5.6768876657890495,34489
5.702465696223636,34745
5.728043726658223,35001
5.75362175709281,35257
5.772232237341333,35272
5.79781026777592,35528
5.825295705642587,35556
5.850873736077173,35812
5.913054377975074,35878
5.938632408409661,36134
5.973745759384578,36183
5.999323789819165,36439
6.026756890120419,36465
6.052334920555006,36721
6.063629227736382,36726
6.089207258170969,36982
6.114785288605556,37238
6.1403633190401425,37494
6.165941349474729,37750
6.179043554111287,37759
6.204621584545873,38015
6.223893755151151,38036
6.249471785585738,38292
6.289013656651922,38343
6.314591687086509,38599
6.365026125814675,38656
6.390604156249262,38912
6.428333112793118,38954
6.453911143227705,39210
6.46642462852402,39217
6.492002658958607,39473
6.502550709325739,39474
6.528128739760326,39730
6.553706770194912,39986
6.579284800629499,40242
6.593068828125464,40250
6.618646858560051,40506
6.637919029165328,40527
6.663497059599915,40783
6.695643512933248,40822
6.721221543367835,41078
6.784133163399068,41146
6.809711193833655,41402
6.849489062770777,41450
6.875067093205364,41706
6.888272618538697,41716
6.913850648973284,41972
6.924398699340416,41973
6.949976729775003,42229
6.975554760209589,42485
7.001132790644176,42741
7.013646275940491,42748
7.039224306375078,43004
7.057203909386291,43021
7.082781939820878,43277
7.1101580016875445,43311
7.135736032122131,43567
7.1933659581697915,43627
7.218943988604378,43883
7.254551937084152,43930
7.2801299675187385,44186
7.2994677839388205,44205
7.325045814373407,44461
7.336450520279833,44465
7.362028550714419,44721
