Time (sec),throughput
0.0,0
0.014347376223542704,1
0.024602849447802076,2
0.034858322672061445,3
0.04511379589632082,4
0.05566184626345269,5
0.06596462658229676,7
0.07626740690114084,9
0.08657018721998491,11
0.09687296753882899,13
0.10717574785767306,15
0.11747852817651713,17
0.1277813084953612,19
0.13808408881420528,21
0.14838686913304935,23
0.15864234235730873,24
0.1688978155815681,25
0.17915328880582748,26
0.18940876203008686,27
0.19966423525434623,28
0.2099197084786056,29
0.22017518170286499,30
0.23072323206999684,31
0.2416102241782118,33
0.25191874774088596,36
0.2622272713035601,39
0.27253579486623425,42
0.2828443184289084,45
0.29315284199158254,48
0.3034613655542567,51
0.3137698891169308,54
0.32407841267960497,57
0.3343869362422791,60
0.34469545980495325,63
0.3552435101720851,64
0.36555367900019703,68
0.37586384782830895,72
0.3864118981954408,73
0.3967223694678994,78
0.407032840740358,83
0.4173433120128166,88
0.4276537832852752,93
0.4379642545577338,98
0.4482747258301924,103
0.458585197102651,108
0.46884067032691035,109
0.4790961435511697,110
0.4967321103567726,111
0.506987583581032,112
0.5172430568052914,113
0.5274985300295507,114
0.5377540032538101,115
0.5480094764780694,116
0.5582649497023288,117
0.5685204229265881,118
0.5787758961508475,119
0.5890313693751068,120
0.5992868425993662,121
0.6095423158236255,122
0.6197977890478849,123
0.6303458394150168,124
0.6408938897821487,125
0.6512024133448229,128
0.6615109369074971,131
0.6718194604701713,134
0.6821279840328455,137
0.6924365075955197,140
0.7027450311581939,143
0.7130535547208681,146
0.7233563350397122,148
0.7336591153585563,150
0.7439145885828157,151
0.754170061807075,152
0.7644255350313344,153
0.7746810082555937,154
0.7849364814798531,155
0.7951919547041124,156
0.8054474279283718,157
0.8159954782955037,158
0.8262982586143478,160
0.8368463089814797,161
0.8471548325441539,164
0.8574633561068281,167
0.8677661364256722,169
0.8780689167445164,171
0.8883716970633605,173
0.8989197474304924,174
0.9092282709931666,177
0.9197763213602985,178
0.9300864901884105,182
0.9403966590165225,186
0.9507068278446345,190
0.9610169966727464,194
0.9713271655008584,198
0.9816373343289704,202
0.9919475031570824,206
1.0022576719851943,210
1.0125678408133063,214
1.0228763643759804,217
1.0331848879386545,220
1.0434934115013286,223
1.0540414618684604,224
1.0643499854311345,227
1.0746527657499785,229
1.0849555460688225,231
1.0952583263876665,233
1.1055611067065105,235
1.1158638870253546,237
1.126119360249614,238
1.1363748334738735,239
1.146630306698133,240
1.1568857799223924,241
1.1671412531466518,242
1.1773967263709113,243
1.1876521995951708,244
1.1979076728194302,245
1.2081631460436897,246
1.2184186192679491,247
1.2286740924922086,248
1.238929565716468,249
1.2494776160835999,250
1.2597803964024439,252
1.2700358696267033,253
1.2802913428509628,254
1.2905468160752223,255
1.3008022892994817,256
1.3110577625237412,257
1.3213132357480006,258
1.33156870897226,259
1.3418241821965196,260
1.352079655420779,261
1.3623351286450385,262
1.372590601869298,263
1.3828460750935574,264
1.3931015483178169,265
1.4033570215420763,266
1.4136124947663358,267
1.4238679679905952,268
1.4341234412148547,269
1.4443789144391141,270
1.7905417476396426,271
1.800797220863902,272
1.8110526940881615,273
1.821308167312421,274
1.8315636405366804,275
1.8418191137609399,276
1.8520745869851993,277
1.8623300602094588,278
1.8725855334337183,279
1.8828410066579777,280
1.8930964798822372,281
1.9033519531064966,282
1.9139000034736284,283
1.9242027837924724,285
1.9345055641113165,287
1.9448083444301605,289
1.9551111247490045,291
1.9654139050678485,293
1.9757166853866925,295
1.9860194657055366,297
1.9963222460243806,299
2.00657771924864,300
2.016833192472899,301
2.0270886656971583,302
2.0373441389214175,303
2.0475996121456768,304
2.0581476625128086,305
2.0684504428316526,307
2.0787532231504966,309
2.0890560034693406,311
2.0993587837881846,313
2.1096615641070287,315
2.1199643444258727,317
2.130219817650132,318
2.140475290874391,319
2.1507307640986504,320
2.1609862373229096,321
2.171241710547169,322
2.181497183771428,323
2.192384175879643,325
2.2026926994423173,328
2.2130012230049916,331
2.223309746567666,334
2.23361827013034,337
2.244166320497472,338
2.254476489325584,342
2.264786658153696,346
2.275096826981808,350
2.2856448773489397,351
2.2959550461770517,355
2.3062652150051637,359
2.3165753838332757,363
2.3268855526613876,367
2.3374336030285194,368
2.347744074300978,373
2.3580545455734363,378
2.3683647144015483,382
2.3786748832296603,386
2.3889850520577722,390
2.3992935756204465,393
2.4098416259875783,394
2.4201517948156903,398
2.4304619636438023,402
2.441010014010934,403
2.4513185375736084,406
