,Time (sec),throughput
0,0.0,0
1,0.01961745404582178,1
2,0.033029744730958835,2
3,0.046929000749429226,3
4,0.06112887695837581,4
5,0.07064118511421993,5
6,0.08780605275750991,7
7,0.1050979668007999,9
8,0.12287684617742323,11
9,0.14095634574452273,13
10,0.15063671790036687,15
11,0.160317090056211,17
12,0.16999746221205514,19
13,0.17967783436789928,21
14,0.1893582065237434,23
15,0.19903857867958755,25
16,0.20871895083543168,27
17,0.21839932299127582,29
18,0.22807969514711995,31
19,0.2377600673029641,33
20,0.24744043945880823,35
21,0.25712081161465233,37
22,0.26680118377049644,39
23,0.27648155592634055,41
24,0.28616192808218466,43
25,0.29584230023802877,45
26,0.3055226723938729,47
27,0.315203044549717,49
28,0.3248834167055611,51
29,0.3345637888614052,53
30,0.3442441610172493,55
31,0.3539245331730934,57
32,0.3712574648163834,60
33,0.38871744285967336,63
34,0.41936126635505805,68
35,0.45065052985044274,73
36,0.474114320784664,78
37,0.49793169251888525,83
38,0.5083412806747294,88
39,0.5187508688305735,93
40,0.5291604569864177,98
41,0.5395700451422618,103
42,0.549979633298106,108
43,0.5603892214539501,113
44,0.57845136909724,119
45,0.59664056314053,125
46,0.6153167225171534,131
47,0.639154947584708,138
48,0.657490957627998,145
49,0.6763139330046214,152
50,0.6954375285717209,159
51,0.706555724727565,166
52,0.7176739208834091,173
53,0.7287921170392532,180
54,0.7399103131950973,187
55,0.7510285093509413,194
56,0.7621467055067854,201
57,0.7732649016626295,208
58,0.7843830978184736,215
59,0.7955012939743177,222
60,0.8066194901301618,229
61,0.8177376862860058,236
62,0.8365084419292959,244
63,0.8554062439725858,252
64,0.8747910113492091,260
65,0.8944763989163086,268
66,0.9058936030721527,276
67,0.9173108072279968,284
68,0.928728011383841,292
69,0.9401452155396851,300
70,0.9515624196955292,308
71,0.9629796238513734,316
72,0.9743968280072175,324
73,0.9858140321630616,332
74,0.9972312363189058,340
75,1.0086484404747498,348
76,1.0200656446305938,356
77,1.0314828487864378,364
78,1.0429000529422818,372
79,1.0672587366765032,382
80,1.091917226277391,392
81,1.1169792252116124,402
82,1.1423948049458337,412
83,1.1539888693314035,422
84,1.1655829337169734,432
85,1.1771769981025433,442
86,1.1887710624881132,452
87,1.200365126873683,462
88,1.2119591912592529,472
89,1.2235532556448228,482
90,1.2351473200303926,492
91,1.2467413844159625,502
92,1.2583354488015324,512
93,1.2699295131871022,522
94,1.281523577572672,532
95,1.293117641958242,542
96,1.3047117063438118,552
97,1.3163057707293817,562
98,1.3278998351149516,572
99,1.3394938995005214,582
100,1.3600164975819067,593
101,1.380666142063292,604
102,1.4066177703479317,616
103,1.4329729079659048,628
104,1.4542729737806235,640
105,1.4758736597858182,652
106,1.4877234681713882,664
107,1.5085018102527734,677
108,1.5345116486707466,691
109,1.560906372422053,705
110,1.5876650108400263,719
111,1.609522592845221,733
112,1.622080497230791,747
113,1.6346384016163609,761
114,1.6471963060019308,775
115,1.6597542103875007,789
116,1.6723121147730706,803
117,1.6848700191586405,817
118,1.6974279235442105,831
119,1.7099858279297804,845
120,1.7225437323153503,859
121,1.7351016367009202,873
122,1.7476595410864901,887
123,1.7691459791678754,902
124,1.7907594636492605,917
125,1.8128599134639791,932
126,1.8352609834691738,947
127,1.8479609678547437,962
128,1.8606609522403137,977
129,1.8733609366258837,992
130,1.8860609210114536,1007
131,1.8987609053970236,1022
132,1.9119874817825935,1037
133,1.9252140581681634,1052
134,1.9384406345537333,1067
135,1.9516672109393032,1082
136,1.964893787324873,1097
137,1.978120363710443,1112
138,1.9913469400960129,1127
139,2.004573516481583,1142
140,2.017800092867153,1157
141,2.031026669252723,1172
142,2.0442532456382927,1187
143,2.0574798220238626,1202
144,2.0707063984094325,1217
145,2.0928615084908175,1233
146,2.115143664972203,1249
147,2.1379127867869214,1265
148,2.160982528792116,1281
149,2.174300369177686,1297
150,2.1876182095632557,1313
151,2.2009360499488255,1329
152,2.2142538903343953,1345
153,2.227571730719965,1361
154,2.240889571105535,1377
155,2.254207411491105,1393
156,2.2675252518766746,1409
157,2.2808430922622445,1425
158,2.2941609326478143,1441
159,2.307478773033384,1457
160,2.320796613418954,1473
161,2.3341144538045238,1489
162,2.3474322941900936,1505
163,2.3607501345756634,1521
164,2.3740679749612332,1537
165,2.387385815346803,1553
166,2.400703655732373,1569
167,2.4140214961179427,1585
168,2.4273393365035125,1601
169,2.4406571768890823,1617
170,2.453975017274652,1633
171,2.467292857660222,1649
172,2.480610698045792,1665
173,2.4939285384313616,1681
174,2.5072463788169315,1697
175,2.5205642192025013,1713
176,2.533882059588071,1729
177,2.547199899973641,1745
178,2.5605177403592108,1761
179,2.5738355807447806,1777
180,2.5871534211303504,1793
181,2.6004712615159202,1809
182,2.61378910190149,1825
183,2.62710694228706,1841
184,2.6404247826726297,1857
185,2.6537426230581995,1873
186,2.6670604634437693,1889
187,2.680378303829339,1905
188,2.693696144214909,1921
189,2.707013984600479,1937
190,2.7203318249860486,1953
191,2.7336496653716185,1969
192,2.7469675057571883,1985
193,2.760285346142758,2001
194,2.773603186528328,2017
195,2.7869210269138978,2033
196,2.8002388672994676,2049
197,2.8135567076850374,2065
198,2.8268745480706072,2081
199,2.840192388456177,2097
200,2.853510228841747,2113
