,Request Id,decode_time_execution_plus_preemption_normalized,cdf
0,0,0.025902242787590877,0.03571428571428571
1,1,0.02604810671910487,0.07142857142857142
2,2,0.02690157630789132,0.10714285714285714
3,3,0.026936610349983632,0.14285714285714285
4,4,0.026936610349983632,0.17857142857142858
5,5,0.027220846803966855,0.21428571428571427
6,6,0.02731909789575496,0.25
7,7,0.02786212753419358,0.2857142857142857
8,8,0.02835903262182753,0.32142857142857145
9,9,0.02835903262182753,0.35714285714285715
10,10,0.029071869117714293,0.39285714285714285
11,11,0.029127231976228577,0.42857142857142855
12,12,0.02922579955720322,0.4642857142857143
13,13,0.0292458072976038,0.5
14,14,0.02964739210306641,0.5357142857142857
15,15,0.030290367772089388,0.5714285714285714
16,16,0.03241506923931007,0.6071428571428571
17,17,0.03278242782776373,0.6428571428571429
18,18,0.03324128177100178,0.6785714285714286
19,19,0.03360568279127826,0.7142857142857143
20,20,0.03360568279127826,0.75
21,21,0.03370116267371013,0.7857142857142857
22,22,0.0337944050176434,0.8214285714285714
23,23,0.033882339324267124,0.8571428571428571
24,24,0.03399344606606106,0.8928571428571429
25,25,0.03407410262819439,0.9285714285714286
26,26,0.03527907202453116,0.9642857142857143
27,27,0.03562060894925263,1.0
