,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,1.9997051226201907
2,0.02,1.9997051226201907
3,0.03,4.997811098765265
4,0.04,6.993632892422741
5,0.05,7.996469989602652
6,0.06,10.004152608697645
7,0.07,10.004152608697645
8,0.08,13.000662984908592
9,0.09,13.999202723426244
10,0.1,15.014259802243886
11,0.11,16.00658858967672
12,0.12,16.00658858967672
13,0.13,16.00658858967672
14,0.14,16.00658858967672
15,0.15,16.00658858967672
16,0.16,16.996381089962515
17,0.17,18.0113202620591
18,0.18,19.01067154327947
19,0.19,21.99907771279114
20,0.2,26.023515884264672
21,0.21,26.023515884264672
22,0.22,26.023515884264672
23,0.23,26.977430211401757
24,0.24,28.022299698332315
25,0.25,28.022299698332315
26,0.26,29.99409814075676
27,0.27,30.969431716511867
28,0.28,31.976480717732706
29,0.29,31.976480717732706
30,0.3,34.98784393437458
31,0.31,34.98784393437458
32,0.32,34.98784393437458
33,0.33,37.9777595100358
34,0.34,40.976582199748535
35,0.35000000000000003,40.976582199748535
36,0.36,42.99142828733044
37,0.37,46.01653444375361
38,0.38,47.990390374500834
39,0.39,48.95986089487216
40,0.4,50.0489138553459
41,0.41000000000000003,50.95795140178327
42,0.42,51.98737065170029
43,0.43,54.000906295163944
44,0.44,54.000906295163944
45,0.45,54.98172381112103
46,0.46,56.99712612291374
47,0.47000000000000003,58.03236392716473
48,0.48,61.007747867799274
49,0.49,62.99156830465424
50,0.5,62.99156830465424
51,0.51,64.0075398344503
52,0.52,65.95686028918864
53,0.53,65.95686028918864
54,0.54,67.96554640998895
55,0.55,70.03540615115575
56,0.56,71.02279778045839
57,0.5700000000000001,73.03953941466173
58,0.58,74.96347080859108
59,0.59,78.96470309310095
60,0.6,81.04470897088486
61,0.61,83.01331137924744
62,0.62,86.05623561054385
63,0.63,87.97045261291906
64,0.64,91.92757208032228
65,0.65,96.06269216059265
66,0.66,97.02813859078891
67,0.67,98.98823767054662
68,0.68,99.9830863317801
69,0.6900000000000001,103.02802565952958
70,0.7000000000000001,104.06347487863825
71,0.71,104.89932188646694
72,0.72,107.01842946992822
73,0.73,107.01842946992822
74,0.74,107.01842946992822
75,0.75,108.96220333143697
76,0.76,110.05729204763485
77,0.77,110.05729204763485
78,0.78,110.9412819235738
79,0.79,112.05626071695865
80,0.8,112.05626071695865
81,0.81,112.9563064855434
82,0.8200000000000001,112.9563064855434
83,0.8300000000000001,114.09153661923892
84,0.84,114.09153661923892
85,0.85,114.09153661923892
86,0.86,115.00792990336663
87,0.87,115.93168373917126
88,0.88,117.0968169214218
89,0.89,117.0968169214218
90,0.9,119.94113678795277
91,0.91,119.94113678795277
92,0.92,119.94113678795277
93,0.93,119.94113678795277
94,0.9400000000000001,119.94113678795277
95,0.9500000000000001,119.94113678795277
96,0.96,119.94113678795277
97,0.97,119.94113678795277
98,0.98,119.94113678795277
99,0.99,119.94113678795277
100,1.0,119.94113678795277
