,cdf,batch_kv_tokens_percent
0,0.0,0.10508336925129749
1,0.01,0.8547035867360331
2,0.02,0.8754646155638268
3,0.03,2.1749371313575163
4,0.04,3.0802164638908716
5,0.05,3.5787011416990007
6,0.06,4.301655662290029
7,0.07,4.6135609983944015
8,0.08,5.668928247871556
9,0.09,6.560062478027002
10,0.1,7.149197807574642
11,0.11,7.621705602494227
12,0.12,7.901085767871355
13,0.13,8.076835876004495
14,0.14,8.25649533298111
15,0.15,8.4401510975436
16,0.16,9.034045137901533
17,0.17,9.631127057049323
18,0.18,10.267671566070339
19,0.19,11.507515162571764
20,0.2,13.450285953883121
21,0.21,13.9433177383876
22,0.22,14.224991535955198
23,0.23,14.599691431569676
24,0.24,15.564620391505342
25,0.25,15.942690096203455
26,0.26,17.064502789599942
27,0.27,17.832104571614245
28,0.28,18.48575568123064
29,0.29,18.93478071465443
30,0.3,20.594015179825057
31,0.31,20.968063917115735
32,0.32,21.34890649507551
33,0.33,22.988648370853415
34,0.34,24.70487441745884
35,0.35000000000000003,25.10333169881963
36,0.36,26.443241126153197
37,0.37,27.85466923853611
38,0.38,29.518011263308665
39,0.39,30.47786367625726
40,0.4,31.21818092332617
41,0.41000000000000003,32.16891639591199
42,0.42,33.41485861154611
43,0.43,34.77854532472673
44,0.44,35.339477729628165
45,0.45,36.19788516735264
46,0.46,37.82615183894552
47,0.47000000000000003,38.900251672510336
48,0.48,40.487801599381925
49,0.49,42.309038880111146
50,0.5,43.07749721283061
51,0.51,44.12386366705374
52,0.52,45.64987065666941
53,0.53,46.38614330671266
54,0.54,47.79881216100805
55,0.55,49.25450320144857
56,0.56,50.75452664910623
57,0.5700000000000001,52.40493779766367
58,0.58,54.000906295163944
59,0.59,56.20472583755698
60,0.6,58.26495833910286
61,0.61,59.32322375770783
62,0.62,61.99172297111608
63,0.63,63.87965264197386
64,0.64,66.08890605553337
65,0.65,69.33854198537861
66,0.66,70.59793670994965
67,0.67,72.45755395112361
68,0.68,74.21757156391418
69,0.6900000000000001,75.86845178607021
70,0.7000000000000001,78.02278912874269
71,0.71,79.59895455242828
72,0.72,81.69566722086319
73,0.73,82.84745061725091
74,0.74,84.01547239000945
75,0.75,85.1999614752981
76,0.76,85.7126980866869
77,0.77,86.22852036652087
78,0.78,86.57412531227352
79,0.79,86.74744688447028
80,0.8,87.0951316939423
81,0.81,87.44421002830843
82,0.8200000000000001,87.61927351184859
83,0.8300000000000001,88.14656963516714
84,0.84,88.49986214543587
85,0.85,88.85457065633084
86,0.86,89.21070084319973
87,0.87,90.10728359272738
88,0.88,92.11161126366626
89,0.89,93.59725096317209
90,0.9,95.1068520860692
91,0.91,95.67920874227033
92,0.92,96.25500986261586
93,0.93,96.6408010987473
94,0.9400000000000001,96.83427617602209
95,0.9500000000000001,97.2223891184982
96,0.96,97.61205762231134
97,0.97,98.00328792216996
98,0.98,98.19949070079294
99,0.99,98.59307543948877
100,1.0,99.38498371657478
