,Request Id,request_execution_time,cdf
0,0,25.957039454788564,0.03571428571428571
1,1,26.11842187973518,0.07142857142857142
2,2,26.99830230456868,0.10714285714285714
3,3,27.045824599642856,0.14285714285714285
4,4,27.045824599642856,0.17857142857142858
5,5,27.299612530097626,0.21428571428571427
6,6,27.399218701809545,0.25
7,7,27.938866246823917,0.2857142857142857
8,8,28.458527373831124,0.32142857142857145
9,9,28.458527373831124,0.35714285714285715
10,10,29.16534812617971,0.39285714285714285
11,11,29.222439493951136,0.42857142857142855
12,12,29.32574109987189,0.4642857142857143
13,13,29.34682808019628,0.5
14,14,29.73499354544913,0.5357142857142857
15,15,30.380643902472148,0.5714285714285714
16,16,32.506166617692955,0.6071428571428571
17,17,32.874222701613284,0.6428571428571429
18,18,33.333877412851365,0.6785714285714286
19,19,33.72878162089983,0.7142857142857143
20,20,33.72878162089983,0.75
21,21,33.816068679195936,0.7857142857142857
22,22,33.901396468771615,0.8214285714285714
23,23,33.985008362717934,0.8571428571428571
24,24,34.09577109658807,0.8928571428571429
25,25,34.1779612803595,0.9285714285714286
26,26,35.37801336999981,0.9642857142857143
27,27,35.720370006721296,1.0
