,cdf,batch_execution_time
0,0.0,0.009513893722593756
1,0.01,0.009686694407772431
2,0.02,0.010409858161462445
3,0.03,0.011413002641077271
4,0.04,0.011597079432065257
5,0.05,0.011597079432065257
6,0.06,0.012562966506568189
7,0.07,0.01323352440140802
8,0.08,0.013313164255004388
9,0.09,0.013313164255004388
10,0.1,0.013313164255004388
11,0.11,0.013313164255004388
12,0.12,0.013420096764419964
13,0.13,0.013801169725858414
14,0.14,0.013967781489349901
15,0.15,0.015623143813782043
16,0.16,0.015623143813782043
17,0.17,0.015623143813782043
18,0.18,0.016195823569475656
19,0.19,0.016457041000491286
20,0.2,0.01668905999516812
21,0.21,0.017685647483111043
22,0.22,0.017685647483111043
23,0.23,0.018629632372265528
24,0.24,0.018629632372265528
25,0.25,0.018892281567469155
26,0.26,0.019860909887493217
27,0.27,0.019860909887493217
28,0.28,0.020795850840385675
29,0.29,0.02142917900018838
30,0.3,0.02160130005580778
31,0.31,0.022303720682876463
32,0.32,0.022572977732040426
33,0.33,0.023028982284148392
34,0.34,0.023028982284148392
35,0.35000000000000003,0.02344725728633999
36,0.36,0.02387312941007607
37,0.37,0.023968813199611645
38,0.38,0.02460017468627383
39,0.39,0.02509713134714314
40,0.4,0.02509713134714314
41,0.41000000000000003,0.025965106059059384
42,0.42,0.026489636171986894
43,0.43,0.026595806952064222
44,0.44,0.02724182777542221
45,0.45,0.02812766435465923
46,0.46,0.02812766435465923
47,0.47000000000000003,0.028410352175812174
48,0.48,0.028868573962298034
49,0.49,0.02933418626630761
50,0.5,0.029510720515896368
51,0.51,0.030167150843845223
52,0.52,0.030653707492890352
53,0.53,0.03146115549514405
54,0.54,0.03203258391179361
55,0.55,0.03235451684009322
56,0.56,0.033674930169957415
57,0.5700000000000001,0.034355209113732854
58,0.58,0.03568582917052709
59,0.59,0.03597246089764227
60,0.6,0.036479617330762514
61,0.61,0.03774125097747362
62,0.62,0.038349967945855046
63,0.63,0.038503675078196
64,0.64,0.039281501172607196
65,0.65,0.039281501172607196
66,0.66,0.03991506036017978
67,0.67,0.03991506036017978
68,0.68,0.04023566164519613
69,0.6900000000000001,0.0406400369029393
70,0.7000000000000001,0.04113065533248235
71,0.71,0.04137818118195694
72,0.72,0.04146102038352242
73,0.73,0.041794038955788156
74,0.74,0.041794038955788156
75,0.75,0.041877710705449364
76,0.76,0.04204555707316023
77,0.77,0.04255314335389525
78,0.78,0.04341277416141325
79,0.79,0.04464551001305101
80,0.8,0.04509420499855417
81,0.81,0.04509420499855417
82,0.8200000000000001,0.04509420499855417
83,0.8300000000000001,0.04509420499855417
84,0.84,0.04509420499855417
85,0.85,0.04509420499855417
86,0.86,0.04509420499855417
87,0.87,0.04509420499855417
88,0.88,0.04618955794251058
89,0.89,0.04712264922234397
90,0.9,0.04769152764665718
91,0.91,0.04817083562857485
92,0.92,0.04865496073740934
93,0.93,0.048947768143231755
94,0.9400000000000001,0.04953867993776148
95,0.9500000000000001,0.051354562801178213
96,0.96,0.05197453012580341
97,0.97,0.05228731482656824
98,0.98,0.05409565165979882
99,0.99,0.05721143696357326
100,1.0,0.06973859475784315
