,Request Id,request_execution_plus_preemption_time_normalized,cdf
0,0,0.025957039454788566,0.03571428571428571
1,1,0.02611842187973518,0.07142857142857142
2,2,0.026998302304568678,0.10714285714285714
3,3,0.027045824599642856,0.14285714285714285
4,4,0.027045824599642856,0.17857142857142858
5,5,0.027299612530097626,0.21428571428571427
6,6,0.027399218701809544,0.25
7,7,0.027938866246823915,0.2857142857142857
8,8,0.028458527373831123,0.32142857142857145
9,9,0.028458527373831123,0.35714285714285715
10,10,0.02916534812617971,0.39285714285714285
11,11,0.029222439493951136,0.42857142857142855
12,12,0.02932574109987189,0.4642857142857143
13,13,0.02934682808019628,0.5
14,14,0.029734993545449128,0.5357142857142857
15,15,0.030380643902472148,0.5714285714285714
16,16,0.032506166617692955,0.6071428571428571
17,17,0.03287422270161328,0.6428571428571429
18,18,0.03333387741285136,0.6785714285714286
19,19,0.03372878162089983,0.7142857142857143
20,20,0.03372878162089983,0.75
21,21,0.03381606867919593,0.7857142857142857
22,22,0.03390139646877161,0.8214285714285714
23,23,0.033985008362717936,0.8571428571428571
24,24,0.03409577109658807,0.8928571428571429
25,25,0.0341779612803595,0.9285714285714286
26,26,0.035378013369999815,0.9642857142857143
27,27,0.0357203700067213,1.0
