,Request Id,request_e2e_time_normalized,cdf
0,0,0.025957039454788566,0.03571428571428571
1,1,0.026119584308671184,0.07142857142857142
2,2,0.027000454829363904,0.10714285714285714
4,4,0.027052469388671174,0.14285714285714285
3,3,0.027060031932973013,0.17857142857142858
5,5,0.02730195021575368,0.21428571428571427
6,6,0.02740106097123788,0.25
7,7,0.027946297166460486,0.2857142857142857
9,9,0.028467038491409954,0.32142857142857145
8,8,0.028468668483548523,0.35714285714285715
10,10,0.02917100560507342,0.39285714285714285
11,11,0.029227022648385798,0.42857142857142855
12,12,0.029334789347944378,0.4642857142857143
13,13,0.029351224999101245,0.5
14,14,0.029747135828448804,0.5357142857142857
15,15,0.030388747935183154,0.5714285714285714
16,16,0.032513907679883776,0.6071428571428571
17,17,0.03288113307376956,0.6428571428571429
18,18,0.03334350900676257,0.6785714285714286
20,20,0.03372957051795764,0.7142857142857143
19,19,0.03374129740302186,0.75
21,21,0.03381665267067328,0.7857142857142857
22,22,0.03392143576808727,0.8214285714285714
23,23,0.03400115389362021,0.8571428571428571
24,24,0.03410111915846087,0.8928571428571429
25,25,0.03419721244709635,0.9285714285714286
26,26,0.03538969667062746,0.9642857142857143
27,27,0.0357228395438858,1.0
