,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
0,0,0.0001070247406204904,0.03571428571428571
1,1,0.00013733429810606015,0.07142857142857142
7,7,0.00014988029810606004,0.10714285714285714
5,5,0.0001538393088491366,0.14285714285714285
6,6,0.00015648594932532716,0.17857142857142858
14,14,0.00017109656715367898,0.21428571428571427
15,15,0.00017632056715367883,0.25
16,16,0.00017792456715367937,0.2857142857142857
17,17,0.00017928686298701244,0.32142857142857145
18,18,0.0001808508629870132,0.35714285714285715
10,10,0.0001825761884089519,0.39285714285714285
11,11,0.00018595218305180903,0.42857142857142855
2,2,0.0001889179622604479,0.4642857142857143
26,26,0.00019324481536796452,0.5
8,8,0.0001943256875069372,0.5357142857142857
9,9,0.0001943256875069372,0.5714285714285714
27,27,0.0001948458153679649,0.6071428571428571
12,12,0.00019519832552468376,0.6428571428571429
13,13,0.00019730621600087426,0.6785714285714286
24,24,0.0001998535752475647,0.7142857142857143
23,23,0.0002005254657237547,0.75
25,25,0.00020284893000947074,0.7857142857142857
22,22,0.0002089676779843076,0.8214285714285714
3,3,0.00021330908136564823,0.8571428571428571
4,4,0.00021330908136564823,0.8928571428571429
21,21,0.0002244257919640077,0.9285714285714286
19,19,0.0002404274016041593,0.9642857142857143
20,20,0.0002404274016041593,1.0
