,Request Id,prefill_e2e_time,cdf
0,0,0.054796667197691086,0.03571428571428571
1,1,0.07147758956630962,0.07142857142857142
5,5,0.08110341178682723,0.10714285714285714
6,6,0.08196307548292003,0.14285714285714285
7,7,0.08416963226690743,0.17857142857142858
15,15,0.09838016309376929,0.21428571428571427
17,17,0.09870524600583908,0.25
16,16,0.09883844057370705,0.2857142857142857
2,2,0.09887852147258147,0.32142857142857145
10,10,0.09913648735912495,0.35714285714285715
14,14,0.09974372538239384,0.39285714285714285
11,11,0.09979067215722082,0.42857142857142855
18,18,0.1022272357607803,0.4642857142857143
27,27,0.10223059463316275,0.5
13,13,0.1054177014974449,0.5357142857142857
24,24,0.10767309239981016,0.5714285714285714
9,9,0.10800586958242508,0.6071428571428571
12,12,0.10898979074115811,0.6428571428571429
8,8,0.10963586172099182,0.6785714285714286
26,26,0.11062464609629874,0.7142857142857143
21,21,0.11548999696315976,0.75
4,4,0.11585903868754277,0.7857142857142857
23,23,0.11881456935308599,0.8214285714285714
25,25,0.12310981890195993,0.8571428571428571
3,3,0.12342158298938244,0.8928571428571429
20,20,0.12388772667937875,0.9285714285714286
22,22,0.1270307504438608,0.9642857142857143
19,19,0.13561461174360057,1.0
