,Batch Id,batch_total_kv_tokens
455,455,30199
456,456,30240
457,457,30281
458,458,30322
459,459,30363
460,460,30404
461,461,30445
462,462,30486
463,463,30527
464,464,30568
465,465,30609
466,466,30650
467,467,30691
468,468,30732
469,469,30773
470,470,30814
471,471,30855
472,472,30896
473,473,30937
474,474,31106
475,475,31275
476,476,31572
477,477,31870
478,478,32040
479,479,32211
480,480,32254
481,481,32297
482,482,32340
483,483,32639
484,484,32938
485,485,33237
486,486,33538
487,487,33583
488,488,33628
489,489,33673
490,490,33718
491,491,33763
492,492,33936
493,493,34109
494,494,34282
495,495,34456
496,496,34502
497,497,34548
498,498,34722
499,499,34896
500,500,35070
501,501,35245
502,502,35420
503,503,35595
504,504,35770
505,505,35946
506,506,35994
507,507,36042
508,508,36090
509,509,36266
510,510,36442
511,511,36618
512,512,36795
513,513,36844
514,514,36893
515,515,36942
516,516,36991
517,517,37040
518,518,37089
519,519,37138
520,520,37187
521,521,37236
522,522,37285
523,523,37334
524,524,37383
525,525,37432
526,526,37481
527,527,37530
528,528,37579
529,529,37628
530,530,37677
531,531,37854
532,532,38031
533,533,38208
534,534,38386
535,535,38436
536,536,38486
537,537,38536
538,538,38586
539,539,38636
540,540,38686
541,541,38736
542,542,38786
543,543,38836
544,544,39014
545,545,39192
546,546,39370
547,547,39549
548,548,39600
549,549,39651
550,550,39702
551,551,39881
552,552,40060
553,553,40239
554,554,40419
555,555,40471
556,556,40523
557,557,40575
558,558,40627
559,559,40679
560,560,40731
561,561,40911
562,562,41091
563,563,41271
564,564,41452
565,565,41505
566,566,41686
567,567,41867
568,568,42048
569,569,42230
570,570,42284
571,571,42338
572,572,42392
573,573,42446
574,574,42500
575,575,42554
576,576,42608
577,577,42662
578,578,42716
579,579,42770
580,580,42824
581,581,42878
582,582,42932
583,583,42986
584,584,43040
585,585,43094
586,586,43148
587,587,43202
588,588,43256
589,589,43310
590,590,43364
591,591,43418
592,592,43472
593,593,43526
594,594,43580
595,595,43634
596,596,43688
597,597,43742
598,598,43924
599,599,44106
600,600,44288
601,601,44599
602,602,44910
603,603,45221
604,604,45533
605,605,45718
606,606,45775
607,607,45832
608,608,45889
609,609,45946
610,610,46003
611,611,46060
612,612,46117
613,613,46174
614,614,46231
615,615,46288
616,616,46345
617,617,46402
618,618,46459
619,619,46516
620,620,46573
621,621,46630
622,622,46815
623,623,47000
624,624,47185
625,625,47371
626,626,47429
627,627,47487
628,628,47545
629,629,47603
630,630,47661
631,631,47847
632,632,48033
633,633,48347
634,634,48662
635,635,48849
636,636,49037
637,637,49097
638,638,49157
639,639,49345
640,640,49533
641,641,49721
642,642,49910
643,643,49971
644,644,50032
645,645,50221
646,646,50410
647,647,50599
648,648,50917
649,649,51107
650,650,51297
651,651,51488
652,652,51551
653,653,51614
654,654,51677
655,655,51740
656,656,51803
657,657,51866
658,658,51929
659,659,51992
660,660,52055
661,661,52118
662,662,52181
663,663,52244
664,664,52307
665,665,52370
666,666,52433
667,667,52496
668,668,52559
669,669,52622
670,670,52685
671,671,52748
672,672,52811
673,673,53002
674,674,53193
675,675,53384
676,676,53576
677,677,53640
678,678,53704
679,679,53768
680,680,53832
681,681,53896
682,682,53960
