,Request Id,request_e2e_time,cdf
0,0,25.957039454788564,0.03571428571428571
1,1,26.119584308671183,0.07142857142857142
2,2,27.000454829363903,0.10714285714285714
4,4,27.052469388671174,0.14285714285714285
3,3,27.060031932973015,0.17857142857142858
5,5,27.30195021575368,0.21428571428571427
6,6,27.40106097123788,0.25
7,7,27.946297166460486,0.2857142857142857
9,9,28.467038491409955,0.32142857142857145
8,8,28.468668483548523,0.35714285714285715
10,10,29.171005605073418,0.39285714285714285
11,11,29.227022648385798,0.42857142857142855
12,12,29.33478934794438,0.4642857142857143
13,13,29.351224999101245,0.5
14,14,29.747135828448805,0.5357142857142857
15,15,30.388747935183154,0.5714285714285714
16,16,32.51390767988378,0.6071428571428571
17,17,32.88113307376956,0.6428571428571429
18,18,33.34350900676257,0.6785714285714286
20,20,33.72957051795764,0.7142857142857143
19,19,33.74129740302186,0.75
21,21,33.816652670673285,0.7857142857142857
22,22,33.921435768087264,0.8214285714285714
23,23,34.00115389362021,0.8571428571428571
24,24,34.10111915846087,0.8928571428571429
25,25,34.19721244709635,0.9285714285714286
26,26,35.38969667062746,0.9642857142857143
27,27,35.7228395438858,1.0
