,Batch Id,batch_size
0,0,1
1,1,1
2,2,1
3,3,1
4,4,1
5,5,2
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,2
13,13,2
14,14,2
15,15,2
16,16,2
17,17,2
18,18,2
19,19,2
20,20,2
21,21,2
22,22,2
23,23,2
24,24,2
25,25,2
26,26,2
27,27,2
28,28,2
29,29,2
30,30,2
31,31,3
32,32,3
33,33,5
34,34,5
35,35,5
36,36,5
37,37,5
38,38,5
39,39,5
40,40,5
41,41,5
42,42,5
43,43,6
44,44,6
45,45,6
46,46,7
47,47,7
48,48,7
49,49,7
50,50,7
51,51,7
52,52,7
53,53,7
54,54,7
55,55,7
56,56,7
57,57,7
58,58,7
59,59,7
60,60,7
61,61,8
62,62,8
63,63,8
64,64,8
65,65,8
66,66,8
67,67,8
68,68,8
69,69,8
70,70,8
71,71,8
72,72,8
73,73,8
74,74,8
75,75,8
76,76,8
77,77,8
78,78,10
79,79,10
80,80,10
81,81,10
82,82,10
83,83,10
84,84,10
85,85,10
86,86,10
87,87,10
88,88,10
89,89,10
90,90,10
91,91,10
92,92,10
93,93,10
94,94,10
95,95,10
96,96,10
97,97,10
98,98,10
99,99,11
100,100,11
101,101,12
102,102,12
103,103,12
104,104,12
105,105,12
106,106,13
107,107,14
108,108,14
109,109,14
110,110,14
111,111,14
112,112,14
113,113,14
114,114,14
115,115,14
116,116,14
117,117,14
118,118,14
119,119,14
120,120,14
121,121,14
122,122,15
123,123,15
124,124,15
125,125,15
126,126,15
127,127,15
128,128,15
129,129,15
130,130,15
131,131,15
132,132,15
133,133,15
134,134,15
135,135,15
136,136,15
137,137,15
138,138,15
139,139,15
140,140,15
141,141,15
142,142,15
143,143,15
144,144,16
145,145,16
146,146,16
147,147,16
148,148,16
149,149,16
150,150,16
151,151,16
152,152,16
153,153,16
154,154,16
155,155,16
156,156,16
157,157,16
158,158,16
159,159,16
160,160,16
161,161,16
162,162,16
163,163,16
164,164,16
165,165,16
166,166,16
167,167,16
168,168,16
169,169,16
170,170,16
171,171,16
172,172,16
173,173,16
174,174,16
175,175,16
176,176,16
177,177,16
178,178,16
179,179,16
180,180,16
181,181,16
182,182,16
183,183,16
184,184,16
185,185,16
186,186,16
187,187,16
188,188,16
189,189,16
190,190,16
191,191,16
192,192,16
193,193,16
194,194,16
195,195,16
196,196,16
197,197,16
198,198,16
199,199,16
200,200,16
201,201,16
202,202,16
203,203,16
204,204,16
205,205,16
206,206,16
207,207,16
208,208,16
209,209,17
210,210,17
211,211,17
212,212,17
213,213,17
214,214,17
215,215,17
216,216,17
217,217,17
218,218,17
219,219,17
220,220,17
221,221,18
222,222,18
223,223,18
224,224,18
225,225,18
226,226,18
227,227,18
228,228,18
229,229,18
230,230,18
231,231,18
232,232,18
233,233,18
234,234,18
235,235,18
236,236,19
237,237,19
238,238,19
239,239,19
240,240,19
241,241,19
242,242,19
243,243,19
244,244,19
245,245,19
246,246,19
247,247,19
248,248,19
249,249,21
250,250,21
251,251,21
252,252,22
253,253,22
254,254,22
255,255,23
256,256,23
257,257,23
258,258,24
259,259,24
260,260,24
261,261,24
262,262,25
263,263,25
264,264,25
265,265,26
266,266,26
267,267,26
268,268,26
269,269,26
270,270,26
271,271,26
272,272,26
273,273,26
274,274,26
275,275,26
276,276,26
277,277,26
278,278,26
279,279,26
280,280,26
281,281,26
282,282,26
283,283,26
284,284,26
285,285,26
286,286,26
287,287,26
288,288,26
289,289,26
290,290,26
291,291,26
292,292,26
293,293,26
294,294,26
295,295,26
296,296,26
297,297,26
298,298,26
299,299,26
300,300,26
301,301,26
302,302,26
303,303,26
304,304,26
305,305,26
306,306,27
307,307,27
308,308,27
309,309,27
310,310,27
311,311,27
312,312,27
313,313,27
314,314,27
315,315,27
316,316,27
317,317,27
318,318,28
319,319,28
320,320,28
321,321,28
322,322,28
323,323,28
324,324,28
325,325,28
326,326,28
327,327,28
328,328,28
329,329,28
330,330,28
331,331,28
332,332,28
333,333,28
334,334,28
335,335,28
336,336,29
337,337,29
338,338,29
339,339,29
340,340,29
341,341,30
342,342,30
343,343,30
344,344,30
345,345,30
346,346,30
347,347,30
348,348,30
349,349,30
350,350,30
351,351,30
352,352,30
353,353,30
354,354,30
355,355,31
356,356,31
357,357,31
358,358,31
359,359,31
360,360,31
361,361,31
362,362,31
363,363,31
364,364,31
365,365,31
366,366,31
367,367,31
368,368,31
369,369,31
370,370,32
371,371,32
372,372,32
373,373,32
374,374,32
375,375,32
376,376,32
377,377,32
378,378,32
379,379,32
380,380,32
381,381,32
382,382,32
383,383,32
384,384,32
385,385,32
386,386,32
387,387,32
388,388,32
389,389,34
390,390,34
391,391,34
392,392,35
393,393,35
394,394,35
395,395,35
396,396,35
397,397,35
398,398,35
399,399,35
400,400,35
401,401,35
402,402,35
403,403,35
404,404,35
405,405,35
406,406,35
407,407,35
408,408,35
409,409,35
410,410,35
411,411,35
412,412,35
413,413,35
414,414,35
415,415,35
416,416,35
417,417,35
418,418,35
419,419,35
420,420,35
421,421,35
422,422,35
423,423,35
424,424,35
425,425,35
426,426,35
427,427,36
428,428,36
429,429,36
430,430,36
431,431,37
432,432,37
433,433,37
434,434,37
435,435,38
436,436,38
437,437,38
438,438,38
439,439,38
440,440,38
441,441,38
442,442,39
443,443,39
444,444,39
445,445,40
446,446,40
447,447,41
448,448,41
449,449,41
450,450,41
451,451,41
452,452,41
453,453,41
454,454,41
455,455,41
456,456,41
457,457,41
458,458,41
459,459,41
460,460,41
461,461,41
462,462,41
463,463,41
464,464,41
465,465,41
466,466,41
467,467,41
468,468,41
469,469,41
470,470,41
471,471,41
472,472,41
473,473,41
474,474,42
475,475,42
476,476,43
477,477,43
478,478,43
479,479,43
480,480,43
481,481,43
482,482,43
483,483,45
484,484,45
485,485,45
486,486,45
487,487,45
488,488,45
489,489,45
490,490,45
491,491,45
492,492,46
493,493,46
494,494,46
495,495,46
496,496,46
497,497,46
498,498,47
499,499,47
500,500,47
501,501,47
502,502,48
503,503,48
504,504,48
505,505,48
506,506,48
507,507,48
508,508,48
509,509,49
510,510,49
511,511,49
512,512,49
513,513,49
514,514,49
515,515,49
516,516,49
517,517,49
518,518,49
519,519,49
520,520,49
521,521,49
522,522,49
523,523,49
524,524,49
525,525,49
526,526,49
527,527,49
528,528,49
529,529,49
530,530,49
531,531,50
532,532,50
533,533,50
534,534,50
535,535,50
536,536,50
537,537,50
538,538,50
539,539,50
540,540,50
541,541,50
542,542,50
543,543,50
544,544,51
545,545,51
546,546,51
547,547,51
548,548,51
549,549,51
550,550,51
551,551,52
552,552,52
553,553,52
554,554,52
555,555,52
556,556,52
557,557,52
558,558,52
559,559,52
560,560,52
561,561,53
562,562,53
563,563,53
564,564,53
565,565,53
566,566,54
567,567,54
568,568,54
569,569,54
570,570,54
571,571,54
572,572,54
573,573,54
574,574,54
575,575,54
576,576,54
577,577,54
578,578,54
579,579,54
580,580,54
581,581,54
582,582,54
583,583,54
584,584,54
585,585,54
586,586,54
587,587,54
588,588,54
589,589,54
590,590,54
591,591,54
592,592,54
593,593,54
594,594,54
595,595,54
596,596,54
597,597,54
598,598,55
599,599,55
600,600,55
601,601,56
602,602,57
603,603,57
604,604,57
605,605,57
606,606,57
607,607,57
608,608,57
609,609,57
610,610,57
611,611,57
612,612,57
613,613,57
614,614,57
615,615,57
616,616,57
617,617,57
618,618,57
619,619,57
620,620,57
621,621,57
622,622,58
623,623,58
624,624,58
625,625,58
626,626,58
627,627,58
628,628,58
629,629,58
630,630,58
631,631,59
632,632,59
633,633,60
634,634,60
635,635,60
636,636,60
637,637,60
638,638,60
639,639,61
640,640,61
641,641,61
642,642,61
643,643,61
644,644,61
645,645,62
646,646,62
647,647,62
648,648,63
649,649,63
650,650,63
651,651,63
652,652,63
653,653,63
654,654,63
655,655,63
656,656,63
657,657,63
658,658,63
659,659,63
660,660,63
661,661,63
662,662,63
663,663,63
664,664,63
665,665,63
666,666,63
667,667,63
668,668,63
669,669,63
670,670,63
671,671,63
672,672,63
673,673,64
674,674,64
675,675,64
676,676,64
677,677,64
678,678,64
679,679,64
680,680,64
681,681,64
682,682,64
683,683,64
684,684,64
685,685,64
686,686,64
687,687,64
688,688,64
689,689,66
690,690,66
691,691,66
692,692,66
693,693,66
694,694,66
695,695,66
696,696,66
697,697,66
698,698,66
699,699,66
700,700,66
701,701,66
702,702,66
703,703,66
704,704,66
705,705,66
706,706,66
707,707,66
708,708,66
709,709,66
710,710,66
711,711,66
712,712,66
713,713,66
714,714,67
715,715,67
716,716,67
717,717,67
718,718,68
719,719,68
720,720,68
721,721,68
722,722,68
723,723,68
724,724,68
725,725,68
726,726,68
727,727,68
728,728,68
729,729,68
730,730,69
731,731,70
732,732,70
733,733,70
734,734,70
735,735,70
736,736,71
737,737,71
738,738,71
739,739,71
740,740,71
741,741,71
742,742,71
743,743,71
744,744,71
745,745,71
746,746,71
747,747,71
748,748,71
749,749,71
750,750,71
751,751,71
752,752,71
753,753,72
754,754,73
755,755,73
756,756,73
757,757,73
758,758,73
759,759,73
760,760,73
761,761,73
762,762,73
763,763,73
764,764,74
765,765,74
766,766,75
767,767,75
768,768,75
769,769,75
770,770,75
771,771,75
772,772,75
773,773,75
774,774,76
775,775,76
776,776,76
777,777,76
778,778,76
779,779,77
780,780,77
781,781,78
782,782,78
783,783,78
784,784,78
785,785,78
786,786,79
787,787,79
788,788,80
789,789,80
790,790,80
791,791,80
792,792,80
793,793,80
794,794,81
795,795,81
796,796,81
797,797,81
798,798,81
799,799,81
800,800,81
801,801,81
802,802,81
803,803,81
804,804,81
805,805,81
806,806,81
807,807,81
808,808,81
809,809,81
810,810,81
811,811,81
812,812,83
813,813,83
814,814,83
815,815,83
816,816,83
817,817,83
818,818,83
819,819,84
820,820,85
821,821,85
822,822,85
823,823,85
824,824,85
825,825,86
826,826,86
827,827,86
828,828,86
829,829,86
830,830,86
831,831,86
832,832,86
833,833,86
834,834,86
835,835,86
836,836,87
837,837,88
838,838,88
839,839,88
840,840,89
841,841,89
842,842,89
843,843,89
844,844,90
845,845,90
846,846,90
847,847,90
848,848,90
849,849,90
850,850,90
851,851,91
852,852,92
853,853,92
854,854,93
855,855,94
856,856,94
857,857,94
858,858,95
859,859,95
860,860,96
861,861,96
862,862,96
863,863,96
864,864,96
865,865,96
866,866,96
867,867,96
868,868,96
869,869,96
870,870,96
871,871,96
872,872,96
873,873,96
874,874,96
875,875,96
876,876,96
877,877,97
878,878,97
879,879,97
880,880,97
881,881,97
882,882,97
883,883,97
884,884,97
885,885,97
886,886,97
887,887,97
888,888,97
889,889,97
890,890,99
891,891,99
892,892,99
893,893,99
894,894,99
895,895,99
896,896,99
897,897,99
898,898,99
899,899,99
900,900,99
901,901,100
902,902,100
903,903,100
904,904,100
905,905,100
906,906,100
907,907,100
908,908,100
909,909,100
910,910,100
911,911,100
912,912,100
913,913,100
914,914,100
915,915,100
916,916,100
917,917,101
918,918,102
919,919,103
920,920,104
921,921,104
922,922,104
923,923,104
924,924,104
925,925,104
926,926,104
927,927,104
928,928,104
929,929,104
930,930,104
931,931,104
932,932,104
933,933,104
934,934,104
935,935,104
936,936,104
937,937,104
938,938,104
939,939,104
940,940,104
941,941,104
942,942,104
943,943,104
944,944,105
945,945,105
946,946,105
947,947,105
948,948,105
949,949,105
950,950,105
951,951,105
952,952,105
953,953,106
954,954,106
955,955,106
956,956,107
957,957,107
958,958,107
959,959,107
960,960,107
961,961,107
962,962,107
963,963,107
964,964,107
965,965,107
966,966,107
967,967,107
968,968,107
969,969,107
970,970,107
971,971,107
972,972,107
973,973,107
974,974,107
975,975,107
976,976,107
977,977,107
978,978,107
979,979,107
980,980,107
981,981,107
982,982,107
983,983,107
984,984,107
985,985,107
986,986,107
987,987,107
988,988,107
989,989,108
990,990,108
991,991,108
992,992,108
993,993,108
994,994,108
995,995,108
996,996,109
997,997,109
998,998,110
999,999,110
1000,1000,110
1001,1001,110
1002,1002,111
1003,1003,110
1004,1004,110
1005,1005,110
1006,1006,110
1007,1007,110
1008,1008,109
1009,1009,109
1010,1010,110
1011,1011,110
1012,1012,110
1013,1013,110
1014,1014,111
1015,1015,111
1016,1016,111
1017,1017,111
1018,1018,111
1019,1019,111
1020,1020,111
1021,1021,111
1022,1022,111
1023,1023,111
1024,1024,111
1025,1025,112
1026,1026,112
1027,1027,112
1028,1028,112
1029,1029,112
1030,1030,112
1031,1031,112
1032,1032,112
1033,1033,112
1034,1034,111
1035,1035,111
1036,1036,109
1037,1037,109
1038,1038,109
1039,1039,109
1040,1040,109
1041,1041,109
1042,1042,109
1043,1043,109
1044,1044,110
1045,1045,111
1046,1046,110
1047,1047,110
1048,1048,110
1049,1049,109
1050,1050,109
1051,1051,110
1052,1052,111
1053,1053,112
1054,1054,112
1055,1055,112
1056,1056,112
1057,1057,112
1058,1058,113
1059,1059,113
1060,1060,113
1061,1061,113
1062,1062,114
1063,1063,114
1064,1064,113
1065,1065,113
1066,1066,113
1067,1067,113
1068,1068,113
1069,1069,113
1070,1070,113
1071,1071,113
1072,1072,113
1073,1073,113
1074,1074,113
1075,1075,113
1076,1076,113
1077,1077,113
1078,1078,114
1079,1079,114
1080,1080,114
1081,1081,112
1082,1082,112
1083,1083,112
1084,1084,112
1085,1085,113
1086,1086,113
1087,1087,114
1088,1088,114
1089,1089,115
1090,1090,115
1091,1091,115
1092,1092,115
1093,1093,115
1094,1094,115
1095,1095,115
1096,1096,116
1097,1097,116
1098,1098,116
1099,1099,116
1100,1100,117
1101,1101,117
1102,1102,116
1103,1103,116
1104,1104,115
1105,1105,115
1106,1106,115
1107,1107,115
1108,1108,115
1109,1109,114
1110,1110,113
1111,1111,113
1112,1112,113
1113,1113,113
1114,1114,113
1115,1115,113
1116,1116,113
1117,1117,113
1118,1118,113
1119,1119,113
1120,1120,113
1121,1121,113
1122,1122,113
1123,1123,113
1124,1124,113
1125,1125,112
1126,1126,112
1127,1127,112
1128,1128,112
1129,1129,112
1130,1130,112
1131,1131,112
1132,1132,113
1133,1133,114
1134,1134,114
1135,1135,114
1136,1136,114
1137,1137,114
1138,1138,114
1139,1139,114
1140,1140,114
1141,1141,114
1142,1142,114
1143,1143,114
1144,1144,114
1145,1145,114
1146,1146,114
1147,1147,113
1148,1148,114
1149,1149,114
1150,1150,114
1151,1151,114
1152,1152,114
1153,1153,114
1154,1154,114
1155,1155,114
1156,1156,114
1157,1157,114
1158,1158,114
1159,1159,114
1160,1160,115
1161,1161,116
1162,1162,116
1163,1163,116
1164,1164,116
1165,1165,116
