,Batch Id,batch_kv_tokens_percent
0,0,0.10506960861570791
1,1,0.21013921723141582
2,2,0.31520882584712373
3,3,0.42109929078014185
4,4,0.421920147097452
5,5,0.5278106120304702
6,6,0.6337010769634883
7,7,0.7395915418965064
8,8,0.8463028631468348
9,9,0.8479445757814553
10,10,0.8495862884160756
11,11,0.8512280010506961
12,12,0.8528697136853166
13,13,0.8545114263199369
14,14,0.8561531389545574
15,15,0.8577948515891779
16,16,0.8594365642237983
17,17,0.8610782768584186
18,18,0.8627199894930391
19,19,0.8643617021276596
20,20,0.8660034147622799
21,21,0.8676451273969004
22,22,0.8692868400315209
23,23,0.8709285526661413
24,24,0.8725702653007616
25,25,0.8742119779353822
26,26,0.8758536905700026
27,27,0.877495403204623
28,28,0.8791371158392436
29,29,0.8807788284738639
30,30,0.8824205411084843
31,31,0.9891318623588127
32,32,1.0958431836091411
33,33,1.4126937220908853
34,34,1.7303651168899394
35,35,1.9429669030732861
36,36,2.157210401891253
37,37,2.161314683477804
38,38,2.165418965064355
39,39,2.1695232466509062
40,40,2.1736275282374575
41,41,2.1777318098240084
42,42,2.1818360914105597
43,43,2.2910099816128184
44,44,2.4001838718150776
45,45,2.509357762017337
46,46,2.7244221171526135
47,47,2.8344168636721827
48,48,2.944411610191752
49,49,3.0552272130286315
50,50,3.060973207249803
51,51,3.0667192014709745
52,52,3.0724651956921463
53,53,3.0782111899133175
54,54,3.0839571841344893
55,55,3.0897031783556606
56,56,3.0954491725768323
57,57,3.1011951667980036
58,58,3.1069411610191753
59,59,3.1126871552403466
60,60,3.1184331494615183
61,61,3.229248752298398
62,62,3.340064355135277
63,63,3.4508799579721563
64,64,3.5625164171263464
65,65,3.5690832676648276
66,66,3.57565011820331
67,67,3.5822169687417915
68,68,3.5887838192802732
69,69,3.5953506698187554
70,70,3.6019175203572367
71,71,3.6084843708957184
72,72,3.6150512214341997
73,73,3.621618071972682
74,74,3.6281849225111635
75,75,3.6347517730496453
76,76,3.6413186235881274
77,77,3.6478854741266087
78,78,3.8645915418965067
79,79,4.081297609666404
80,80,4.298003677436302
81,81,4.51635145784082
82,82,4.524560021013921
83,83,4.532768584187024
84,84,4.540977147360127
85,85,4.549185710533228
86,86,4.557394273706331
87,87,4.565602836879433
88,88,4.573811400052534
89,89,4.582019963225637
90,90,4.590228526398739
91,91,4.598437089571841
92,92,4.606645652744944
93,93,4.6148542159180455
94,94,4.623062779091148
95,95,4.631271342264251
96,96,4.639479905437352
97,97,4.647688468610454
98,98,4.655897031783557
99,99,4.769175203572367
100,100,4.882453375361177
101,101,5.100801155765695
102,102,5.319969792487523
103,103,5.434068820593644
104,104,5.548988705017074
105,105,5.558838980824796
106,106,5.673758865248227
107,107,5.893748358287365
108,108,6.113737851326504
109,109,6.334548200682952
110,110,6.451109797741003
111,111,6.462601786183346
112,112,6.474093774625691
113,113,6.485585763068033
114,114,6.497077751510376
115,115,6.508569739952719
116,116,6.520061728395062
117,117,6.531553716837404
118,118,6.543045705279747
119,119,6.554537693722091
120,120,6.566029682164435
121,121,6.577521670606777
122,122,6.694083267664828
123,123,6.810644864722878
124,124,6.92720646178093
125,125,7.044588915156291
126,126,7.056901759915944
127,127,7.069214604675597
128,128,7.081527449435251
129,129,7.093840294194904
130,130,7.106153138954557
131,131,7.11846598371421
132,132,7.130778828473865
133,133,7.143091673233518
134,134,7.155404517993171
135,135,7.167717362752823
136,136,7.180030207512476
137,137,7.192343052272131
138,138,7.204655897031784
139,139,7.216968741791437
140,140,7.22928158655109
141,141,7.241594431310744
142,142,7.253907276070397
143,143,7.26622012083005
144,144,7.383602574205411
145,145,7.500985027580772
146,146,7.618367480956133
147,147,7.736570790648805
148,148,7.749704491725769
149,149,7.7628381928027315
150,150,7.775971893879695
151,151,7.789105594956659
152,152,7.802239296033623
153,153,7.815372997110585
154,154,7.8285066981875495
155,155,7.841640399264513
156,156,7.8547741003414755
157,157,7.867907801418441
158,158,7.881041502495403
159,159,7.894175203572367
160,160,7.907308904649331
161,161,7.9204426057262936
162,162,7.933576306803257
163,163,7.94671000788022
164,164,7.959843708957185
165,165,7.972977410034147
166,166,7.986111111111111
167,167,7.999244812188075
168,168,8.012378513265038
169,169,8.025512214342001
170,170,8.038645915418966
171,171,8.051779616495928
172,172,8.064913317572891
173,173,8.078047018649857
174,174,8.091180719726818
175,175,8.104314420803782
176,176,8.117448121880747
177,177,8.13058182295771
178,178,8.143715524034672
179,179,8.156849225111637
180,180,8.1699829261886
181,181,8.183116627265562
182,182,8.196250328342527
183,183,8.20938402941949
184,184,8.222517730496454
185,185,8.235651431573418
186,186,8.248785132650381
187,187,8.261918833727345
188,188,8.275052534804308
189,189,8.288186235881271
190,190,8.301319936958235
191,191,8.314453638035198
192,192,8.327587339112162
193,193,8.340721040189125
194,194,8.353854741266089
195,195,8.366988442343052
196,196,8.380122143420015
197,197,8.393255844496979
198,198,8.406389545573942
199,199,8.419523246650906
200,200,8.43265694772787
201,201,8.445790648804834
202,202,8.458924349881796
203,203,8.47205805095876
204,204,8.485191752035725
205,205,8.498325453112688
206,206,8.51145915418965
