,cdf,batch_num_decode_tokens
0,0.0,0.0
1,0.01,1.9997051226201907
2,0.02,1.9997051226201907
3,0.03,4.997811098765265
4,0.04,6.993632892422741
5,0.05,7.996469989602652
6,0.06,7.996469989602652
7,0.07,10.004152608697645
8,0.08,12.001124195202623
9,0.09,13.999202723426244
10,0.1,15.014259802243886
11,0.11,15.014259802243886
12,0.12,16.00658858967672
13,0.13,16.00658858967672
14,0.14,16.00658858967672
15,0.15,16.00658858967672
16,0.16,16.996381089962515
17,0.17,18.0113202620591
18,0.18,19.01067154327947
19,0.19,21.010042023055906
20,0.2,25.003118897839112
21,0.21,26.023515884264672
22,0.22,26.023515884264672
23,0.23,26.023515884264672
24,0.24,26.977430211401757
25,0.25,28.022299698332315
26,0.26,29.99409814075676
27,0.27,30.969431716511867
28,0.28,30.969431716511867
29,0.29,31.976480717732706
30,0.3,34.98784393437458
31,0.31,34.98784393437458
32,0.32,34.98784393437458
33,0.33,37.9777595100358
34,0.34,40.976582199748535
35,0.35000000000000003,40.976582199748535
36,0.36,41.97191674322714
37,0.37,45.0152251403878
38,0.38,47.04011666295805
39,0.39,48.95986089487216
40,0.4,48.95986089487216
41,0.41000000000000003,50.0489138553459
42,0.42,51.98737065170029
43,0.43,54.000906295163944
44,0.44,54.000906295163944
45,0.45,54.000906295163944
46,0.46,56.99712612291374
47,0.47000000000000003,56.99712612291374
48,0.48,60.03939109153555
49,0.49,62.99156830465424
50,0.5,62.99156830465424
51,0.51,64.0075398344503
52,0.52,64.0075398344503
53,0.53,65.95686028918864
54,0.54,67.0206580966104
55,0.55,67.96554640998895
56,0.56,71.02279778045839
57,0.5700000000000001,73.03953941466173
58,0.58,74.96347080859108
59,0.59,78.02278912874269
60,0.6,81.04470897088486
61,0.61,81.04470897088486
62,0.62,85.02973178204074
63,0.63,86.05623561054385
64,0.64,89.92724906007459
65,0.65,96.06269216059265
66,0.66,96.06269216059265
67,0.67,97.02813859078891
68,0.68,99.9830863317801
69,0.6900000000000001,99.9830863317801
70,0.7000000000000001,104.06347487863825
71,0.71,104.06347487863825
72,0.72,105.95357795162072
73,0.73,107.01842946992822
74,0.74,107.01842946992822
75,0.75,108.09398292749972
76,0.76,108.96220333143697
77,0.77,108.96220333143697
78,0.78,110.9412819235738
79,0.79,110.9412819235738
80,0.8,112.05626071695865
81,0.81,112.05626071695865
82,0.8200000000000001,112.9563064855434
83,0.8300000000000001,112.9563064855434
84,0.84,112.9563064855434
85,0.85,114.09153661923892
86,0.86,114.09153661923892
87,0.87,115.00792990336663
88,0.88,117.0968169214218
89,0.89,117.0968169214218
90,0.9,118.03734888197941
91,0.91,118.98543527819187
92,0.92,118.98543527819187
93,0.93,119.94113678795277
94,0.9400000000000001,119.94113678795277
95,0.9500000000000001,119.94113678795277
96,0.96,119.94113678795277
97,0.97,119.94113678795277
98,0.98,119.94113678795277
99,0.99,119.94113678795277
100,1.0,119.94113678795277
