,Request Id,prefill_time_execution_plus_preemption,cdf
0,0,0.054796667197691086,0.03571428571428571
1,1,0.0703151606303028,0.07142857142857142
7,7,0.07673871263030274,0.10714285714285714
5,5,0.07876572613075794,0.14285714285714285
6,6,0.0801208060545675,0.17857142857142858
14,14,0.08760144238268364,0.21428571428571427
15,15,0.09027613038268356,0.25
16,16,0.09109737838268384,0.2857142857142857
17,17,0.09179487384935037,0.32142857142857145
18,18,0.09259564184935076,0.35714285714285715
10,10,0.09347900846538337,0.39285714285714285
11,11,0.09520751772252622,0.42857142857142855
2,2,0.09672599667734932,0.4642857142857143
26,26,0.09894134546839783,0.5
8,8,0.09949475200355185,0.5357142857142857
9,9,0.09949475200355185,0.5714285714285714
27,27,0.09976105746839803,0.6071428571428571
12,12,0.09994154266863808,0.6428571428571429
13,13,0.10102078259244762,0.6785714285714286
24,24,0.10232503052675312,0.7142857142857143
23,23,0.10266903845056241,0.75
25,25,0.10385865216484902,0.7857142857142857
22,22,0.10699145112796549,0.8214285714285714
3,3,0.10921424965921189,0.8571428571428571
4,4,0.10921424965921189,0.8928571428571429
21,21,0.11490600548557195,0.9285714285714286
19,19,0.12309882962132956,0.9642857142857143
20,20,0.12309882962132956,1.0
