,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,1.9997051226201907
2,0.02,4.997811098765265
3,0.03,7.996469989602652
4,0.04,10.004152608697645
5,0.05,10.004152608697645
6,0.06,13.999202723426244
7,0.07,15.014259802243886
8,0.08,16.00658858967672
9,0.09,16.00658858967672
10,0.1,16.00658858967672
11,0.11,16.00658858967672
12,0.12,16.00658858967672
13,0.13,18.0113202620591
14,0.14,19.01067154327947
15,0.15,26.023515884264672
16,0.16,26.023515884264672
17,0.17,26.977430211401757
18,0.18,28.022299698332315
19,0.19,29.99409814075676
20,0.2,30.969431716511867
21,0.21,31.976480717732706
22,0.22,34.98784393437458
23,0.23,34.98784393437458
24,0.24,40.976582199748535
25,0.25,40.976582199748535
26,0.26,45.0152251403878
27,0.27,48.95986089487216
28,0.28,48.95986089487216
29,0.29,51.98737065170029
30,0.3,54.000906295163944
31,0.31,54.000906295163944
32,0.32,56.99712612291374
33,0.33,58.03236392716473
34,0.34,62.99156830465424
35,0.35000000000000003,62.99156830465424
36,0.36,65.95686028918864
37,0.37,65.95686028918864
38,0.38,67.96554640998895
39,0.39,71.02279778045839
40,0.4,78.02278912874269
41,0.41000000000000003,81.04470897088486
42,0.42,86.05623561054385
43,0.43,96.06269216059265
44,0.44,98.98823767054662
45,0.45,99.9830863317801
46,0.46,104.06347487863825
47,0.47000000000000003,104.89932188646694
48,0.48,107.01842946992822
49,0.49,107.01842946992822
50,0.5,108.96220333143697
51,0.51,110.9412819235738
52,0.52,112.05626071695865
53,0.53,112.9563064855434
54,0.54,112.9563064855434
55,0.55,114.09153661923892
56,0.56,114.09153661923892
57,0.5700000000000001,117.0968169214218
58,0.58,117.0968169214218
59,0.59,119.94113678795277
60,0.6,119.94113678795277
61,0.61,119.94113678795277
62,0.62,119.94113678795277
63,0.63,119.94113678795277
64,0.64,119.94113678795277
65,0.65,119.94113678795277
66,0.66,128.89538671575343
67,0.67,134.96306318989895
68,0.68,143.0223846944321
69,0.6900000000000001,145.91162949182663
70,0.7000000000000001,153.08620238278175
71,0.71,157.11863951343716
72,0.72,161.90361607426667
73,0.73,165.83630770304308
74,0.74,173.9905904132433
75,0.75,177.15077846187063
76,0.76,180.00798859717014
77,0.77,185.86140130386502
78,0.78,189.99566364914423
79,0.79,196.17385074232715
80,0.8,202.9584485207881
81,0.81,207.8883754170533
82,0.8200000000000001,216.8056419541916
83,0.8300000000000001,227.92150871638486
84,0.84,234.86275439095374
85,0.85,237.22316510517507
86,0.86,239.1285624885707
87,0.87,241.0492641917914
88,0.88,242.9853931404834
89,0.89,246.90442942154698
90,0.9,246.90442942154698
91,0.91,246.90442942154698
92,0.92,268.0038547137111
93,0.93,295.00768170169414
94,0.9400000000000001,313.8770712229126
95,0.9500000000000001,331.9556696998933
96,0.96,342.0652283344854
97,0.97,356.0251798741168
98,0.98,368.33817487987244
99,0.99,374.2789874217211
100,1.0,612.1648683742749
