,cdf,batch_total_kv_tokens
0,0.0,128.12432962288904
1,0.01,1040.0268568204501
2,0.02,1067.422159917951
3,0.03,2646.5233837920437
4,0.04,3748.0922005963184
5,0.05,4354.662081288839
6,0.06,5234.373046988384
7,0.07,5625.147102773261
8,0.08,6911.918000096232
9,0.09,7998.445551088953
10,0.1,8699.340730502689
11,0.11,9274.301224877156
12,0.12,9633.50646742769
13,0.13,9847.792181200908
14,0.14,10046.73084654443
15,0.15,10270.208237442368
16,0.16,10992.87485738322
17,0.17,11719.420576007175
18,0.18,12493.985460508948
19,0.19,14030.694641164959
20,0.2,16366.678274246637
21,0.21,17000.58011727475
22,0.22,17344.01473250275
23,0.23,17800.872685168546
24,0.24,18939.45863173285
25,0.25,19399.504257770037
26,0.26,20806.12751421098
27,0.27,21742.03644479281
28,0.28,22539.009465581486
29,0.29,23086.489355132213
30,0.3,25059.364684052667
31,0.31,25514.517486239532
32,0.32,25977.937220806816
33,0.33,28029.222725132087
34,0.34,30061.57138833783
35,0.35000000000000003,30607.579183349917
36,0.36,32241.28200764704
37,0.37,33962.1849630662
38,0.38,35918.32882204905
39,0.39,37160.55051984401
40,0.4,38063.192409467236
41,0.41000000000000003,39222.38958730473
42,0.42,40660.119966945924
43,0.43,42404.21521253091
44,0.44,43088.13968938969
45,0.45,44134.76465283884
46,0.46,46120.05097579857
47,0.47000000000000003,47334.89727238063
48,0.48,49365.30370871501
49,0.49,51585.87207590945
50,0.5,52417.88465758304
51,0.51,53798.62192269033
52,0.52,55659.22673520616
53,0.53,56556.93719480202
54,0.54,58162.91067808213
55,0.55,59934.23561550587
56,0.56,61883.148100178616
57,0.5700000000000001,63767.77117282404
58,0.58,65841.34071253998
59,0.59,68528.37771459574
60,0.6,70898.40551108672
61,0.61,72330.64879037568
62,0.62,75433.23532400934
63,0.63,77730.52012771368
64,0.64,80418.80050851635
65,0.65,84373.04697989747
66,0.66,86077.496164882
67,0.67,88168.34661530303
68,0.68,90309.98450495943
69,0.6900000000000001,92503.64347731169
70,0.7000000000000001,95130.34863320933
71,0.71,96858.19949053666
72,0.72,99409.53719409711
73,0.73,100811.05894277443
74,0.74,102437.00934424884
75,0.75,103881.21379904992
76,0.76,104297.57095219527
77,0.77,104925.23770438747
78,0.78,105556.68177898745
79,0.79,105768.00646723356
80,0.8,106191.92590806473
81,0.81,106404.52235632925
82,0.8200000000000001,106830.99296049205
83,0.8300000000000001,107473.90594276793
84,0.84,107689.06891762822
85,0.85,108120.68799984409
86,0.86,108771.36241596047
87,0.87,109645.02359168873
88,0.88,112308.3369683226
89,0.89,113891.71197701577
90,0.9,115728.63618707447
91,0.91,116658.17879931071
92,0.92,117125.74618170538
93,0.93,117595.18757978699
94,0.9400000000000001,118066.51050463293
95,0.9500000000000001,118539.72249742507
96,0.96,118777.03925918153
97,0.97,119253.09905975964
98,0.98,119731.0669137388
99,0.99,120210.95046861998
100,1.0,121176.49542447148
