,cdf,batch_memory_usage_percent
0,0.0,0.4202099595180835
1,0.01,0.8667535942030656
2,0.02,0.8931501798985628
3,0.03,2.2056004034905707
4,0.04,3.1361623816169613
5,0.05,3.614667698166278
6,0.06,4.531259805843462
7,0.07,4.65061752721434
8,0.08,6.0678242703145076
9,0.09,6.639257473798307
10,0.1,7.249990513141203
11,0.11,7.806839316902294
12,0.12,7.964547985574301
13,0.13,8.125442581759952
14,0.14,8.339474518405492
15,0.15,8.524976054706144
16,0.16,9.16141129508
17,0.17,9.727921525607947
18,0.18,10.329462804405184
19,0.19,11.81063412888531
20,0.2,13.776997785638752
21,0.21,14.083450458310905
22,0.22,14.396719800481671
23,0.23,15.07443713594293
24,0.24,15.78405762664718
25,0.25,16.070743189079636
26,0.26,17.270510465714064
27,0.27,18.047378961282448
28,0.28,18.821512138145472
29,0.29,19.125078488289084
30,0.3,20.75942812598423
31,0.31,21.178796533510287
32,0.32,21.563466644293563
33,0.33,23.266174067691793
34,0.34,24.953162616324942
35,0.35000000000000003,25.355624461280854
36,0.36,26.709000206748026
37,0.37,28.417371072605857
38,0.38,29.814672307879587
39,0.39,30.784171401186107
40,0.4,31.721689311571495
41,0.41000000000000003,32.687758902651446
42,0.42,33.68324970284932
43,0.43,35.12807563327819
44,0.44,35.766106256221086
45,0.45,36.78170966575206
46,0.46,38.20631111243247
47,0.47000000000000003,39.212701924648975
48,0.48,41.140816833580544
49,0.49,42.648868811730225
50,0.5,43.42349946955025
51,0.51,44.56731601786451
52,0.52,46.10865963783521
53,0.53,46.85233195350981
54,0.54,48.37585342237466
55,0.55,49.94891602546512
56,0.56,51.16219148331339
57,0.5700000000000001,52.8258588797697
58,0.58,54.54362460793902
59,0.59,56.99712612291374
60,0.6,58.73294762300674
61,0.61,60.40071043259002
62,0.62,62.61475035352721
63,0.63,64.90994780947346
64,0.64,67.1548335882953
65,0.65,69.89547526973487
66,0.66,71.30745800737382
67,0.67,73.1857647187952
68,0.68,74.81369364413838
69,0.6900000000000001,77.5560538444501
70,0.7000000000000001,78.64947505203868
71,0.71,80.23830037541312
72,0.72,82.35185402491493
73,0.73,83.34602972874508
74,0.74,84.69029207376887
75,0.75,85.7126980866869
76,0.76,86.40115003692432
77,0.77,86.92111544680155
78,0.78,87.0951316939423
79,0.79,87.44421002830843
80,0.8,87.61927351184859
81,0.81,87.97045261291906
82,0.8200000000000001,88.14656963516714
83,0.8300000000000001,88.67703904662787
84,0.84,89.21070084319973
85,0.85,89.38930084488781
86,0.86,89.74757423677778
87,0.87,91.0128771517113
88,0.88,92.85145984887643
89,0.89,94.34903233747076
90,0.9,95.67920874227033
91,0.91,96.25500986261586
92,0.92,96.83427617602209
93,0.93,97.2223891184982
94,0.9400000000000001,97.61205762231134
95,0.9500000000000001,97.80747715709069
96,0.96,98.19949070079294
97,0.97,98.59307543948877
98,0.98,98.79045897390218
99,0.99,99.18641232053767
100,1.0,99.9830863317801
