Time (sec),throughput
0.0,0
0.04314686332258952,1
0.052659258183195584,2
0.06217165304380165,3
0.07168404790440772,4
0.10895028546631251,6
0.11928188032691858,8
0.128961656520858,10
0.1386414327147974,12
0.1483212089087368,14
0.15800098510267618,16
0.16768076129661558,18
0.17736053749055497,20
0.18704031368449436,22
0.19672008987843376,24
0.20639986607237315,26
0.21607964226631254,28
0.22575941846025194,30
0.23543919465419133,32
0.24511897084813072,34
0.2547987470420701,36
0.2644785232360095,38
0.2741582994299489,40
0.2838380756238883,42
0.2935178518178277,44
0.3031976280117671,46
0.3128774042057065,48
0.32255718039964587,50
0.33223695659358526,52
0.34191673278752466,54
0.35159650898146405,56
0.36127628517540344,58
0.39870990407064155,61
0.4374099549658797,65
0.47624786186111784,70
0.4873993396423588,75
0.4978064545029649,80
0.508213569363571,85
0.5186206842241771,90
0.5290277990847831,95
0.5394349139453892,100
0.5498420288059953,105
0.5602491436666014,110
0.5984101012285062,116
0.609721877676414,122
0.6202687258703533,128
0.6585694167655914,135
0.6700209265468324,142
0.6811360520741052,149
0.692251177601378,156
0.7033663031286508,163
0.7144814286559236,170
0.7255965541831964,177
0.7367116797104691,184
0.7478268052377419,191
0.7589419307650147,198
0.7700570562922875,205
0.7811721818195603,212
0.7922873073468331,219
0.8034024328741058,226
0.8145175584013786,233
0.8533865266299501,241
0.8654063137445244,249
0.8768242446051304,257
0.8882421754657365,265
0.8996601063263425,273
0.9110780371869486,281
0.9224959680475546,289
0.9339138989081607,297
0.9453318297687667,305
0.9567497606293728,313
0.9681676914899788,321
0.9795856223505849,329
0.9910035532111909,337
1.002421484071797,345
1.0138394149324033,353
1.0252573457930094,361
1.0366752766536156,369
1.0758470502155204,378
1.1162497997774252,388
1.1289538964793011,398
1.1405437742605422,408
1.1521336520417833,418
1.1637235298230244,428
1.1753134076042655,438
1.1869032853855066,448
1.1984931631667477,458
1.2100830409479888,468
1.22167291872923,478
1.233262796510471,488
1.244852674291712,498
1.2564425520729532,508
1.2680324298541943,518
1.2796223076354354,528
1.2912121854166765,538
1.3028020631979176,548
1.3143919409791587,558
1.3259818187603998,568
1.3375716965416409,578
1.376829955436879,589
1.4173191903321172,601
1.430230007033993,613
1.4420797248152342,625
1.4539294425964753,637
1.4657791603777164,649
1.4776288781589575,661
1.4894785959401986,673
1.5289966948354368,686
1.569745769730675,700
1.5831374786322623,714
1.5956653404135033,728
1.6081932021947443,742
1.6207210639759853,756
1.6332489257572262,770
1.6457767875384672,784
1.6583046493197082,798
1.6708325111009492,812
1.6833603728821902,826
1.6958882346634312,840
1.7084160964446722,854
1.7209439582259132,868
1.7334718200071542,882
1.7459996817883952,896
1.7861959246836332,911
1.799880117385509,926
1.8125759578334166,941
1.8252717982813242,956
1.8379676387292319,971
1.8506634791771395,986
1.863359319625047,1001
1.8765812827396213,1016
1.8898032458541956,1031
1.9030252089687698,1046
1.916247172083344,1061
1.9294691351979183,1076
1.9426910983124925,1091
1.9559130614270668,1106
1.969135024541641,1121
1.9823569876562153,1136
1.9955789507707895,1151
2.0088009138853637,1166
2.022022876999938,1181
2.0352448401145127,1196
2.048466803229087,1211
2.0616887663436616,1226
2.074910729458236,1241
2.1158010736868076,1257
2.130179367722017,1273
2.1434912295032578,1289
2.1568030912844987,1305
2.1701149530657395,1321
2.1834268148469804,1337
2.1967386766282213,1353
2.210050538409462,1369
2.223362400190703,1385
2.236674261971944,1401
2.249986123753185,1417
2.2632979855344257,1433
2.2766098473156666,1449
2.2899217090969075,1465
2.3032335708781484,1481
2.3165454326593893,1497
2.32985729444063,1513
2.343169156221871,1529
2.356481018003112,1545
2.369792879784353,1561
2.3831047415655937,1577
2.3964166033468346,1593
2.4097284651280755,1609
2.4230403269093164,1625
2.4363521886905573,1641
2.449664050471798,1657
2.462975912253039,1673
2.47628777403428,1689
2.489599635815521,1705
2.5029114975967617,1721
2.5162233593780026,1737
2.5295352211592435,1753
2.5428470829404843,1769
2.5561589447217252,1785
2.569470806502966,1801
2.582782668284207,1817
2.596094530065448,1833
2.6094063918466888,1849
2.6227182536279297,1865
2.6360301154091705,1881
2.6493419771904114,1897
2.6626538389716523,1913
2.675965700752893,1929
2.689277562534134,1945
2.702589424315375,1961
2.715901286096616,1977
2.7292131478778567,1993
2.7425250096590976,2009
2.7558368714403385,2025
2.7691487332215794,2041
2.7824605950028203,2057
2.795772456784061,2073
2.809084318565302,2089
2.822512148346543,2105
2.8359399781277843,2121
2.8493678079090254,2137
2.8627956376902666,2153
2.8762234674715077,2169
2.889651297252749,2185
2.90307912703399,2201
2.916506956815231,2217
2.929934786596472,2233
2.9433626163777133,2249
2.9567904461589545,2265
2.9702182759401956,2281
3.0112261668354336,2298
3.0258103275373096,2315
3.039412338347122,2332
3.053014349156934,2349
3.0666163599667464,2366
3.0802183707765587,2383
3.093820381586371,2400
3.1074223923961832,2417
3.1210244032059955,2434
3.1346264140158078,2451
3.14822842482562,2468
3.1618304356354323,2485
3.1754324464452446,2502
3.216499814673816,2520
3.2313749582420703,2538
3.2451641050518827,2556
3.258953251861695,2574
3.2727423986715074,2592
3.2865315454813198,2610
3.300320692291132,2628
3.3141098391009445,2646
3.327898985910757,2664
3.341688132720569,2682
3.3554772795303816,2700
3.369266426340194,2718
3.3830555731500063,2736
3.3968447199598186,2754
3.410633866769631,2772
3.4518883709982022,2791
3.466950650566456,2810
3.4808894720429353,2829
3.4948282935194146,2848
3.508767114995894,2867
3.522705936472373,2886
3.5366447579488525,2905
3.5505835794253318,2924
3.564522400901811,2943
3.5784612223782903,2962
3.5924000438547696,2981
3.606338865331249,3000
3.620277686807728,3019
3.6342165082842075,3038
3.6756206871794457,3058
3.6908326414143664,3078
3.7049379055575122,3098
3.719043169700658,3118
3.733148433843804,3138
3.7472536979869497,3158
3.7613589621300956,3178
3.7754642262732414,3198
3.7895694904163872,3218
3.803674754559533,3238
3.817780018702679,3258
3.8318852828458247,3278
