id,prefill_tokens,decode_tokens,prompt_type,arrived_at,scheduled_at,prefill_completed_at,completed_at,num_restarts,latest_stage_scheduled_at,latest_stage_completed_at,latest_iteration_scheduled_at,latest_iteration_completed_at
0,512,1000,only,0.006332209760684723,0.006332209760684723,0.04314686332258952,15.810142502816971,0,15.791703926673826,15.810142502816971,15.791703926673826,15.810142502816971
1,512,1000,only,0.06947875617821311,0.07168404790440772,0.11928188032691858,15.899440663532697,0,15.881414802056218,15.899440663532697,15.881414802056218,15.899440663532697
2,512,1000,only,0.35177200837786127,0.36127628517540344,0.4374099549658797,16.376559616730976,0,16.358861477921163,16.376559616730976,16.358861477921163,16.376559616730976
3,512,1000,only,0.3745101095295028,0.39870990407064155,0.47624786186111784,16.39396280087412,0,16.376559616730976,16.39396280087412,16.376559616730976,16.39396280087412
4,512,1000,only,0.3820726538313425,0.4374099549658797,0.4873993396423588,16.411112827988696,0,16.39396280087412,16.411112827988696,16.39396280087412,16.411112827988696
5,512,1000,only,0.5580515357978808,0.5602491436666014,0.609721877676414,16.56422352001988,0,16.547211220905304,16.56422352001988,16.547211220905304,16.56422352001988
6,512,1000,only,0.6134744530888009,0.6202687258703533,0.6700209265468324,16.6149294093636,0,16.598027446249027,16.6149294093636,16.598027446249027,16.6149294093636
7,512,1000,only,0.8103067666494012,0.8145175584013786,0.8654063137445244,16.844000616082237,0,16.828729202300995,16.844000616082237,16.828729202300995,16.844000616082237
8,512,1000,only,1.0327589432248419,1.0366752766536156,1.1162497997774252,17.097629925029974,0,17.0827105539154,17.097629925029974,17.0827105539154,17.097629925029974
9,512,1000,only,1.0343889353634086,1.0758470502155204,1.1289538964793011,17.11222008014455,0,17.097629925029974,17.11222008014455,17.097629925029974,17.11222008014455
10,512,1000,only,1.3338364206067799,1.3375716965416409,1.4173191903321172,17.39963704910269,0,17.385266200654783,17.39963704910269,17.385266200654783,17.39963704910269
11,512,1000,only,1.3760829876285974,1.376829955436879,1.430230007033993,17.41392183888393,0,17.39963704910269,17.41392183888393,17.39963704910269,17.41392183888393
12,512,1000,only,1.4786752200988682,1.4894785959401986,1.569745769730675,17.512856592241498,0,17.49872305604756,17.512856592241498,17.49872305604756,17.512856592241498
13,512,1000,only,1.5041048913477761,1.5289966948354368,1.5831374786322623,17.52690790976877,0,17.512856592241498,17.52690790976877,17.512856592241498,17.52690790976877
14,512,1000,only,1.73551725808678,1.7459996817883952,1.799880117385509,17.709213672677862,0,17.69705995515059,17.709213672677862,17.69705995515059,17.709213672677862
15,512,1000,only,2.0626023656983468,2.074910729458236,2.130179367722017,17.982719863805123,0,17.97082829027785,17.982719863805123,17.97082829027785,17.982719863805123
16,512,1000,only,2.9666561621208514,2.9702182759401956,3.0258103275373096,18.742544207077795,0,18.730767662883856,18.742544207077795,18.730767662883856,18.742544207077795
17,512,1000,only,3.1674193484924724,3.1754324464452446,3.2313749582420703,18.884507121598997,0,18.87358689740506,18.884507121598997,18.87358689740506,18.884507121598997
18,512,1000,only,3.4083433997741843,3.410633866769631,3.466950650566456,19.042331604508078,0,19.03180997231414,19.042331604508078,19.03180997231414,19.042331604508078
19,512,1000,only,3.6236473851113957,3.6342165082842075,3.6908326414143664,19.18015119122324,0,19.1703069350293,19.18015119122324,19.1703069350293,19.18015119122324
