Batch Id,batch_num_tokens,batch_num_prefill_tokens,batch_num_decode_tokens,batch_size,batch_total_kv_tokens,batch_memory_usage_percent,batch_kv_tokens_percent,batch_cpu_queue_length,batch_execution_time
0,512,512,0,1,513,0.42027843446283164,0.42109929078014185,0,0.036814653561904796
1,1,0,1,1,514,0.43341213553979513,0.421920147097452,0,0.009512394860606066
2,1,0,1,1,515,0.43341213553979513,0.4227410034147623,0,0.009512394860606066
3,1,0,1,1,516,0.43341213553979513,0.4235618597320725,1,0.009512394860606066
4,512,511,1,2,1028,0.8536905700026267,0.843840294194904,0,0.037266237561904794
5,2,1,1,2,1031,0.8536905700026267,0.8463028631468348,0,0.010331594860606072
6,2,0,2,2,1033,0.8668242710795903,0.8479445757814553,0,0.009679776193939421
7,2,0,2,2,1035,0.8668242710795903,0.8495862884160756,0,0.009679776193939393
8,2,0,2,2,1037,0.8668242710795903,0.8512280010506961,0,0.009679776193939393
9,2,0,2,2,1039,0.8668242710795903,0.8528697136853166,0,0.009679776193939393
10,2,0,2,2,1041,0.8668242710795903,0.8545114263199369,0,0.009679776193939393
11,2,0,2,2,1043,0.8668242710795903,0.8561531389545574,0,0.009679776193939393
12,2,0,2,2,1045,0.8668242710795903,0.8577948515891779,0,0.009679776193939393
13,2,0,2,2,1047,0.8668242710795903,0.8594365642237983,0,0.009679776193939393
14,2,0,2,2,1049,0.8668242710795903,0.8610782768584186,0,0.009679776193939393
15,2,0,2,2,1051,0.8668242710795903,0.8627199894930391,0,0.009679776193939393
16,2,0,2,2,1053,0.8668242710795903,0.8643617021276596,0,0.009679776193939393
17,2,0,2,2,1055,0.8799579721565537,0.8660034147622799,0,0.009679776193939393
18,2,0,2,2,1057,0.8799579721565537,0.8676451273969004,0,0.009679776193939393
19,2,0,2,2,1059,0.8799579721565537,0.8692868400315209,0,0.009679776193939393
20,2,0,2,2,1061,0.8799579721565537,0.8709285526661413,0,0.009679776193939393
21,2,0,2,2,1063,0.8799579721565537,0.8725702653007616,0,0.009679776193939393
22,2,0,2,2,1065,0.8930916732335172,0.8742119779353822,0,0.009679776193939393
23,2,0,2,2,1067,0.8930916732335172,0.8758536905700026,0,0.009679776193939393
24,2,0,2,2,1069,0.8930916732335172,0.877495403204623,0,0.009679776193939393
25,2,0,2,2,1071,0.8930916732335172,0.8791371158392436,0,0.009679776193939393
26,2,0,2,2,1073,0.8930916732335172,0.8807788284738639,0,0.009679776193939393
27,2,0,2,2,1075,0.8930916732335172,0.8824205411084843,0,0.009679776193939393
28,2,0,2,2,1077,0.8930916732335172,0.8840622537431049,0,0.009679776193939393
29,2,0,2,2,1079,0.8930916732335172,0.8857039663777253,0,0.009679776193939393
30,2,0,2,2,1081,0.8930916732335172,0.8873456790123456,1,0.009679776193939393
31,512,510,2,3,1593,1.3133701076963489,1.3076241134751774,2,0.03743361889523811
32,512,510,2,4,2106,1.7336485421591805,1.7287234042553192,1,0.03870005089523815
33,512,509,3,5,2619,2.1801943787759392,2.149822695035461,0,0.03883790689523814
34,11,7,4,5,2631,2.1933280798529027,2.1596729708431837,0,0.011151477781240982
35,5,0,5,5,2636,2.206461780929866,2.163777252429735,0,0.010407114860606081
36,5,0,5,5,2641,2.206461780929866,2.167881534016286,0,0.010407114860606081
37,5,0,5,5,2646,2.206461780929866,2.171985815602837,0,0.010407114860606081
38,5,0,5,5,2651,2.2195954820068295,2.176090097189388,0,0.010407114860606081
39,5,0,5,5,2656,2.2195954820068295,2.180194378775939,0,0.010407114860606081
40,5,0,5,5,2661,2.2195954820068295,2.18429866036249,0,0.010407114860606081
41,5,0,5,5,2666,2.2195954820068295,2.1884029419490414,1,0.010407114860606081
42,512,507,5,6,3178,2.639873916469661,2.6086813764118726,0,0.03816095756190485
43,10,5,5,6,3189,2.639873916469661,2.617710795902285,0,0.011311776447907707
44,6,0,6,6,3195,2.6530076175466246,2.6226359338061465,1,0.010546848193939362
45,512,506,6,7,3707,3.0732860520094563,3.042914368268978,0,0.03830069089523813
46,12,6,6,7,3720,3.0732860520094563,3.053585500394011,0,0.011451509781240987
47,7,0,7,7,3727,3.0864197530864197,3.059331494615183,0,0.011115125527272784
48,7,0,7,7,3734,3.0864197530864197,3.065077488836354,0,0.011115125527272784
49,7,0,7,7,3741,3.1126871552403466,3.0708234830575254,0,0.011115125527272784
50,7,0,7,7,3748,3.1258208563173104,3.076569477278697,0,0.011115125527272784
51,7,0,7,7,3755,3.138954557394274,3.082315471499869,0,0.011115125527272784
52,7,0,7,7,3762,3.138954557394274,3.08806146572104,0,0.011115125527272784
53,7,0,7,7,3769,3.138954557394274,3.0938074599422114,0,0.011115125527272784
54,7,0,7,7,3776,3.1520882584712373,3.099553454163383,0,0.011115125527272784
55,7,0,7,7,3783,3.1520882584712373,3.105299448384555,0,0.011115125527272784
56,7,0,7,7,3790,3.1520882584712373,3.111045442605726,0,0.011115125527272784
57,7,0,7,7,3797,3.1520882584712373,3.116791436826898,0,0.011115125527272784
58,7,0,7,7,3804,3.1520882584712373,3.122537431048069,0,0.011115125527272784
59,7,0,7,7,3811,3.1520882584712373,3.1282834252692413,1,0.011115125527272784
60,512,505,7,8,4323,3.5855003940110324,3.5485618597320725,0,0.03886896822857144
61,14,7,7,8,4338,3.5855003940110324,3.560874704491726,0,0.012019787114574298
62,8,0,8,8,4346,3.598634095087996,3.5674415550302077,0,0.011417930860606051
63,8,0,8,8,4354,3.6117677961649592,3.574008405568689,0,0.011417930860606051
64,8,0,8,8,4362,3.6117677961649592,3.5805752561071715,0,0.011417930860606051
65,8,0,8,8,4370,3.638035198318886,3.587142106645653,0,0.011417930860606051
66,8,0,8,8,4378,3.6511688993958495,3.5937089571841345,0,0.011417930860606051
67,8,0,8,8,4386,3.6643026004728134,3.6002758077226167,0,0.011417930860606051
68,8,0,8,8,4394,3.6643026004728134,3.606842658261098,0,0.011417930860606051
69,8,0,8,8,4402,3.6643026004728134,3.6134095087995797,0,0.011417930860606051
70,8,0,8,8,4410,3.677436301549777,3.619976359338061,0,0.011417930860606051
71,8,0,8,8,4418,3.677436301549777,3.6265432098765435,0,0.011417930860606051
72,8,0,8,8,4426,3.677436301549777,3.633110060415025,0,0.011417930860606051
73,8,0,8,8,4434,3.677436301549777,3.6396769109535065,0,0.011417930860606162
74,8,0,8,8,4442,3.677436301549777,3.6462437614919887,0,0.011417930860606162
75,8,0,8,8,4450,3.677436301549777,3.65281061203047,0,0.011417930860606162
76,8,0,8,8,4458,3.6905700026267403,3.6593774625689517,2,0.011417930860606162
77,512,504,8,9,4970,4.1108484370895715,4.079655897031784,1,0.03917177356190482
78,512,504,8,10,5483,4.544260572629367,4.500755187811925,0,0.040402749561904816
79,25,16,9,10,5509,4.570527974783294,4.522097452061991,0,0.012704096701875889
80,10,0,10,10,5519,4.583661675860258,4.530306015235093,0,0.011589877781241098
81,10,0,10,10,5529,4.609929078014185,4.538514578408195,0,0.011589877781241098
82,10,0,10,10,5539,4.623062779091148,4.546723141581298,0,0.011589877781241098
83,10,0,10,10,5549,4.6361964801681115,4.5549317047544,0,0.011589877781241098
84,10,0,10,10,5559,4.6361964801681115,4.563140267927502,0,0.011589877781241098
85,10,0,10,10,5569,4.6361964801681115,4.571348831100605,0,0.011589877781241098
86,10,0,10,10,5579,4.649330181245075,4.5795573942737064,0,0.011589877781241098
87,10,0,10,10,5589,4.649330181245075,4.587765957446808,0,0.011589877781241098
88,10,0,10,10,5599,4.649330181245075,4.595974520619911,0,0.011589877781241098
89,10,0,10,10,5609,4.649330181245075,4.604183083793012,0,0.011589877781241098
90,10,0,10,10,5619,4.649330181245075,4.612391646966115,0,0.011589877781241098
91,10,0,10,10,5629,4.649330181245075,4.620600210139218,0,0.011589877781241098
92,10,0,10,10,5639,4.662463882322038,4.628808773312319,0,0.011589877781241098
93,10,0,10,10,5649,4.662463882322038,4.637017336485422,0,0.011589877781241098
94,10,0,10,10,5659,4.675597583399002,4.6452258996585245,0,0.011589877781241098
95,10,0,10,10,5669,4.701864985552929,4.653434462831626,0,0.011589877781241098
96,10,0,10,10,5679,4.714998686629892,4.661643026004728,0,0.011589877781241098
97,10,0,10,10,5689,4.741266088783819,4.66985158917783,1,0.011589877781241098
98,512,502,10,11,6201,5.174678224323614,5.090130023640662,1,0.03925825889523815
99,512,502,10,12,6714,5.608090359863409,5.511229314420804,0,0.040489234895238146
100,31,20,11,12,6746,5.621224060940373,5.537496716574731,0,0.012910816701875882
101,12,0,12,12,6758,5.634357762017337,5.547346992382454,0,0.01184971778124111
102,12,0,12,12,6770,5.6474914630943,5.557197268190176,0,0.01184971778124111
103,12,0,12,12,6782,5.6474914630943,5.567047543997899,0,0.01184971778124111
104,12,0,12,12,6794,5.6474914630943,5.576897819805621,0,0.01184971778124111
105,12,0,12,12,6806,5.6474914630943,5.586748095613344,1,0.01184971778124111
106,512,500,12,13,7318,6.067769897557132,6.007026530076176,1,0.03951809889523816
107,512,500,12,14,7831,6.488048332019964,6.428125820856318,0,0.04074907489523816
108,37,24,13,14,7869,6.51431573417389,6.459318360914105,0,0.013391708901587362
109,14,0,14,14,7883,6.527449435250854,6.470810349356448,0,0.01252786178124099
110,14,0,14,14,7897,6.540583136327817,6.482302337798791,0,0.01252786178124099
111,14,0,14,14,7911,6.566850538481744,6.493794326241134,0,0.01252786178124099
112,14,0,14,14,7925,6.579984239558708,6.505286314683478,0,0.01252786178124099
113,14,0,14,14,7939,6.6062516417126345,6.516778303125821,0,0.01252786178124099
114,14,0,14,14,7953,6.619385342789598,6.528270291568164,0,0.01252786178124099
115,14,0,14,14,7967,6.632519043866561,6.539762280010507,0,0.01252786178124099
116,14,0,14,14,7981,6.645652744943525,6.551254268452849,0,0.01252786178124099
117,14,0,14,14,7995,6.658786446020488,6.562746256895193,0,0.01252786178124099
118,14,0,14,14,8009,6.671920147097452,6.574238245337536,0,0.01252786178124099
119,14,0,14,14,8023,6.671920147097452,6.58573023377988,0,0.01252786178124099
120,14,0,14,14,8037,6.671920147097452,6.597222222222222,0,0.01252786178124099
121,14,0,14,14,8051,6.671920147097452,6.608714210664565,1,0.01252786178124099
122,512,498,14,15,8563,7.092198581560283,7.0289926451273965,0,0.040196242895238044
123,28,14,14,15,8592,7.092198581560283,7.052797478329394,0,0.01368419270187582
124,15,0,15,15,8607,7.1315996847911745,7.065110323089047,0,0.012695840447907614
125,15,0,15,15,8622,7.144733385868138,7.0774231678487,0,0.012695840447907614
126,15,0,15,15,8637,7.157867086945101,7.089736012608353,0,0.012695840447907614
127,15,0,15,15,8652,7.184134489099028,7.102048857368007,0,0.012695840447907614
128,15,0,15,15,8667,7.197268190175992,7.11436170212766,0,0.012695840447907614
129,15,0,15,15,8682,7.2235355923299185,7.126674546887313,0,0.013221963114574242
130,15,0,15,15,8697,7.236669293406882,7.138987391646966,0,0.013221963114574242
131,15,0,15,15,8712,7.249802994483845,7.15130023640662,0,0.013221963114574242
132,15,0,15,15,8727,7.262936695560809,7.163613081166273,0,0.013221963114574242
133,15,0,15,15,8742,7.276070396637772,7.175925925925926,0,0.013221963114574242
134,15,0,15,15,8757,7.289204097714736,7.188238770685579,0,0.013221963114574242
135,15,0,15,15,8772,7.289204097714736,7.200551615445233,0,0.013221963114574242
136,15,0,15,15,8787,7.289204097714736,7.212864460204886,0,0.013221963114574242
137,15,0,15,15,8802,7.289204097714736,7.225177304964539,0,0.013221963114574242
138,15,0,15,15,8817,7.289204097714736,7.237490149724192,0,0.013221963114574242
139,15,0,15,15,8832,7.289204097714736,7.249802994483845,0,0.013221963114574242
140,15,0,15,15,8847,7.328605200945627,7.262115839243499,0,0.013221963114574464
141,15,0,15,15,8862,7.34173890202259,7.274428684003152,0,0.013221963114574464
142,15,0,15,15,8877,7.354872603099554,7.286741528762805,0,0.013221963114574464
143,15,0,15,15,8892,7.381140005253481,7.299054373522458,0,0.013221963114574464
144,15,0,15,15,8907,7.394273706330444,7.311367218282112,1,0.013221963114574464
145,512,497,15,16,9419,7.8408195429472025,7.731645652744944,0,0.04089034422857152
146,30,15,15,16,9450,7.853953244024166,7.757092198581559,0,0.014378294035209294
147,16,0,16,16,9466,7.880220646178093,7.7702258996585245,0,0.013311861781240886
148,16,0,16,16,9482,7.893354347255056,7.783359600735487,0,0.013311861781240886
149,16,0,16,16,9498,7.90648804833202,7.7964933018124505,0,0.013311861781240886
150,16,0,16,16,9514,7.919621749408983,7.809627002889415,0,0.013311861781240886
151,16,0,16,16,9530,7.919621749408983,7.822760703966377,0,0.013311861781240886
152,16,0,16,16,9546,7.919621749408983,7.835894405043341,0,0.013311861781240886
153,16,0,16,16,9562,7.919621749408983,7.849028106120305,0,0.013311861781240886
154,16,0,16,16,9578,7.919621749408983,7.8621618071972685,0,0.013311861781240886
155,16,0,16,16,9594,7.919621749408983,7.875295508274231,0,0.013311861781240886
156,16,0,16,16,9610,7.959022852639874,7.888429209351195,0,0.013311861781240886
157,16,0,16,16,9626,7.972156553716838,7.901562910428159,0,0.013311861781240886
158,16,0,16,16,9642,7.985290254793801,7.914696611505121,0,0.013311861781240886
159,16,0,16,16,9658,8.011557656947728,7.927830312582087,0,0.013311861781240886
160,16,0,16,16,9674,8.024691358024691,7.940964013659049,0,0.013311861781240886
161,16,0,16,16,9690,8.050958760178618,7.954097714736013,0,0.013311861781240886
162,16,0,16,16,9706,8.064092461255582,7.967231415812977,0,0.013311861781240886
163,16,0,16,16,9722,8.090359863409509,7.980365116889939,0,0.013311861781240886
164,16,0,16,16,9738,8.103493564486472,7.993498817966903,0,0.013311861781240886
165,16,0,16,16,9754,8.116627265563436,8.006632519043867,0,0.013311861781240886
166,16,0,16,16,9770,8.129760966640399,8.01976622012083,0,0.013311861781240886
167,16,0,16,16,9786,8.129760966640399,8.032899921197794,0,0.013311861781240886
168,16,0,16,16,9802,8.129760966640399,8.046033622274756,0,0.013311861781240886
169,16,0,16,16,9818,8.129760966640399,8.059167323351721,0,0.013311861781240886
170,16,0,16,16,9834,8.129760966640399,8.072301024428684,0,0.013311861781240886
171,16,0,16,16,9850,8.129760966640399,8.085434725505646,0,0.013311861781240886
172,16,0,16,16,9866,8.16916206987129,8.098568426582611,0,0.013311861781240886
173,16,0,16,16,9882,8.182295770948253,8.111702127659575,0,0.013311861781240886
174,16,0,16,16,9898,8.195429472025216,8.124835828736538,0,0.013311861781240886
175,16,0,16,16,9914,8.221696874179143,8.137969529813502,0,0.013311861781240886
176,16,0,16,16,9930,8.234830575256106,8.151103230890465,0,0.013311861781240886
177,16,0,16,16,9946,8.261097977410033,8.164236931967428,0,0.013311861781240886
178,16,0,16,16,9962,8.274231678486998,8.177370633044392,0,0.013311861781240886
179,16,0,16,16,9978,8.300499080640925,8.190504334121355,0,0.013311861781240886
180,16,0,16,16,9994,8.313632781717889,8.203638035198319,0,0.013311861781240886
181,16,0,16,16,10010,8.326766482794852,8.216771736275282,0,0.013311861781240886
182,16,0,16,16,10026,8.339900183871816,8.229905437352246,0,0.013311861781240886
183,16,0,16,16,10042,8.339900183871816,8.243039138429209,0,0.013311861781240886
184,16,0,16,16,10058,8.339900183871816,8.256172839506174,0,0.013311861781240886
185,16,0,16,16,10074,8.339900183871816,8.269306540583136,0,0.013311861781240886
186,16,0,16,16,10090,8.339900183871816,8.2824402416601,0,0.013311861781240886
187,16,0,16,16,10106,8.339900183871816,8.295573942737064,0,0.013311861781240886
188,16,0,16,16,10122,8.379301287102706,8.308707643814026,0,0.013311861781240886
189,16,0,16,16,10138,8.39243498817967,8.32184134489099,0,0.013311861781240886
190,16,0,16,16,10154,8.405568689256633,8.334975045967953,0,0.013311861781240886
191,16,0,16,16,10170,8.43183609141056,8.348108747044918,0,0.013311861781240886
192,16,0,16,16,10186,8.444969792487523,8.36124244812188,0,0.013311861781240886
193,16,0,16,16,10202,8.47123719464145,8.374376149198843,0,0.013311861781240886
194,16,0,16,16,10218,8.484370895718413,8.387509850275809,0,0.013311861781240886
195,16,0,16,16,10234,8.51063829787234,8.400643551352772,0,0.013311861781240886
196,16,0,16,16,10250,8.523771998949304,8.413777252429734,0,0.013311861781240886
197,16,0,16,16,10266,8.536905700026267,8.426910953506699,0,0.013311861781240886
198,16,0,16,16,10282,8.55003940110323,8.440044654583662,0,0.01342782978124113
199,16,0,16,16,10298,8.55003940110323,8.453178355660624,0,0.01342782978124113
200,16,0,16,16,10314,8.55003940110323,8.46631205673759,0,0.01342782978124113
201,16,0,16,16,10330,8.55003940110323,8.479445757814553,0,0.01342782978124113
202,16,0,16,16,10346,8.55003940110323,8.492579458891516,0,0.01342782978124113
203,16,0,16,16,10362,8.55003940110323,8.50571315996848,0,0.01342782978124113
204,16,0,16,16,10378,8.58944050433412,8.518846861045443,0,0.01342782978124113
205,16,0,16,16,10394,8.602574205411084,8.531980562122406,0,0.01342782978124113
206,16,0,16,16,10410,8.615707906488048,8.54511426319937,0,0.01342782978124113
207,16,0,16,16,10426,8.641975308641975,8.558247964276333,0,0.01342782978124113
