policy,arrival_rate,nreq,completed_window,mean_latency_s,p99_latency_s,restarts,restart_rate_pct,resident_memory_mean_pct,resident_memory_p95_pct,resident_memory_max_pct,batch_kv_tokens_mean_pct,batch_kv_tokens_p95_pct,batch_kv_tokens_max_pct,cpu_queue_mean,cpu_queue_p95,cpu_queue_max
sarathi,4.0,2000,1000,219.55979507999967,315.80388442353905,526,52.6,94.73733211103915,99.89493039138428,100.0,94.21747468664164,99.22182821118992,99.53703703703704,579.1195569551526,806.0,813.0
wait,4.0,2000,1000,,,0,0.0,46.64837371799176,82.95770948253218,87.1946414499606,46.21800083670903,82.38869188337273,86.59459548200684,0.12406576980568013,1.0,2.0
