batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
34,1778153396.9389083,decode,242,1943986,0.9962793005084956,1943744,242,0.0,19757,0,242,1943502,1943744,1943744,0.9961552771921122,1,19758,0,0,0,0.0
35,1778153396.9812596,decode,242,1944228,0.9964033238248791,1943986,242,0.0,19757,0,242,1943744,1943986,1943986,0.9962793005084956,1,19758,0,0,0,0.0
36,1778153397.0239651,decode,242,1944470,0.9965273471412626,1944228,242,0.0,19757,0,242,1943986,1944228,1944228,0.9964033238248791,1,19758,0,0,0,0.0
37,1778153397.06628,decode,242,1944712,0.9966513704576461,1944470,242,0.0,19757,0,242,1944228,1944470,1944470,0.9965273471412626,1,19758,0,0,0,0.0
38,1778153397.1087985,decode,242,1944954,0.9967753937740296,1944712,242,0.0,19757,0,242,1944470,1944712,1944712,0.9966513704576461,1,19758,0,0,0,0.0
39,1778153397.1522794,decode,242,1945196,0.996899417090413,1944954,242,0.0,19757,0,242,1944712,1944954,1944954,0.9967753937740296,1,19758,0,0,0,0.0
40,1778153397.194226,decode,242,1945438,0.9970234404067965,1945196,242,0.0,19757,0,242,1944954,1945196,1945196,0.996899417090413,1,19758,0,0,0,0.0
41,1778153397.2375584,decode,242,1945680,0.99714746372318,1945438,242,0.0,19757,0,242,1945196,1945438,1945438,0.9970234404067965,1,19758,0,0,0,0.0
42,1778153397.279214,decode,242,1945922,0.9972714870395635,1945680,242,684.6993759666418,19757,0,242,1945438,1945680,1945680,0.99714746372318,1,19758,0,0,0,0.0
43,1778153397.322193,decode,242,1946164,0.9973955103559469,1945922,242,684.6993759666418,19757,0,242,1945680,1945922,1945922,0.9972714870395635,1,19758,0,0,0,0.0
44,1778153397.3643088,decode,242,1946406,0.9975195336723304,1946164,242,684.6993759666418,19757,0,242,1945922,1946164,1946164,0.9973955103559469,1,19758,0,0,0,0.0
45,1778153397.4081316,decode,242,1946648,0.9976435569887139,1946406,242,684.6993759666418,19757,0,242,1946164,1946406,1946406,0.9975195336723304,1,19758,0,0,0,0.0
46,1778153397.4504392,decode,242,1946890,0.9977675803050974,1946648,242,684.6993759666418,19757,0,242,1946406,1946648,1946648,0.9976435569887139,1,19758,0,0,0,0.0
47,1778153397.493348,decode,242,1947132,0.9978916036214809,1946890,242,684.6993759666418,19757,0,242,1946648,1946890,1946890,0.9977675803050974,1,19758,0,0,0,0.0
48,1778153397.5354521,decode,242,1947374,0.9980156269378643,1947132,242,684.6993759666418,19757,0,242,1946890,1947132,1947132,0.9978916036214809,1,19758,0,0,0,0.0
49,1778153397.5783067,decode,242,1947616,0.9981396502542478,1947374,242,684.6993759666418,19757,0,242,1947132,1947374,1947374,0.9980156269378643,1,19758,0,0,0,0.0
50,1778153397.6202521,decode,242,1947858,0.9982636735706313,1947616,242,684.6993759666418,19757,0,242,1947374,1947616,1947616,0.9981396502542478,1,19758,0,0,0,0.0
51,1778153397.6677024,decode,242,1948100,0.9983876968870148,1947858,242,684.6993759666418,19757,0,242,1947616,1947858,1947858,0.9982636735706313,1,19758,0,0,0,0.0
52,1778153397.705891,decode,242,1948342,0.9985117202033983,1948100,242,684.6993759666418,19757,0,242,1947858,1948100,1948100,0.9983876968870148,1,19758,0,0,0,0.0
53,1778153397.7485123,decode,242,1948584,0.9986357435197817,1948342,242,684.6993759666418,19757,0,242,1948100,1948342,1948342,0.9985117202033983,1,19758,0,0,0,0.0
54,1778153397.7918167,decode,242,1948826,0.9987597668361652,1948584,242,684.6993759666418,19757,0,242,1948342,1948584,1948584,0.9986357435197817,1,19758,0,0,0,0.0
55,1778153397.833469,decode,242,1949068,0.9988837901525487,1948826,242,684.6993759666418,19757,0,242,1948584,1948826,1948826,0.9987597668361652,1,19758,0,0,0,0.0
56,1778153397.8765032,decode,242,1949310,0.9990078134689322,1949068,242,684.6993759666418,19757,0,242,1948826,1949068,1949068,0.9988837901525487,1,19758,0,0,0,0.0
57,1778153397.919313,decode,242,1949552,0.9991318367853156,1949310,242,684.6993759666418,19757,0,242,1949068,1949310,1949310,0.9990078134689322,1,19758,0,0,0,0.0
58,1778153397.9622476,decode,242,1949794,0.9992558601016991,1949552,242,684.6993759666418,19757,0,242,1949310,1949552,1949552,0.9991318367853156,1,19758,0,0,0,0.0
59,1778153398.0043714,decode,242,1950036,0.9993798834180826,1949794,242,684.6993759666418,19757,0,242,1949552,1949794,1949794,0.9992558601016991,1,19758,0,0,0,0.0
60,1778153398.047903,decode,242,1950278,0.9995039067344661,1950036,242,684.6993759666418,19757,0,242,1949794,1950036,1950036,0.9993798834180826,1,19758,0,0,0,0.0
61,1778153398.0895572,decode,242,1950520,0.9996279300508496,1950278,242,684.6993759666418,19757,0,242,1950036,1950278,1950278,0.9995039067344661,1,19758,0,0,0,0.0
62,1778153398.1332507,decode,242,1950762,0.999751953367233,1950520,242,684.6993759666418,19757,0,242,1950278,1950520,1950520,0.9996279300508496,1,19758,0,0,0,0.0
63,1778153398.174953,decode,242,1951004,0.9998759766836165,1950762,242,684.6993759666418,19757,0,242,1950520,1950762,1950762,0.999751953367233,1,19758,0,0,0,0.0
64,1778153398.2182765,decode,242,1951246,1.0,1951004,242,684.6993759666418,19757,0,242,1950762,1951004,1951004,0.9998759766836165,1,19758,0,0,0,0.0
65,1778153398.3574963,decode,242,1943424,0.995991279418382,1951246,241,684.6993759666418,19757,0,242,1951004,1951246,1951246,1.0,1,19758,0,0,0,0.0
66,1778153398.3984315,decode,241,1943665,0.9961147902417224,1943424,241,684.6993759666418,19757,1,241,1943183,1943424,1943424,0.995991279418382,2,19759,0,0,0,0.0
67,1778153398.4412425,decode,241,1943906,0.9962383010650631,1943665,241,684.6993759666418,19757,0,241,1943424,1943665,1943665,0.9961147902417224,2,19759,0,0,0,0.0
68,1778153398.4843097,decode,241,1944147,0.9963618118884037,1943906,241,684.6993759666418,19757,0,241,1943665,1943906,1943906,0.9962383010650631,2,19759,0,0,0,0.0
69,1778153398.52645,decode,241,1944388,0.9964853227117442,1944147,241,684.6993759666418,19757,0,241,1943906,1944147,1944147,0.9963618118884037,2,19759,0,0,0,0.0
70,1778153398.5694704,decode,241,1944629,0.9966088335350848,1944388,241,684.6993759666418,19757,0,241,1944147,1944388,1944388,0.9964853227117442,2,19759,0,0,0,0.0
71,1778153398.6122077,decode,241,1944870,0.9967323443584253,1944629,241,684.6993759666418,19757,0,241,1944388,1944629,1944629,0.9966088335350848,2,19759,0,0,0,0.0
72,1778153398.6554751,decode,241,1945111,0.9968558551817659,1944870,241,684.6993759666418,19757,0,241,1944629,1944870,1944870,0.9967323443584253,2,19759,0,0,0,0.0
