,Request Id,request_e2e_time_normalized,cdf
0,0,0.025742954030535194,0.0005
1,1,0.025919166638638146,0.001
2,2,0.026844807326523945,0.0015
3,3,0.02686322682775268,0.002
4,4,0.02689667174183121,0.0025
5,5,0.027086498673288065,0.003
6,6,0.027151852499138266,0.0035
7,7,0.027750615645959483,0.004
8,8,0.02826799134304291,0.0045
9,9,0.028307837929284718,0.005
11,11,0.028996152396769025,0.0055
10,10,0.02899632717738507,0.006
12,12,0.029218139886366276,0.0065
13,13,0.029234575537523143,0.007
14,14,0.0296304863668707,0.0075
15,15,0.03032127882001727,0.008
16,16,0.032523237626691744,0.0085
17,17,0.032986660978832266,0.009
18,18,0.03347530936477314,0.0095
19,19,0.0339107999535335,0.01
20,20,0.03394417686980838,0.0105
21,21,0.033995665054812156,0.011
22,22,0.03406644596941286,0.0115
23,23,0.034260709031369706,0.012
24,24,0.034464278376328795,0.0125
25,25,0.03454051287144739,0.013
26,26,0.03593395361293866,0.0135
27,27,0.03628545732334793,0.014
28,28,0.0367703975340737,0.0145
29,29,0.03692292632655855,0.015
30,30,0.037296164513406976,0.0155
31,31,0.03770528652415975,0.016
32,32,0.038288311677861855,0.0165
34,34,0.038339144345115504,0.017
33,33,0.038348600991272845,0.0175
35,35,0.039393542052734716,0.018
36,36,0.03947747868619574,0.0185
37,37,0.03965277461036865,0.019
38,38,0.039837781960252276,0.0195
39,39,0.039887915322163264,0.02
40,40,0.040007400332471806,0.0205
41,41,0.04072996439051424,0.021
42,42,0.040757711146112395,0.0215
43,43,0.0409557801368087,0.022
44,44,0.04101262515452324,0.0225
45,45,0.04127570975450539,0.023
46,46,0.0414277117602677,0.0235
47,47,0.04152232426063082,0.024
48,48,0.04176417348521875,0.0245
49,49,0.042305721485867205,0.025
50,50,0.042613501216478666,0.0255
51,51,0.042786021975285214,0.026
52,52,0.043016013902168894,0.0265
53,53,0.043131326541256045,0.027
54,54,0.043883315450596205,0.0275
55,55,0.0438988687547313,0.028
56,56,0.04391946732070792,0.0285
57,57,0.04441221383102558,0.029
58,58,0.04460653676679449,0.0295
59,59,0.0446351475357234,0.03
60,60,0.04477909190637451,0.0305
61,61,0.0449649813560773,0.031
62,62,0.04498802994693899,0.0315
63,63,0.04555579338423785,0.032
64,64,0.045845227690791995,0.0325
65,65,0.04587629862755435,0.033
66,66,0.04626160219946446,0.0335
67,67,0.04632378496640624,0.034
68,68,0.04654593377346648,0.0345
69,69,0.046581241414820056,0.035
70,70,0.046679052939285974,0.0355
72,72,0.04694757421467631,0.036
71,71,0.04696108592065691,0.0365
73,73,0.0471359745716092,0.037
74,74,0.04718069390815283,0.0375
75,75,0.04735486901669532,0.038
76,76,0.04738388009859179,0.0385
77,77,0.04745771740657272,0.039
78,78,0.04753976807672409,0.0395
79,79,0.04761567505691691,0.04
80,80,0.04774755456541826,0.0405
81,81,0.047990960252712066,0.041
82,82,0.0480191128052104,0.0415
83,83,0.04811798175889967,0.042
84,84,0.04815015472628225,0.0425
85,85,0.04826048955923353,0.043
86,86,0.04838725360436053,0.0435
87,87,0.04840274253637882,0.044
88,88,0.04846616297537387,0.0445
89,89,0.048582706535473384,0.045
90,90,0.0486890733185171,0.0455
92,92,0.04869853718789601,0.046
91,91,0.04873255715545391,0.0465
93,93,0.048761650391311646,0.047
95,95,0.04880129643114069,0.0475
94,94,0.04881519870934887,0.048
96,96,0.04914253120160598,0.0485
97,97,0.04931074449092611,0.049
98,98,0.04936598228192559,0.0495
99,99,0.04946388963346169,0.05
101,101,0.04961371725633055,0.0505
100,100,0.04961391228517422,0.051
102,102,0.049621369567463415,0.0515
103,103,0.049674129413014016,0.052
104,104,0.04993734505434767,0.0525
106,106,0.050020778890127376,0.053
105,105,0.050021663917908125,0.0535
107,107,0.05028359931563696,0.054
109,109,0.050310549956619585,0.0545
108,108,0.05032916080080848,0.055
110,110,0.050397449921226044,0.0555
112,112,0.05046145392073747,0.056
111,111,0.05047135930625842,0.0565
113,113,0.0505076822198479,0.057
115,115,0.05059114859290934,0.0575
114,114,0.050595842526402424,0.058
116,116,0.05065652297779113,0.0585
118,118,0.050688411605288884,0.059
117,117,0.05069179523090147,0.0595
119,119,0.050716692118840015,0.06
120,120,0.05083708391540705,0.0605
121,121,0.05095642007702976,0.061
123,123,0.051005914779672305,0.0615
122,122,0.051011152779737015,0.062
124,124,0.05105346705884649,0.0625
125,125,0.051113301428327804,0.063
126,126,0.05115967689934354,0.0635
128,128,0.0514115252379738,0.064
127,127,0.05142617730328077,0.0645
129,129,0.05148340945743682,0.065
130,130,0.05149801291682697,0.0655
131,131,0.0515226564199997,0.066
132,132,0.051563894143428456,0.0665
133,133,0.051632232685960906,0.067
135,135,0.05165549853036481,0.0675
134,134,0.0516772471044173,0.068
136,136,0.05167759889519006,0.0685
138,138,0.05168368310573296,0.069
137,137,0.05169202360430625,0.0695
139,139,0.05172403878222754,0.07
142,142,0.0529772218991172,0.0705
144,144,0.05307404947959967,0.071
143,143,0.0530877126275112,0.0715
141,141,0.05351960068524229,0.072
140,140,0.053744151400275976,0.0725
162,162,0.05938662862075883,0.073
161,161,0.0594455325243646,0.0735
160,160,0.05970302186256688,0.074
163,163,0.06048183054973961,0.0745
159,159,0.06056810829298375,0.075
158,158,0.06081025464231568,0.0755
152,152,0.06088506079082189,0.076
151,151,0.060904870609405165,0.0765
157,157,0.06091098317727425,0.077
150,150,0.06113129235148815,0.0775
145,145,0.06117321237010638,0.078
149,149,0.0613208077483103,0.0785
155,155,0.06136069429208569,0.079
154,154,0.061369245035172736,0.0795
156,156,0.0613796701046629,0.08
153,153,0.06204939984973571,0.0805
148,148,0.06208383793697512,0.081
147,147,0.06212520375790806,0.0815
172,172,0.06316538425993559,0.082
166,166,0.06325934536041813,0.0825
169,169,0.06328997500053812,0.083
170,170,0.06329576328111784,0.0835
168,168,0.06333495734596228,0.084
173,173,0.06348775083948452,0.0845
165,165,0.06351487785579553,0.085
171,171,0.06359444580594552,0.0855
146,146,0.0637003280238977,0.086
167,167,0.0637070783971901,0.0865
225,225,0.06384692937211835,0.087
164,164,0.0639322230000454,0.0875
224,224,0.0641231127245996,0.088
223,223,0.06425775505819063,0.0885
222,222,0.06430544718819203,0.089
221,221,0.06447611087169286,0.0895
227,227,0.0651179895012433,0.09
220,220,0.06515911731733066,0.0905
226,226,0.06531966246662764,0.091
174,174,0.06585646194518882,0.0915
219,219,0.06612996442592142,0.092
230,230,0.06641375494707727,0.0925
218,218,0.06646765649096363,0.093
229,229,0.06656732538435238,0.0935
196,196,0.06666493400390544,0.094
228,228,0.06671932555809698,0.0945
216,216,0.06675330058464582,0.095
197,197,0.06678202732266672,0.0955
195,195,0.06679640566374069,0.096
217,217,0.06687305425290056,0.0965
194,194,0.06689649157981711,0.097
186,186,0.06690829540818778,0.0975
185,185,0.06704951936046939,0.098
190,190,0.06705256766607219,0.0985
191,191,0.06705763468727895,0.099
189,189,0.06707350280223282,0.0995
178,178,0.06709544701176637,0.1
177,177,0.06710178092964733,0.1005
193,193,0.06711083058151118,0.101
205,205,0.06717276482275965,0.1015
175,175,0.06717425826976983,0.102
192,192,0.06717883957923135,0.1025
180,180,0.06719181398546012,0.103
179,179,0.06721594790693981,0.1035
184,184,0.0672971408292878,0.104
187,187,0.0673055393715959,0.1045
176,176,0.06732056051247852,0.105
211,211,0.06739122281970208,0.1055
203,203,0.06741702601821441,0.106
201,201,0.0674390347994582,0.1065
204,204,0.06745213666920163,0.107
212,212,0.06745656489115591,0.1075
202,202,0.06746115049363585,0.108
188,188,0.06747553798168096,0.1085
215,215,0.06747917548608452,0.109
213,213,0.06752310345534576,0.1095
214,214,0.06755146062284695,0.11
210,210,0.06762145945426841,0.1105
199,199,0.06767927361807241,0.111
