,cdf,batch_cpu_queue_length
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.9989999999999999
13,0.13,16.996381089962515
14,0.14,38.97813005423709
15,0.15,54.98172381112103
16,0.16,62.99156830465424
17,0.17,67.96554640998895
18,0.18,78.02278912874269
19,0.19,89.03245768467185
20,0.2,94.91682840557759
21,0.21,98.98823767054662
22,0.22,102.00287933571242
23,0.23,105.95357795162072
24,0.24,108.09398292749972
25,0.25,118.98543527819187
26,0.26,132.0262976899247
27,0.27,141.88276977462596
28,0.28,155.8667043974642
29,0.29,169.8645256938739
30,0.3,186.97992229193082
31,0.31,198.93960065020914
32,0.32,209.13945557381334
33,0.33,213.7915101156673
34,0.34,219.86226842094075
35,0.35000000000000003,222.9619886248871
36,0.36,226.10541012151884
37,0.37,242.9853931404834
38,0.38,258.010775873476
39,0.39,271.78229732306806
40,0.4,284.0077092390996
41,0.41000000000000003,293.83000750096295
42,0.42,300.96723419670434
43,0.43,308.2778264562278
44,0.44,318.3022557086943
45,0.45,326.6866418565833
46,0.46,331.9556696998933
47,0.47000000000000003,337.9849747190215
48,0.48,342.75004360642635
49,0.49,344.1237898996924
50,0.5,351.7784078930813
51,0.51,361.76739992638227
52,0.52,371.29669958512085
53,0.53,380.3156174923088
54,0.54,395.0457152446486
55,0.55,407.89162073672736
56,0.56,420.3137741529488
57,0.5700000000000001,428.8046784812415
58,0.58,433.9813341629187
59,0.59,439.2204839483025
60,0.6,446.3045353381095
61,0.61,450.78997199131373
62,0.62,454.4107568025799
63,0.63,458.0606240767752
64,0.64,463.5904661031691
65,0.65,484.4438640775015
66,0.66,504.2143999461194
67,0.67,518.5319177673617
68,0.68,526.8951587521594
69,0.6900000000000001,535.3932878651003
70,0.7000000000000001,542.9415106837391
71,0.71,553.9096604484355
72,0.72,561.7189356732582
73,0.73,568.5001712002539
74,0.74,576.515150210852
75,0.75,579.9846403305055
76,0.76,583.4750099737693
77,0.77,600.0431878251786
78,0.78,612.1648683742749
79,0.79,617.0818305853222
80,0.8,625.7817363558352
81,0.81,640.9821787899239
82,0.8200000000000001,652.6243268853126
83,0.8300000000000001,663.1503028788136
84,0.84,673.8460490847507
85,0.85,681.9809159684918
86,0.86,687.4586468310579
87,0.87,691.5957991365584
88,0.88,692.9803753110061
89,0.89,695.7578489821179
90,0.9,704.157241532502
91,0.91,724.1522751048786
92,0.92,744.715081532492
93,0.93,759.759329182648
94,0.9400000000000001,776.659257645896
95,0.9500000000000001,789.1857546891915
96,0.96,797.1172060413226
97,0.97,803.5197217398937
98,0.98,808.3553340121885
99,0.99,809.9736630092099
100,1.0,813.2200471832107
