,cdf,batch_execution_time
0,0.0,0.009513893722593756
1,0.01,0.013313164255004388
2,0.02,0.017685647483111043
3,0.03,0.023028982284148392
4,0.04,0.0302275455402293
5,0.05,0.03540148135018221
6,0.06,0.037892518364890965
7,0.07,0.039281501172607196
8,0.08,0.04072139833818039
9,0.09,0.04146102038352242
10,0.1,0.042468122088452895
11,0.11,0.04323946984670132
12,0.12,0.04358677308190096
13,0.13,0.04358677308190096
14,0.14,0.044289770669018014
15,0.15,0.044289770669018014
16,0.16,0.04482444975364467
17,0.17,0.04482444975364467
18,0.18,0.04509420499855417
19,0.19,0.04509420499855417
20,0.2,0.04509420499855417
21,0.21,0.04509420499855417
22,0.22,0.045184483687239964
23,0.23,0.04527494311404125
24,0.24,0.04536558364079609
25,0.25,0.04536558364079609
26,0.26,0.04554740944514214
27,0.27,0.04554740944514214
28,0.28,0.04554740944514214
29,0.29,0.04554740944514214
30,0.3,0.04554740944514214
31,0.31,0.04563859545003733
32,0.32,0.045729964009496867
33,0.33,0.045729964009496867
34,0.34,0.045729964009496867
35,0.35000000000000003,0.045821515488995365
36,0.36,0.0459132502547391
37,0.37,0.0459132502547391
38,0.38,0.0459132502547391
39,0.39,0.04600516867366751
40,0.4,0.04600516867366751
41,0.41000000000000003,0.04600516867366751
42,0.42,0.04600516867366751
43,0.43,0.04600516867366751
44,0.44,0.04600516867366751
45,0.45,0.04600516867366751
46,0.46,0.04609727111345461
47,0.47000000000000003,0.04618955794251058
48,0.48,0.04618955794251058
49,0.49,0.046282029529983074
50,0.5,0.046282029529983074
51,0.51,0.046282029529983074
52,0.52,0.04637468624575882
53,0.53,0.04637468624575882
54,0.54,0.04637468624575882
55,0.55,0.04637468624575882
56,0.56,0.046467528460465056
57,0.5700000000000001,0.046467528460465056
58,0.58,0.04656055654547099
59,0.59,0.04656055654547099
60,0.6,0.04656055654547099
61,0.61,0.04656055654547099
62,0.62,0.046747171815577804
63,0.63,0.046747171815577804
64,0.64,0.04684075974714052
65,0.65,0.04684075974714052
66,0.66,0.04684075974714052
67,0.67,0.0469345350419296
68,0.68,0.04712264922234397
69,0.6900000000000001,0.047978537075465344
70,0.7000000000000001,0.04817083562857485
71,0.71,0.04817083562857485
72,0.72,0.04817083562857485
73,0.73,0.048947768143231755
74,0.74,0.048947768143231755
75,0.75,0.048947768143231755
76,0.76,0.048947768143231755
77,0.77,0.05281281125300059
78,0.78,0.05453015270475353
79,0.79,0.055743110077441226
80,0.8,0.05686919597739268
81,0.81,0.05767096427087635
82,0.8200000000000001,0.05848403626551822
83,0.8300000000000001,0.05919007268213019
84,0.84,0.05954628079266658
85,0.85,0.05954628079266658
86,0.86,0.0597849430015929
87,0.87,0.06002456177152037
88,0.88,0.06087081587502112
89,0.89,0.062100488338221946
90,0.9,0.06310208791473867
91,0.91,0.0646348582068288
92,0.92,0.06647020986348245
93,0.93,0.0676775071219228
94,0.9400000000000001,0.06849452981161297
95,0.9500000000000001,0.06904468391575412
96,0.96,0.06973859475784315
97,0.97,0.07015828427577232
98,0.98,0.07058049950119633
99,0.99,0.07128984555170034
100,1.0,0.07405099009961516
