,cdf,batch_num_tokens
0,0.0,0.9989999999999999
1,0.01,16.00658858967672
2,0.02,31.976480717732706
3,0.03,51.98737065170029
4,0.04,64.0075398344503
5,0.05,76.93808039734769
6,0.06,86.05623561054385
7,0.07,86.92111544680155
8,0.08,87.97045261291906
9,0.09,89.03245768467185
10,0.1,89.03245768467185
11,0.11,89.92724906007459
12,0.12,91.0128771517113
13,0.13,91.0128771517113
14,0.14,91.92757208032228
15,0.15,93.03734865738271
16,0.16,93.03734865738271
17,0.17,93.03734865738271
18,0.18,93.97238986969887
19,0.19,93.97238986969887
20,0.2,94.91682840557759
21,0.21,94.91682840557759
22,0.22,96.06269216059265
23,0.23,97.02813859078891
24,0.24,97.02813859078891
25,0.25,98.00328792216996
26,0.26,98.98823767054662
27,0.27,98.98823767054662
28,0.28,99.9830863317801
29,0.29,100.98793339163191
30,0.3,100.98793339163191
31,0.31,102.00287933571242
32,0.32,103.02802565952958
33,0.33,104.06347487863825
34,0.34,104.06347487863825
35,0.35000000000000003,104.89932188646694
36,0.36,105.95357795162072
37,0.37,107.01842946992822
38,0.38,107.01842946992822
39,0.39,108.09398292749972
40,0.4,108.96220333143697
41,0.41000000000000003,110.05729204763485
42,0.42,110.05729204763485
43,0.43,110.9412819235738
44,0.44,112.05626071695865
45,0.45,112.9563064855434
46,0.46,114.09153661923892
47,0.47000000000000003,114.09153661923892
48,0.48,115.00792990336663
49,0.49,115.93168373917126
50,0.5,117.0968169214218
51,0.51,118.98543527819187
52,0.52,119.94113678795277
53,0.53,120.90451457652556
54,0.54,123.10050115880195
55,0.55,124.0892552406332
56,0.56,125.08595108245035
57,0.5700000000000001,126.09065247316987
58,0.58,128.12432962288904
59,0.59,128.89538671575343
60,0.6,129.93068582944278
61,0.61,132.0262976899247
62,0.62,133.08674455668097
63,0.63,134.96306318989895
64,0.64,136.8658350332025
65,0.65,139.91025019505676
66,0.66,141.88276977462596
67,0.67,143.88309884982797
68,0.68,145.91162949182663
69,0.6900000000000001,148.8592409254445
70,0.7000000000000001,150.95792752571776
71,0.71,154.00748097611634
72,0.72,157.11863951343716
73,0.73,159.97238261315115
74,0.74,162.87795819884124
75,0.75,166.83431691554176
76,0.76,173.9905904132433
77,0.77,275.06333282529255
78,0.78,407.07665246352707
79,0.79,512.3467181125903
80,0.8,512.3467181125903
81,0.81,512.3467181125903
82,0.8200000000000001,512.3467181125903
83,0.8300000000000001,512.3467181125903
84,0.84,512.3467181125903
85,0.85,512.3467181125903
86,0.86,512.3467181125903
87,0.87,512.3467181125903
88,0.88,512.3467181125903
89,0.89,512.3467181125903
90,0.9,512.3467181125903
91,0.91,512.3467181125903
92,0.92,512.3467181125903
93,0.93,512.3467181125903
94,0.9400000000000001,512.3467181125903
95,0.9500000000000001,512.3467181125903
96,0.96,512.3467181125903
97,0.97,512.3467181125903
98,0.98,512.3467181125903
99,0.99,512.3467181125903
100,1.0,512.3467181125903
