,cdf,batch_size
0,0.0,0.9989999999999999
1,0.01,16.00658858967672
2,0.02,28.022299698332315
3,0.03,45.0152251403878
4,0.04,58.96834998281604
5,0.05,67.96554640998895
6,0.06,73.03953941466173
7,0.07,78.02278912874269
8,0.08,82.02310443674119
9,0.09,85.02973178204074
10,0.1,86.05623561054385
11,0.11,86.92111544680155
12,0.12,86.92111544680155
13,0.13,87.97045261291906
14,0.14,87.97045261291906
15,0.15,89.03245768467185
16,0.16,89.03245768467185
17,0.17,89.92724906007459
18,0.18,89.92724906007459
19,0.19,89.92724906007459
20,0.2,91.0128771517113
21,0.21,91.92757208032228
22,0.22,91.92757208032228
23,0.23,91.92757208032228
24,0.24,93.03734865738271
25,0.25,93.03734865738271
26,0.26,93.03734865738271
27,0.27,93.03734865738271
28,0.28,93.97238986969887
29,0.29,93.97238986969887
30,0.3,94.91682840557759
31,0.31,94.91682840557759
32,0.32,96.06269216059265
33,0.33,96.06269216059265
34,0.34,97.02813859078891
35,0.35000000000000003,97.02813859078891
36,0.36,98.00328792216996
37,0.37,98.00328792216996
38,0.38,98.00328792216996
39,0.39,98.98823767054662
40,0.4,98.98823767054662
41,0.41000000000000003,99.9830863317801
42,0.42,100.98793339163191
43,0.43,100.98793339163191
44,0.44,102.00287933571242
45,0.45,102.00287933571242
46,0.46,103.02802565952958
47,0.47000000000000003,104.06347487863825
48,0.48,104.06347487863825
49,0.49,104.89932188646694
50,0.5,105.95357795162072
51,0.51,105.95357795162072
52,0.52,107.01842946992822
53,0.53,108.09398292749972
54,0.54,108.09398292749972
55,0.55,108.96220333143697
56,0.56,110.05729204763485
57,0.5700000000000001,110.05729204763485
58,0.58,110.9412819235738
59,0.59,112.05626071695865
60,0.6,112.05626071695865
61,0.61,112.9563064855434
62,0.62,114.09153661923892
63,0.63,114.09153661923892
64,0.64,115.00792990336663
65,0.65,115.93168373917126
66,0.66,117.0968169214218
67,0.67,118.03734888197941
68,0.68,118.98543527819187
69,0.6900000000000001,119.94113678795277
70,0.7000000000000001,120.90451457652556
71,0.71,122.11962555631553
72,0.72,123.10050115880195
73,0.73,124.0892552406332
74,0.74,125.08595108245035
75,0.75,126.09065247316987
76,0.76,127.10342371406671
77,0.77,128.12432962288904
78,0.78,128.89538671575343
79,0.79,129.93068582944278
80,0.8,130.9743005569187
81,0.81,133.08674455668097
82,0.8200000000000001,133.88766565151673
83,0.8300000000000001,136.0470984161514
84,0.84,136.8658350332025
85,0.85,139.07330177102023
86,0.86,141.0340216636387
87,0.87,141.88276977462596
88,0.88,143.88309884982797
89,0.89,145.91162949182663
90,0.9,147.96875929938696
91,0.91,150.0548914768056
92,0.92,151.86639807994746
93,0.93,154.00748097611634
94,0.9400000000000001,155.8667043974642
95,0.9500000000000001,158.06418546692328
96,0.96,160.9351025012422
97,0.97,162.87795819884124
98,0.98,165.83630770304308
99,0.99,168.8483896575149
100,1.0,175.0376724094938
