,Time (sec),throughput
0,0.0,0
1,0.04313302787670191,1
2,0.05264533603254603,2
3,0.06215764418839015,3
4,0.07166995234423428,4
5,0.10892107446025145,6
6,0.11925232661609557,8
7,0.1289326987719397,10
8,0.13861307092778383,12
9,0.14829344308362796,14
10,0.1579738152394721,16
11,0.16765418739531623,18
12,0.17733455955116037,20
13,0.1870149317070045,22
14,0.19669530386284864,24
15,0.20637567601869278,26
16,0.2160560481745369,28
17,0.22573642033038105,30
18,0.23541679248622518,32
19,0.24509716464206932,34
20,0.25477753679791343,36
21,0.26445790895375754,38
22,0.27413828110960164,40
23,0.28381865326544575,42
24,0.29349902542128986,44
25,0.30317939757713397,46
26,0.3128597697329781,48
27,0.3225401418888222,50
28,0.3322205140446663,52
29,0.3419008862005104,54
30,0.3515812583563545,56
31,0.3612616305121986,58
32,0.3986808166282158,61
33,0.437343394744233,65
34,0.4761445968602502,70
35,0.48729680524582014,75
36,0.4977063934016643,80
37,0.5081159815575084,85
38,0.5185255697133525,90
39,0.5289351578691966,95
40,0.5393447460250408,100
41,0.5497543341808849,105
42,0.5601639223367291,110
43,0.5983123244527463,116
44,0.6096279888383163,122
45,0.6201843929941604,128
46,0.6584796111101776,135
47,0.6699420914957476,142
48,0.6810602876515917,149
49,0.6921784838074357,156
50,0.7032966799632798,163
51,0.7144148761191239,170
52,0.725533072274968,177
53,0.7366512684308121,184
54,0.7477694645866562,191
55,0.7588876607425002,198
56,0.7700058568983443,205
57,0.7811240530541884,212
58,0.7922422492100325,219
59,0.8033604453658766,226
60,0.8144786415217207,233
61,0.8533356516377378,241
62,0.8653599240233077,249
63,0.8767771281791519,257
64,0.888194332334996,265
65,0.8996115364908401,273
66,0.9110287406466843,281
67,0.9224459448025284,289
68,0.9338631489583725,297
69,0.9452803531142167,305
70,0.9566975572700608,313
71,0.9681147614259049,321
72,0.979531965581749,329
73,0.9909491697375932,337
74,1.0023663738934372,345
75,1.0137835780492812,353
76,1.0252007822051252,361
77,1.0366179863609692,369
78,1.0757740044769863,378
79,1.1161465345930035,388
80,1.128858379351445,398
81,1.140452443737015,408
82,1.1520465081225848,418
83,1.1636405725081547,428
84,1.1752346368937245,438
85,1.1868287012792944,448
86,1.1984227656648643,458
87,1.2100168300504341,468
88,1.221610894436004,478
89,1.2332049588215739,488
90,1.2447990232071438,498
91,1.2563930875927136,508
