batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
3,1778774373.8838685,decode,2563,771308,0.9997964910916244,771463,2554,0.0,37429,8,2563,768900,771463,771463,0.9999974075298296,8,37437,0,0,0,0,0.0
4,1778774374.0242972,decode,2554,771438,0.9999650016526997,771308,2546,0.0,37429,9,2554,768754,771308,771308,0.9997964910916244,17,37446,0,0,0,0,0.0
5,1778774374.172587,decode,2546,771248,0.9997187169865127,771438,2537,0.0,37429,8,2546,768892,771438,771438,0.9999650016526997,25,37454,0,0,0,0,0.0
6,1778774374.3141599,decode,2537,771345,0.9998444517897765,771248,2529,0.0,37429,9,2537,768711,771248,771248,0.9997187169865127,34,37463,0,0,0,0,0.0
7,1778774374.5725682,decode,2529,381276,0.4942233283428283,771345,2521,0.0,37429,8,2529,768816,771345,771345,0.9998444517897765,42,37471,0,0,0,0,0.0
8,1778774377.349853,decode,2521,771358,0.9998613028458841,771426,2521,0.0,37479,8,2521,768905,771426,771426,0.9999494468316774,0,37479,1275,1300,0,0,0.0
10,1778774377.5588646,decode,2537,770704,0.9990135651001666,771195,2529,0.0,36179,9,2537,768658,771195,771195,0.9996500165269974,9,36188,0,0,0,0,0.0
11,1778774377.6078262,decode,2529,770694,0.9990006027493146,771316,2529,0.0,36181,8,2529,768787,771316,771316,0.999806860972306,15,36196,2,2,0,0,0.0
14,1778774377.927701,decode,2521,382484,0.4957891803257439,771407,2512,0.0,36179,8,2521,768886,771407,771407,0.9999248183650586,21,36200,2,0,0,0,0.0
15,1778774380.661379,decode,2512,769785,0.9978223250568723,771192,2512,0.0,36209,9,2512,768680,771192,771192,0.9996461278217418,0,36209,1254,1296,0,0,0.0
18,1778774380.968835,decode,2546,579373,0.7510036100147123,771431,2537,0.0,34908,8,2546,768885,771431,771431,0.9999559280071034,8,34916,5,0,0,0,0.0
