policy,e2e_mean,e2e_p95,ttft_mean,ttft_p95,completion_rate
vLLM,62.128872291480675,109.01544106962102,59.675617376692735,106.65767906188934,51.971415078007496
Sarathi,56.24054872679735,95.9402369089852,54.069648813022795,94.0160293476028,57.90554184803463
Nested WAIT,55.01269174802081,93.2947969681547,52.18115571814465,90.53144003538257,59.23396234422462
