batch_id,timestamp,forward_mode,batch_size,num_tokens,token_usage,batch_num_tokens,gpu_num_reqs,gen_throughput,num_queue_reqs,num_retracted_reqs,pre_decode_batch_size,pre_decode_batch_num_tokens,pre_decode_batch_num_tokens_after_one_decode,pre_decode_num_tokens,pre_decode_token_usage,num_retracted_queue_reqs,num_total_queue_reqs,num_prev_completed_reqs,num_new_seqs,num_new_tokens,num_cached_tokens,cache_hit_rate
39,1778167073.4403553,decode,4096,430438,0.22059648040277854,426342,4096,0.0,62700,0,4096,422246,426342,426342,0.21849730889903168,0,62700,0,0,0,0,0.0
40,1778167073.570609,decode,4096,434534,0.22269565190652538,430438,4096,0.0,62700,0,4096,426342,430438,430438,0.22059648040277854,0,62700,0,0,0,0,0.0
41,1778167073.95574,decode,4096,134820,0.06909431204471399,434534,4096,0.0,62700,0,4096,430438,434534,434534,0.22269565190652538,0,62700,0,0,0,0,0.0
42,1778167075.0767603,decode,4096,417304,0.21386539677723876,438630,1284,0.0,62700,0,4096,434534,438630,438630,0.2247948234102722,0,62700,2812,0,0,0,0.0
43,1778167077.7106862,decode,1284,417304,0.21386539677723876,136104,1284,0.0,62700,0,1284,134820,136104,417304,0.21386539677723876,0,62700,0,2812,0,0,0.0
45,1778167077.985644,decode,4096,425496,0.21806373978473242,421400,4096,0.0,59888,0,4096,417304,421400,421400,0.2159645682809856,0,59888,0,0,0,0,0.0
46,1778167078.1170647,decode,4096,429592,0.22016291128847926,425496,4096,0.0,59888,0,4096,421400,425496,425496,0.21806373978473242,0,59888,0,0,0,0,0.0
47,1778167078.2462025,decode,4096,433688,0.2222620827922261,429592,4096,0.0,59888,0,4096,425496,429592,429592,0.22016291128847926,0,59888,0,0,0,0,0.0
48,1778167078.6158504,decode,4096,148365,0.07603603031088853,433688,4096,2769.372114295099,59888,0,4096,429592,433688,433688,0.2222620827922261,0,59888,0,0,0,0,0.0
49,1778167079.700623,decode,4096,418078,0.2142620663924487,437784,1413,2769.372114295099,59888,0,4096,433688,437784,437784,0.22436125429597292,0,59888,2683,0,0,0,0.0
50,1778167082.121963,decode,1413,418078,0.2142620663924487,149778,1413,2769.372114295099,59888,0,1413,148365,149778,418078,0.2142620663924487,0,59888,0,2683,0,0,0.0
52,1778167082.3893738,decode,4096,426270,0.2184604093999424,422174,4096,2769.372114295099,57205,0,4096,418078,422174,422174,0.21636123789619555,0,57205,0,0,0,0,0.0
53,1778167082.514154,decode,4096,430366,0.22055958090368924,426270,4096,2769.372114295099,57205,0,4096,422174,426270,426270,0.2184604093999424,0,57205,0,0,0,0,0.0
54,1778167082.6419387,decode,4096,434462,0.22265875240743607,430366,4096,2769.372114295099,57205,0,4096,426270,430366,430366,0.22055958090368924,0,57205,0,0,0,0,0.0
55,1778167083.030804,decode,4096,139860,0.07167727698096499,434462,4096,2769.372114295099,57205,0,4096,430366,434462,434462,0.22265875240743607,0,57205,0,0,0,0,0.0
56,1778167084.110534,decode,4096,417592,0.21401299477359595,438558,1332,2769.372114295099,57205,0,4096,434462,438558,438558,0.2247579239111829,0,57205,2764,0,0,0,0.0
57,1778167086.6422763,decode,1332,417592,0.21401299477359595,141192,1332,2769.372114295099,57205,0,1332,139860,141192,417592,0.21401299477359595,0,57205,0,2764,0,0,0.0
59,1778167086.9002016,decode,4096,425784,0.21821133778108961,421688,4096,2769.372114295099,54441,0,4096,417592,421688,421688,0.21611216627734278,0,54441,0,0,0,0,0.0
60,1778167087.0209546,decode,4096,429880,0.22031050928483645,425784,4096,2769.372114295099,54441,0,4096,421688,425784,425784,0.21821133778108961,0,54441,0,0,0,0,0.0
61,1778167087.1433833,decode,4096,433976,0.2224096807885833,429880,4096,2769.372114295099,54441,0,4096,425784,429880,429880,0.22031050928483645,0,54441,0,0,0,0,0.0
62,1778167087.5099456,decode,4096,144480,0.07404499483919506,433976,4096,2769.372114295099,54441,0,4096,429880,433976,433976,0.2224096807885833,0,54441,0,0,0,0,0.0
63,1778167088.5698576,decode,4096,417856,0.2141482929369234,438072,1376,2769.372114295099,54441,0,4096,433976,438072,438072,0.22450885229233014,0,54441,2720,0,0,0,0.0
64,1778167091.0412712,decode,1376,417856,0.2141482929369234,145856,1376,2769.372114295099,54441,0,1376,144480,145856,417856,0.2141482929369234,0,54441,0,2720,0,0,0.0
66,1778167091.3036797,decode,4096,426048,0.21834663594441706,421952,4096,2769.372114295099,51721,0,4096,417856,421952,421952,0.21624746444067022,0,51721,0,0,0,0,0.0
67,1778167091.4279976,decode,4096,430144,0.2204458074481639,426048,4096,2769.372114295099,51721,0,4096,421952,426048,426048,0.21834663594441706,0,51721,0,0,0,0,0.0
68,1778167091.5501409,decode,4096,434240,0.22254497895191072,430144,4096,2769.372114295099,51721,0,4096,426048,430144,430144,0.2204458074481639,0,51721,0,0,0,0,0.0
69,1778167091.9164705,decode,4096,144375,0.07399118306968983,434240,4096,2769.372114295099,51721,0,4096,430144,434240,434240,0.22254497895191072,0,51721,0,0,0,0,0.0
70,1778167092.9935625,decode,4096,417850,0.21414521797866595,438336,1375,2769.372114295099,51721,0,4096,434240,438336,438336,0.22464415045565755,0,51721,2721,0,0,0,0.0
71,1778167095.457514,decode,1375,417850,0.21414521797866595,145750,1375,2769.372114295099,51721,0,1375,144375,145750,417850,0.21414521797866595,0,51721,0,2721,0,0,0.0
73,1778167095.7072031,decode,4096,426042,0.21834356098615962,421946,4096,2769.372114295099,49000,0,4096,417850,421946,421946,0.21624438948241279,0,49000,0,0,0,0,0.0
74,1778167095.8294344,decode,4096,430138,0.22044273248990645,426042,4096,2769.372114295099,49000,0,4096,421946,426042,426042,0.21834356098615962,0,49000,0,0,0,0,0.0
75,1778167095.9511137,decode,4096,434234,0.22254190399365328,430138,4096,2769.372114295099,49000,0,4096,426042,430138,430138,0.22044273248990645,0,49000,0,0,0,0,0.0
76,1778167096.317292,decode,4096,143325,0.07345306537463754,434234,4096,2769.372114295099,49000,0,4096,430138,434234,434234,0.22254190399365328,0,49000,0,0,0,0,0.0
77,1778167097.3845668,decode,4096,417790,0.21411446839609152,438330,1365,2769.372114295099,49000,0,4096,434234,438330,438330,0.22464107549740012,0,49000,2731,0,0,0,0.0
78,1778167099.8496456,decode,1365,417790,0.21411446839609152,144690,1365,2769.372114295099,49000,0,1365,143325,144690,417790,0.21411446839609152,0,49000,0,2731,0,0,0.0
80,1778167100.0977905,decode,4096,425982,0.2183128114035852,421886,4096,2769.372114295099,46269,0,4096,417790,421886,421886,0.21621363989983836,0,46269,0,0,0,0,0.0
81,1778167100.2183347,decode,4096,430078,0.22041198290733202,425982,4096,2769.372114295099,46269,0,4096,421886,425982,425982,0.2183128114035852,0,46269,0,0,0,0,0.0
82,1778167100.3413987,decode,4096,434174,0.22251115441107888,430078,4096,2769.372114295099,46269,0,4096,425982,430078,430078,0.22041198290733202,0,46269,0,0,0,0,0.0
83,1778167100.7347817,decode,4096,142800,0.07318400652711139,434174,4096,2769.372114295099,46269,0,4096,430078,434174,434174,0.22251115441107888,0,46269,0,0,0,0,0.0
84,1778167101.7908247,decode,4096,417760,0.2140990936048043,438270,1360,2769.372114295099,46269,0,4096,434174,438270,438270,0.22461032591482571,0,46269,2736,0,0,0,0.0
85,1778167104.2643478,decode,1360,417760,0.2140990936048043,144160,1360,2769.372114295099,46269,0,1360,142800,144160,417760,0.2140990936048043,0,46269,0,2736,0,0,0.0
87,1778167104.5092943,decode,4096,425952,0.218297436612298,421856,4096,2769.372114295099,43533,0,4096,417760,421856,421856,0.21619826510855114,0,43533,0,0,0,0,0.0
88,1778167104.6301363,decode,4096,430048,0.22039660811604483,425952,4096,2769.372114295099,43533,0,4096,421856,425952,425952,0.218297436612298,0,43533,0,0,0,0,0.0
89,1778167104.7525687,decode,4096,434144,0.22249577961979167,430048,4096,2769.372114295099,43533,0,4096,425952,430048,430048,0.22039660811604483,0,43533,0,0,0,0,0.0
90,1778167105.1142325,decode,4096,144375,0.07399118306968983,434144,4096,2769.372114295099,43533,0,4096,430048,434144,434144,0.22249577961979167,0,43533,0,0,0,0,0.0
91,1778167106.1575394,decode,4096,417850,0.21414521797866595,438240,1375,2769.372114295099,43533,0,4096,434144,438240,438240,0.2245949511235385,0,43533,2721,0,0,0,0.0
